#{"t_start": 1708793258.406178, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,1.574111
0.0,250,1.615102
0.0,250,1.656951
0.0,250,1.698414
0.0,250,1.743275
0.0,250,1.784081
0.0,250,1.823976
0.0,250,1.868384
0.0,250,1.91919
0.0,250,1.963711
0.0,250,2.005396
0.0,250,2.045542
0.0,250,2.091307
0.0,250,2.131387
0.0,250,2.172895
0.0,250,2.215713
0.0,250,2.260559
0.0,250,2.299959
0.0,250,2.344441
0.0,250,2.385206
0.0,250,2.43253
0.0,250,2.478539
0.0,250,2.516872
0.0,250,2.562824
0.0,250,2.604227
0.0,250,2.64514
0.532,130,2.667749
0.0,250,2.707479
0.0,250,2.751429
0.0,250,2.789713
0.0,250,2.829756
0.0,250,2.873604
0.0,250,2.918009
0.0,250,2.957826
0.0,250,2.999184
0.4708,147,3.0236
0.0,250,3.066778
0.4168,162,3.095566
0.0,250,3.136352
0.0,250,3.177037
0.4852,143,3.204098
0.0,250,3.246587
0.0,250,3.290119
0.0,250,3.331891
0.0,250,3.374139
0.0,250,3.418117
0.0,250,3.458172
0.0,250,3.498991
0.0,250,3.541618
0.1792,228,3.57779
0.1108,247,3.619231
0.0,250,3.658412
0.0,250,3.704294
0.0,250,3.745854
0.0,250,3.785043
0.0,250,3.827549
0.0,250,3.870012
0.0,250,3.909382
0.0,250,3.955009
0.0,250,3.995817
0.0,250,4.040878
0.7444,71,4.053002
0.0,250,4.101788
0.0,250,4.150316
0.0,250,4.195255
0.0,250,4.239883
0.0,250,4.28057
0.0,250,4.316868
0.0,250,4.361146
0.2476,209,4.393003
0.0,250,4.434368
0.0,250,4.474859
0.0,250,4.516599
0.0,250,4.561206
0.0,250,4.602103
0.0,250,4.637507
0.0,250,4.681402
0.0,250,4.719457
0.0,250,4.76142
0.0,250,4.800865
0.0,250,4.841501
0.0,250,4.884259
0.0,250,4.925755
0.0,250,4.961867
0.0,250,5.007391
0.0,250,5.046432
0.0,250,5.086297
0.0,250,5.127465
0.0,250,5.167404
0.0,250,5.209807
0.0,250,5.252792
0.0,250,5.29753
0.0,250,5.341512
0.0,250,5.379763
0.0,250,5.422302
0.0,250,5.461618
0.0,250,5.506143
0.0,250,5.546061
0.0,250,5.584656
0.0,250,5.625897
0.0,250,5.668111
0.0,250,5.705674
0.0,250,5.748061
0.0,250,5.786787
0.0,250,5.830509
0.0,250,5.870354
0.334,185,5.897945
0.0,250,5.939404
0.0,250,5.981501
0.0,250,6.019741
0.0,250,6.061584
0.0,250,6.101941
0.0,250,6.14776
0.0,250,6.187976
0.0,250,6.228271
0.0,250,6.28054
0.6292,103,6.298937
0.0,250,6.338441
0.0,250,6.381494
0.0,250,6.422685
0.0,250,6.468513
0.0,250,6.513716
0.0,250,6.558462
0.0,250,6.609468
0.0,250,6.651267
0.0,250,6.690614
0.0,250,6.731944
0.3052,193,6.762719
0.0,250,6.805591
0.0,250,6.843613
0.0,250,6.883934
0.0,250,6.927007
0.0,250,6.969138
0.0,250,7.007676
0.0,250,7.049702
0.0,250,7.090614
0.0,250,7.135626
0.0,250,7.176049
0.0,250,7.214603
0.0,250,7.256576
0.0,250,7.299566
0.0,250,7.339088
0.0,250,7.383714
0.424,160,7.410242
0.0,250,7.457078
0.0,250,7.496711
0.0,250,7.534837
0.0,250,7.585138
0.0,250,7.630033
0.0,250,7.67224
0.0,250,7.712217
0.0,250,7.750875
0.0,250,7.795301
0.0,250,7.83439
0.0,250,7.873096
0.0,250,7.915225
0.0,250,7.956918
0.0,250,7.998909
0.0,250,8.039205
0.0,250,8.077605
0.0,250,8.12095
0.0,250,8.159046
0.0,250,8.19745
0.0,250,8.238345
0.0,250,8.280304
0.0,250,8.319821
0.0,250,8.361824
0.1756,229,8.398692
0.0,250,8.449053
0.0,250,8.489201
0.0,250,8.528781
0.0,250,8.571525
0.0,250,8.612072
0.0,250,8.650307
0.0,250,8.695306
0.0,250,8.733713
0.0,250,8.782634
0.0,250,8.823563
0.0,250,8.863109
0.0,250,8.906189
0.0,250,8.947288
0.0,250,8.985107
0.0,250,9.027464
0.0,250,9.06704
0.0,250,9.112947
0.0,250,9.15221
0.0,250,9.190424
0.0,250,9.231317
0.0,250,9.272633
0.3628,177,9.300352
0.0,250,9.341975
0.0,250,9.38082
0.0,250,9.426568
0.0,250,9.467463
0.0,250,9.507962
0.0,250,9.551937
0.0,250,9.594155
0.0,250,9.634552
0.0,250,9.677712
0.0,250,9.716516
0.0,250,9.762609
0.0,250,9.802137
0.0,250,9.843452
0.0,250,9.885561
0.4744,146,15.967543
0.0,250,16.296755
0.1108,247,16.567183
0.0,250,16.838969
0.0,250,17.154179
0.0,250,17.43311
0.0,250,17.713866
0.0,250,17.996014
0.0,250,18.31452
0.0,250,18.596186
0.0,250,18.853435
0.1288,242,19.122943
0.0,250,19.434015
0.0,250,19.718558
0.0,250,20.00836
0.0,250,20.291232
0.0,250,20.616783
0.0,250,20.901183
0.0,250,21.178277
0.0,250,21.494678
0.0,250,21.779152
0.0,250,22.074023
0.0,250,22.364103
0.0,250,22.654563
0.0,250,22.9754
0.0,250,23.254311
0.0,250,23.539579
0.0,250,23.82522
0.0,250,24.12805
0.0,250,24.414117
0.0,250,24.702478
0.0,250,25.008518
0.0,250,25.316349
0.0,250,25.60112
0.0,250,25.898369
0.0,250,26.19487
0.1792,228,26.454656
0.0,250,26.732033
0.0,250,27.017763
0.0,250,27.292421
0.0,250,27.602394
0.0,250,27.90208
0.0,250,28.216392
0.0,250,28.517408
0.7768,62,28.597278
0.0,250,28.886229
0.0,250,29.173086
0.0,250,29.455875
0.0,250,29.782492
0.0,250,30.056679
0.0,250,30.365457
0.0,250,30.640094
0.0,250,30.937874
0.0,250,31.212324
0.0,250,31.498893
0.0,250,31.792663
0.0,250,32.123986
0.0,250,32.428694
0.0,250,32.705543
0.0,250,32.985703
0.0,250,33.287746
0.3448,182,33.510055
0.0,250,33.797017
0.0,250,34.077716
0.0,250,34.411309
0.0,250,34.707806
0.0,250,34.996819
0.0,250,35.27867
0.0,250,35.615378
0.0,250,35.912516
0.0,250,36.179312
0.0,250,36.45755
0.0,250,36.78834
0.0,250,37.050694
0.0,250,37.304256
0.0,250,37.562897
0.55,125,37.712077
0.0,250,37.995065
0.0,250,38.254785
0.0,250,38.53411
0.0,250,38.824814
0.0,250,39.152694
0.0,250,39.435613
0.0,250,39.714972
0.0,250,39.999672
0.0,250,40.304404
0.0,250,40.600379
0.0,250,40.852529
0.0,250,41.159004
0.0,250,41.475302
0.0,250,41.755926
0.0,250,42.040528
0.154,235,42.319054
0.0,250,42.627219
0.0,250,42.925893
0.0,250,43.251262
0.0,250,43.573566
0.0,250,43.87727
0.0,250,44.175009
0.0,250,44.450713
0.6868,87,44.560134
0.0,250,44.875837
0.0,250,45.15322
0.0,250,45.447862
0.5284,131,45.614475
0.5536,124,45.750464
0.0,250,46.069718
0.0,250,46.34986
0.0,250,46.652721
0.2296,214,46.907977
0.154,235,47.200663
0.0,250,47.503009
0.0,250,47.794755
0.0,250,48.090084
0.0,250,48.410131
0.0,250,48.705151
0.0,250,49.018438
0.0,250,49.31959
0.0,250,49.618854
0.0,250,49.907805
0.0,250,50.19812
0.0,250,50.482097
0.0,250,50.805403
0.0,250,51.101422
0.0,250,51.396421
0.0,250,51.691544
0.0,250,52.000002
0.0,250,52.27855
0.0,250,52.568813
0.0,250,52.882614
0.0,250,53.199599
0.136,240,53.475382
0.0,250,53.763214
0.4636,149,53.957113
0.0,250,54.256546
0.0,250,54.545925
0.0,250,54.844779
0.0,250,55.158879
0.0,250,55.476914
0.0,250,55.76562
0.0,250,56.066235
0.0,250,56.383194
0.3844,171,56.582281
0.0,250,56.857098
0.0,250,57.155578
0.0,250,57.471773
0.3088,192,57.713662
0.0,250,58.004909
0.0,250,58.297391
0.0,250,58.611585
0.0,250,58.913371
0.4816,144,59.080521
0.0,250,59.383116
0.0,250,59.670832
0.676,90,59.779522
0.0,250,60.097199
0.0,250,60.399231
0.0,250,60.702737
0.0,250,61.00343
0.0,250,61.316171
0.0,250,61.609946
0.0,250,61.901162
0.0,250,62.219618
0.0,250,62.506666
0.0,250,62.808994
0.0,250,63.108675
0.0,250,63.420114
0.0,250,63.703824
0.0,250,64.010047
0.5032,138,64.179176
0.0,250,64.50588
0.0,250,64.813189
0.0,250,65.107183
0.0,250,65.413636
0.0,250,65.719185
0.0,250,66.001047
0.0,250,66.292414
0.0,250,66.593196
0.0,250,66.923924
0.262,205,67.166151
0.136,240,67.473994
0.2188,217,67.738367
0.0,250,68.038281
0.0,250,68.340655
0.3088,192,68.569971
0.0,250,68.867228
0.0,250,69.206256
0.0,250,69.520699
0.7984,56,69.604689
0.0,250,69.890292
0.0,250,70.188086
0.3412,183,70.410995
0.0,250,70.71577
0.0,250,71.00736
0.0,250,71.307768
0.0,250,71.664193
0.0,250,71.967513
0.0,250,72.251357
0.0,250,72.560019
0.0,250,72.867522
0.0,250,73.170082
0.0,250,73.489245
