#{"t_start": 1708801307.5454118, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,5.615863
0.0,250,6.250849
0.0,250,6.697994
0.0,250,7.14834
0.0,250,7.577644
0.0,250,8.004196
0.3052,193,8.346807
0.0,250,8.770268
0.0,250,11.029253
0.0,250,11.48527
0.0,250,11.957415
0.0,250,12.404598
0.0,250,12.885387
0.0,250,13.342794
0.0,250,13.812856
0.0,250,14.299951
0.0,250,16.392618
0.0,250,16.843775
0.0,250,17.312452
0.0,250,17.776321
0.0,250,18.286497
0.0,250,18.845684
0.0,250,19.32411
0.0,250,19.807325
0.0,250,21.947838
0.0,250,22.382441
0.0,250,22.857769
0.0,250,23.338157
0.0,250,23.799392
0.0,250,24.254254
0.3304,186,24.59611
0.0,250,25.046894
0.0,250,25.569864
0.0,250,27.950623
0.0,250,28.363509
0.7156,79,28.495287
0.0,250,28.940322
0.0,250,29.370837
0.0,250,29.79947
0.0,250,30.259826
0.0,250,30.693229
0.0,250,31.196063
0.0,250,33.177744
0.0,250,33.615949
0.0,250,34.028737
0.0,250,34.435845
0.0,250,34.926493
0.0,250,35.364813
0.0,250,35.882508
0.0,250,36.361101
0.0,250,38.352191
0.0,250,38.748116
0.3736,174,39.032994
0.0,250,39.484698
0.0,250,39.907853
0.0,250,40.323364
0.0,250,40.86926
0.0,250,41.329298
0.0,250,43.468975
0.2404,211,43.850452
0.0,250,44.298378
0.0,250,44.709221
0.0,250,45.149641
0.0,250,45.618785
0.0,250,46.117024
0.0,250,46.635776
0.0,250,47.115654
0.0,250,49.247206
0.0,250,49.663121
0.0,250,50.084527
0.0,250,50.511162
0.0,250,50.973782
0.0,250,51.44845
0.0,250,51.920041
0.0,250,52.373347
0.0,250,54.41553
0.532,130,54.6683
0.5788,117,54.860699
0.0,250,55.321833
0.0,250,55.764472
0.0,250,56.215292
0.0,250,56.646211
0.226,215,57.07409
0.0,250,57.568096
0.0,250,59.796964
0.0,250,60.253011
0.0,250,60.749128
0.0,250,61.231905
0.0,250,61.734088
0.0,250,62.211396
0.0,250,62.719505
0.0,250,63.218417
0.2044,221,63.650201
0.298,195,65.71403
0.0,250,66.146209
0.244,210,66.528892
0.0,250,66.982902
0.0,250,67.447752
0.0,250,67.976637
0.0,250,68.557051
0.0,250,69.108315
0.0,250,71.351201
0.0,250,71.813964
0.0,250,72.313695
0.0,250,72.770119
0.0,250,73.232944
0.3016,194,73.599069
0.7732,63,73.723529
0.262,205,74.095572
0.0,250,74.613857
0.0,250,76.855809
0.0,250,77.385369
0.0,250,77.882325
0.0,250,78.38741
0.3124,191,78.814155
0.0,250,79.378603
0.2512,208,79.795298
0.3772,173,80.120991
0.4276,159,80.3972
0.0,250,80.888591
0.0,250,82.97506
0.2368,212,83.363134
0.4888,142,83.606542
0.0,250,84.069328
0.0,250,84.515399
0.0,250,84.995424
0.0,250,85.468175
0.7228,77,85.605176
0.8776,34,85.670009
0.0,250,86.148037
0.5896,114,86.357773
0.2692,203,88.611225
0.2548,207,88.995782
0.0,250,89.456571
0.0,250,89.927695
0.0,250,90.401849
0.712,80,90.547146
0.6616,94,90.734044
0.0,250,91.254564
0.6976,84,91.418252
0.0,250,91.93879
0.0,250,94.092863
0.2188,217,94.474411
0.4564,151,94.739882
0.784,60,94.846688
0.7876,59,94.959681
0.0,250,95.445357
0.0,250,95.931607
0.7012,83,96.083707
0.622,105,96.282909
0.0,250,96.739506
0.0,250,97.196497
0.694,85,97.377705
0.0,250,99.627856
0.4996,139,99.884147
0.7624,66,100.019923
0.0,250,100.520871
0.7444,71,100.651733
0.0,250,101.127608
0.6112,108,101.358187
0.0,250,101.821124
0.8344,46,101.910664
0.8164,51,102.013858
0.1864,226,102.483601
0.2008,222,102.933547
0.82,50,103.026858
0.8776,34,103.09544
0.622,105,103.298273
0.3592,178,105.450202
0.244,210,105.818817
0.8632,38,105.889665
0.0,250,106.348273
0.784,60,106.453312
0.6184,106,106.646336
0.4672,148,106.90364
0.8524,41,106.983918
0.1108,247,107.494282
0.8992,28,107.546152
0.55,125,107.804061
0.8704,36,107.864306
0.82,50,107.961501
