#{"t_start": 1708804256.1312299, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.2584,206,6.374803
0.0,250,6.911853
0.0,250,7.347036
0.0,250,7.780992
0.0,250,8.237317
0.0,250,8.675534
0.0,250,9.146446
0.0,250,9.582164
0.0,250,12.065341
0.0,250,12.52894
0.0,250,13.013993
0.0,250,13.474051
0.0,250,13.967948
0.0,250,14.445206
0.0,250,14.938405
0.0,250,15.421607
0.0,250,17.608838
0.0,250,18.069991
0.0,250,18.557124
0.0,250,19.052468
0.0,250,19.534912
0.5068,137,19.793046
0.0,250,20.257182
0.0,250,20.765317
0.4312,158,21.068227
0.1288,242,23.241587
0.5248,132,23.482448
0.0,250,23.943086
0.0,250,24.423321
0.0,250,24.884375
0.0,250,25.390095
0.0,250,25.858705
0.0,250,26.337078
0.0,250,26.829193
0.0,250,29.018902
0.0,250,29.50456
0.0,250,29.965296
0.0,250,30.434082
0.0,250,30.89756
0.0,250,31.401587
0.0,250,31.876019
0.0,250,32.384942
0.4672,148,34.338672
0.0,250,34.829093
0.0,250,35.288646
0.0,250,35.751879
0.0,250,36.23586
0.0,250,36.707089
0.0,250,37.217801
0.0,250,37.71468
0.0,250,38.205443
0.0,250,40.344761
0.4924,141,40.609707
0.0,250,41.061758
0.0,250,41.530797
0.442,155,41.85035
0.0,250,42.327074
0.1,250,42.820205
0.7444,71,42.95106
0.0,250,43.426424
0.0,250,45.598469
0.2116,219,46.010406
0.2116,219,46.447858
0.3196,189,46.805234
0.6004,111,47.011806
0.0,250,47.480794
0.5536,124,47.722463
0.0,250,48.199323
0.0,250,48.695909
0.0,250,49.18196
0.0,250,51.39226
0.0,250,51.860519
0.0,250,52.332908
0.0,250,52.790374
0.4276,159,53.091106
0.0,250,53.611123
0.3916,169,53.934143
0.0,250,54.432719
0.0,250,54.911379
0.5428,127,56.866302
0.0,250,57.320957
0.0,250,57.785655
0.8056,54,57.889701
0.4816,144,58.199458
0.0,250,58.659141
0.0,250,59.154477
0.5752,118,59.375012
0.6508,97,59.558484
0.1864,226,59.985415
0.0,250,60.500547
0.0,250,62.672393
0.1108,247,63.132
0.0,250,63.579939
0.7012,83,63.754754
0.0,250,64.235764
0.0,250,64.724612
0.0,250,65.224122
0.496,140,65.48082
0.784,60,65.590111
0.0,250,66.077446
0.0,250,68.221418
0.0,250,68.707312
0.0,250,69.162006
0.4816,144,69.425579
0.0,250,69.917045
0.6508,97,70.097901
0.0,250,70.592873
0.1468,237,71.055671
0.0,250,71.521595
0.1792,228,73.669186
0.5284,131,73.904056
0.6724,91,74.068541
0.0,250,74.552177
0.4924,141,74.813475
0.5608,122,75.034436
0.8452,43,75.107973
0.8776,34,75.174537
0.3196,189,75.526761
0.3052,193,75.882089
0.0,250,76.35977
0.2224,216,76.816713
0.388,170,77.161757
0.4924,141,77.430625
0.4168,162,79.466129
0.9532,13,79.491804
0.3016,194,79.84944
0.5752,118,80.08961
0.55,125,80.316881
0.5752,118,80.533889
0.5932,113,80.752125
0.4672,148,81.045497
0.2368,212,81.488466
0.5608,122,81.713435
0.5068,137,81.968625
0.514,135,82.233885
0.4096,164,82.572264
0.9064,26,82.621004
0.8704,36,82.687885
0.5392,128,82.937469
0.3736,174,85.049111
0.5392,128,85.290531
0.8128,52,85.383539
0.838,45,85.464935
0.8884,31,85.526928
0.5284,131,85.783535
0.5608,122,86.02798
0.8272,48,86.117702
0.6508,97,86.306449
0.784,60,86.41728
0.6436,99,86.606732
0.8164,51,86.702192
0.5104,136,86.985456
0.9208,22,87.034637
0.6148,107,87.242243
0.6292,103,87.439808
0.7156,79,87.587133
0.7336,74,87.725921
0.7444,71,87.877056
0.5356,129,88.12537
0.5644,121,88.373261
0.8272,48,88.462709
0.7336,74,88.609203
0.2224,216,90.764858
0.5644,121,90.987484
0.8092,53,91.091263
0.8524,41,91.178225
0.91,25,91.219857
0.8704,36,91.290735
0.8056,54,91.389734
0.8848,32,91.444005
0.8956,29,91.504789
0.8056,54,91.624399
0.8848,32,91.685221
0.874,35,91.747406
0.4924,141,92.008006
0.748,70,92.138052
0.8416,44,92.230458
0.6544,96,92.413498
0.9064,26,92.461831
0.9136,24,92.504943
0.8416,44,92.586981
0.532,130,92.860443
0.9028,27,92.913862
0.8344,46,93.002721
0.9136,24,93.046447
0.8488,42,93.128204
0.8056,54,93.23949
0.9136,24,93.289875
0.5824,116,93.508087
0.856,40,93.578223
0.874,35,93.645422
0.604,110,93.850237
0.388,170,94.189589
0.8632,38,94.264931
0.8668,37,94.34919
0.5032,138,94.609497
0.802,55,94.708133
0.8452,43,96.512856
0.8884,31,96.578834
0.7912,58,96.688905
0.874,35,96.749631
0.8776,34,96.817366
0.8236,49,96.910637
0.9424,16,96.938431
0.6364,101,97.128303
0.6904,86,97.291508
0.8524,41,97.375654
0.928,20,97.420471
0.8596,39,97.513514
0.6472,98,97.696736
0.7732,63,97.813141
0.8956,29,97.869478
0.9064,26,97.917735
0.856,40,97.996093
0.8524,41,98.068564
0.8848,32,98.134416
0.8452,43,98.216857
0.8848,32,98.272846
0.8164,51,98.374087
0.9028,27,98.430023
0.856,40,98.504726
0.8776,34,98.579779
0.9388,17,98.617354
0.91,25,98.673493
0.9244,21,98.719939
0.7912,58,98.829684
0.9316,19,98.87143
0.892,30,98.925413
0.8956,29,98.984149
0.712,80,99.132977
0.802,55,99.236712
0.874,35,99.309506
0.8776,34,99.373843
0.7876,59,99.489658
0.8884,31,99.548559
0.82,50,99.643118
0.91,25,99.697157
0.6076,109,99.939271
0.8812,33,99.996599
0.7984,56,100.103518
0.9028,27,100.157673
0.8092,53,100.256093
0.874,35,100.317188
0.5752,118,102.27493
0.7552,68,102.397079
0.424,160,102.679756
0.8848,32,102.740075
0.8704,36,102.809062
0.9208,22,102.847971
0.9172,23,102.893863
0.9172,23,102.939509
0.8956,29,103.006459
0.9208,22,103.049083
0.856,40,103.131225
0.9316,19,103.171208
0.9532,13,103.199697
0.9208,22,103.244464
0.8704,36,103.30574
0.8596,39,103.374455
0.8884,31,103.439447
0.8452,43,103.521204
0.9316,19,103.559438
0.9172,23,103.598797
0.8092,53,103.695437
0.9388,17,103.729847
0.8632,38,103.796079
0.9136,24,103.845254
0.964,10,103.863491
0.8776,34,103.924004
0.8848,32,103.985121
0.8632,38,104.061137
0.9136,24,104.102361
0.7624,66,104.222488
0.9064,26,104.275698
0.9064,26,104.324958
0.8092,53,104.45305
0.6904,86,104.619483
0.8452,43,104.701973
0.8848,32,104.762529
0.928,20,104.800936
0.8776,34,104.862306
0.9208,22,104.906184
0.9208,22,104.943887
0.8776,34,105.011902
0.7768,62,105.136886
0.8056,54,105.245352
0.8992,28,105.300758
0.9388,17,105.330899
0.8596,39,105.406042
0.856,40,105.488972
0.7732,63,105.626778
0.8164,51,105.728495
0.874,35,105.792427
0.9244,21,105.837101
0.8452,43,105.919311
0.8632,38,105.989988
0.9424,16,106.019579
0.748,70,107.896904
0.9316,19,107.930914
0.8884,31,107.990336
0.9244,21,108.025607
0.9172,23,108.072715
0.91,25,108.117794
0.946,15,108.147905
0.9352,18,108.182193
0.8812,33,108.240282
0.9208,22,108.281251
0.9532,13,108.30351
0.9604,11,108.324285
0.9208,22,108.369249
0.8524,41,108.4413
0.9028,27,108.494766
0.8812,33,108.579136
0.8848,32,108.639096
0.874,35,108.708032
0.946,15,108.73544
0.8596,39,108.811045
0.946,15,108.836322
0.946,15,108.861344
0.8884,31,108.924336
0.9532,13,108.946866
0.946,15,108.978411
0.9028,27,109.036488
0.8848,32,109.110544
0.946,15,109.139424
0.91,25,109.185474
0.9136,24,109.234878
0.9352,18,109.26782
0.9064,26,109.321772
0.946,15,109.349
0.892,30,109.415334
0.9496,14,109.441809
0.946,15,109.475112
0.8812,33,109.546227
0.9028,27,109.592278
0.8812,33,109.663061
0.8812,33,109.730929
0.9028,27,109.780911
0.9352,18,109.817599
0.9712,8,109.83207
0.9064,26,109.878596
0.8848,32,109.9376
0.8956,29,109.989674
0.9388,17,110.023495
0.9244,21,110.066583
0.874,35,110.144063
0.892,30,110.204147
0.9136,24,110.25688
0.8992,28,110.305862
0.9136,24,110.356766
0.9064,26,110.404013
0.8236,49,110.503268
0.892,30,110.561448
0.9316,19,110.594305
0.9208,22,110.633789
0.91,25,110.682659
0.8524,41,110.760408
0.838,45,110.840358
0.856,40,110.917821
0.9388,17,110.949873
0.8452,43,111.03155
0.9244,21,111.076827
0.9496,14,111.103388
0.928,20,111.136113
0.9064,26,111.192535
0.91,25,111.237051
0.8488,42,111.328927
0.8992,28,111.400811
0.892,30,111.466142
0.8956,29,111.521605
0.9136,24,111.564519
0.8848,32,111.632387
0.91,25,111.687686
0.9244,21,111.731488
0.7804,61,111.859952
0.8776,34,113.602942
0.9136,24,113.649734
0.9172,23,113.706277
0.9352,18,113.749078
0.9208,22,113.808378
0.9604,11,113.828824
0.9208,22,113.868992
0.9388,17,113.910171
0.946,15,113.941091
0.8848,32,113.996258
0.8668,37,114.067105
0.8632,38,114.141779
0.8956,29,114.189807
0.946,15,114.220828
0.928,20,114.259863
0.9424,16,114.285647
0.8632,38,114.357462
0.91,25,114.400031
0.9352,18,114.431773
0.9028,27,114.485009
0.9208,22,114.520468
0.8704,36,114.589526
0.946,15,114.61598
0.8668,37,114.68476
0.964,10,114.703986
0.9388,17,114.733408
0.9568,12,114.759778
0.8992,28,114.823571
0.9496,14,114.849695
0.9604,11,114.869632
0.892,30,114.929705
0.946,15,114.954494
0.91,25,115.001549
0.928,20,115.038877
0.9352,18,115.069793
0.9532,13,115.092321
0.9172,23,115.138115
0.9136,24,115.179972
0.946,15,115.208218
0.9316,19,115.247474
0.8776,34,115.309904
0.9388,17,115.343009
0.9244,21,115.37778
0.9172,23,115.414819
0.9028,27,115.470178
0.8992,28,115.518391
0.9532,13,115.549451
0.9316,19,115.584567
0.8956,29,115.637246
0.964,10,115.66078
0.9352,18,115.693187
0.9244,21,115.733069
0.9208,22,115.776964
0.8776,34,115.841905
0.8704,36,115.913726
0.9568,12,115.937138
0.9424,16,115.989955
0.9064,26,116.063726
0.9208,22,116.111863
0.9532,13,116.134682
0.892,30,116.197021
0.856,40,116.269567
0.9388,17,116.307746
0.9208,22,116.346802
0.9388,17,116.379029
0.766,65,116.501488
0.8128,52,116.599254
0.91,25,116.651604
0.91,25,116.69511
0.9028,27,116.751725
0.8884,31,116.807552
0.8812,33,116.874272
0.9568,12,116.896144
0.9532,13,116.920193
0.9244,21,116.961937
0.9064,26,117.008307
0.946,15,117.034363
0.8812,33,117.10882
0.9028,27,117.161261
0.7732,63,117.282474
0.9172,23,117.328002
0.9172,23,117.369072
0.8956,29,117.428374
0.946,15,117.456275
0.9604,11,117.476
0.9352,18,117.511486
0.9172,23,117.551432
0.856,40,119.323411
0.9532,13,119.345861
0.9388,17,119.382644
0.6688,92,119.563948
0.9172,23,119.610301
0.9424,16,119.640016
0.8704,36,119.706035
0.9604,11,119.726516
0.9064,26,119.769714
0.8992,28,119.823645
0.8488,42,119.89314
0.9136,24,119.940608
0.9424,16,119.9694
0.9028,27,120.023963
0.9496,14,120.048336
0.9424,16,120.074887
0.856,40,120.154909
0.9316,19,120.187189
0.928,20,120.22739
0.9424,16,120.256289
0.9208,22,120.300205
0.9568,12,120.327841
0.9424,16,120.362521
0.9496,14,120.386573
0.91,25,120.433694
0.9352,18,120.470772
0.9424,16,120.498481
0.91,25,120.542771
0.9064,26,120.5971
0.9316,19,120.641393
0.9496,14,120.678981
0.9388,17,120.71695
0.946,15,120.745351
0.9064,26,120.800783
0.9244,21,120.837466
0.9532,13,120.860351
0.9352,18,120.901729
0.9676,9,120.918188
0.946,15,120.943735
0.9244,21,120.979385
0.928,20,121.021613
0.9568,12,121.042981
0.9352,18,121.074907
0.9352,18,121.11162
0.9388,17,121.146305
0.9388,17,121.176008
0.9316,19,121.213463
0.9424,16,121.247426
0.892,30,121.297809
0.946,15,121.33031
0.9568,12,121.352268
0.8776,34,121.412015
0.9388,17,121.448853
0.9424,16,121.476962
0.928,20,121.511949
0.9136,24,121.560608
0.8956,29,121.610408
0.9064,26,121.663333
0.9064,26,121.714437
0.9388,17,121.754809
0.7552,68,121.880081
0.9496,14,121.905291
0.946,15,121.931198
0.9424,16,121.958428
0.9496,14,121.989876
0.9388,17,122.021584
0.9316,19,122.059199
0.9352,18,122.099315
0.9568,12,122.121716
0.91,25,122.16784
0.9388,17,122.209175
0.9136,24,122.264118
0.9604,11,122.285753
0.9496,14,122.317492
0.9532,13,122.341267
0.9172,23,122.383645
0.91,25,122.436003
0.9532,13,122.461361
0.8956,29,122.527567
0.9208,22,122.56551
0.9028,27,122.61497
0.9388,17,122.651878
0.9352,18,122.682732
0.9568,12,122.704289
0.928,20,122.745609
0.9424,16,122.774027
0.9172,23,122.813842
0.8992,28,122.871306
0.9532,13,122.895711
0.9568,12,122.917222
0.9244,21,122.973428
0.8992,28,123.040176
0.9496,14,123.076955
0.9352,18,123.109951
0.9388,17,123.13904
0.9496,14,123.164672
0.9316,19,123.205221
0.9496,14,123.230566
0.8704,36,124.967471
0.9316,19,124.999735
0.9568,12,125.021449
0.9496,14,125.050787
0.9388,17,125.081222
0.9424,16,125.107268
0.9568,12,125.134093
0.9496,14,125.159191
0.9388,17,125.188054
0.9424,16,125.214018
0.9496,14,125.245147
0.9208,22,125.295105
0.946,15,125.329957
0.8992,28,125.397054
0.9388,17,125.425962
0.9568,12,125.453453
0.9064,26,125.520942
0.928,20,125.562504
0.9424,16,125.592188
0.9532,13,125.614988
0.9028,27,125.669011
0.9496,14,125.693279
0.964,10,125.709658
0.9568,12,125.731537
0.9388,17,125.766582
0.9352,18,125.801523
0.9244,21,125.834922
0.9136,24,125.882262
0.946,15,125.909619
0.9496,14,125.932207
0.9424,16,125.958699
0.928,20,125.999861
0.928,20,126.03459
0.8992,28,126.085053
0.9064,26,126.138421
0.9172,23,126.189269
0.9496,14,126.219245
0.9424,16,126.246775
0.9424,16,126.276424
0.9136,24,126.328323
0.9496,14,126.354122
0.9532,13,126.379901
0.9208,22,126.42816
0.9604,11,126.449999
0.9424,16,126.486456
0.928,20,126.533615
0.9028,27,126.581113
0.9496,14,126.607773
0.9172,23,126.653738
0.9208,22,126.692645
0.9568,12,126.719207
0.9496,14,126.74983
0.964,10,126.768973
0.9388,17,126.806943
0.9352,18,126.847992
0.9424,16,126.878173
0.9244,21,126.915269
0.9532,13,126.944234
0.9352,18,126.976316
0.9352,18,127.00711
0.9568,12,127.03138
0.9532,13,127.059145
0.946,15,127.084864
0.9568,12,127.105038
0.9388,17,127.140518
0.9352,18,127.176306
0.9316,19,127.209942
0.964,10,127.23026
0.9172,23,127.272726
0.946,15,127.299849
0.9244,21,127.337581
0.9316,19,127.376079
0.9172,23,127.41521
0.964,10,127.432302
0.9496,14,127.463855
0.9424,16,127.492587
0.9424,16,127.519347
0.9136,24,127.569524
0.9388,17,127.611951
0.9352,18,127.654942
0.9244,21,127.708371
0.946,15,127.738619
0.892,30,127.798034
0.9568,12,127.819325
0.8344,46,127.908325
0.9676,9,127.924724
0.9352,18,127.955682
0.9388,17,127.9938
0.9136,24,128.035485
0.9136,24,128.082544
0.9352,18,128.117941
0.9568,12,128.140241
0.9532,13,128.162565
0.928,20,128.206765
0.9316,19,128.243252
0.9388,17,128.276668
0.928,20,128.317763
0.8992,28,128.366174
0.9136,24,128.419754
0.9568,12,128.442638
0.9532,13,128.465992
0.946,15,128.496814
0.9676,9,128.516093
0.9496,14,128.542351
0.8812,33,128.601556
0.9388,17,128.636666
0.9352,18,128.668827
0.9496,14,128.710212
0.9496,14,128.740093
0.9532,13,128.766245
0.9424,16,128.799327
0.9496,14,128.830454
0.9496,14,128.856214
0.9604,11,128.876363
0.9424,16,128.907077
0.9424,16,128.941924
0.9532,13,128.968981
0.9424,16,130.667023
0.9568,12,130.6859
0.946,15,130.709955
0.946,15,130.741358
0.9136,24,130.781905
0.9676,9,130.79656
0.9388,17,130.832243
0.9352,18,130.865924
0.9568,12,130.886993
0.9568,12,130.906479
0.9316,19,130.938391
0.9316,19,130.976931
0.9496,14,131.002991
0.946,15,131.029321
0.9388,17,131.062175
0.9496,14,131.093481
0.9532,13,131.119625
0.9604,11,131.142331
0.964,10,131.171651
0.9352,18,131.211932
0.9604,11,131.232136
0.9496,14,131.257831
0.946,15,131.290454
0.946,15,131.31682
0.946,15,131.342717
0.9496,14,131.367888
0.9604,11,131.390532
0.9532,13,131.412922
0.9352,18,131.442374
0.946,15,131.467015
0.9604,11,131.488582
0.9424,16,131.518226
0.9424,16,131.543859
0.9316,19,131.575782
0.9532,13,131.603814
0.9388,17,131.63321
0.9388,17,131.660407
0.9496,14,131.685412
0.9532,13,131.714297
0.9424,16,131.743206
0.9424,16,131.770691
0.9424,16,131.80018
0.946,15,131.833332
0.9172,23,131.872692
0.964,10,131.89037
0.9568,12,131.913148
0.946,15,131.945404
0.9244,21,131.980858
0.9244,21,132.016863
0.9532,13,132.045565
0.9316,19,132.078831
0.9496,14,132.102816
0.9604,11,132.123383
0.9424,16,132.158633
0.9316,19,132.1929
0.9712,8,132.20965
0.9352,18,132.25037
0.946,15,132.28679
0.946,15,132.318241
0.9352,18,132.369895
0.946,15,132.40004
0.9244,21,132.438101
0.9136,24,132.485129
0.9424,16,132.512291
0.9532,13,132.540173
0.9604,11,132.565573
0.964,10,132.584194
0.9388,17,132.614212
0.9532,13,132.640021
0.9568,12,132.665303
0.9244,21,132.70207
0.946,15,132.728082
0.9676,9,132.74486
0.9424,16,132.780725
0.946,15,132.808273
0.946,15,132.83279
0.9676,9,132.848566
0.964,10,132.871727
0.9208,22,132.912811
0.964,10,132.929888
0.9388,17,132.963797
0.9424,16,132.99928
0.9244,21,133.036087
0.8884,31,133.097907
0.9316,19,133.131034
0.9568,12,133.15238
0.9604,11,133.173665
0.964,10,133.193936
0.9532,13,133.217747
0.9496,14,133.242306
0.9424,16,133.270196
0.9532,13,133.302714
0.946,15,133.335378
0.9172,23,133.394783
0.9604,11,133.423417
0.964,10,133.44652
0.9676,9,133.462427
0.946,15,133.49161
0.928,20,133.532604
0.9496,14,133.557423
0.9604,11,133.576451
0.9568,12,133.599863
0.9532,13,133.628964
0.964,10,133.646805
0.9172,23,133.689142
0.9532,13,133.71963
0.8956,29,133.77047
0.9568,12,133.791087
0.946,15,133.819943
0.9244,21,133.862594
0.964,10,133.880987
0.9568,12,133.902041
0.9568,12,133.92751
0.964,10,133.947682
0.9424,16,133.976037
0.9568,12,133.997345
0.9316,19,134.038232
0.9352,18,134.071048
0.928,20,134.105364
0.9424,16,134.140528
0.928,20,134.175782
0.9604,11,134.194449
0.946,15,134.221501
0.946,15,134.253627
0.9568,12,134.277525
0.946,15,134.304062
0.9496,14,134.332805
0.9388,17,134.370204
0.9496,14,134.395587
0.9352,18,134.428717
0.9532,13,134.460281
0.9532,13,134.483856
0.9568,12,134.503554
0.9316,19,134.53829
0.9532,13,134.570118
0.9496,14,134.606158
0.9388,17,136.327101
0.9568,12,136.353528
0.9568,12,136.377713
0.9676,9,136.393861
0.9496,14,136.423966
0.9532,13,136.450915
0.9388,17,136.484359
0.9532,13,136.508963
0.9496,14,136.533803
0.9568,12,136.560019
0.9424,16,136.591197
0.946,15,136.617539
0.9496,14,136.640665
0.9388,17,136.676094
0.9388,17,136.709082
0.9532,13,136.735646
0.9568,12,136.758808
0.9532,13,136.78571
0.9604,11,136.80514
0.9388,17,136.834461
0.9568,12,136.856293
0.9388,17,136.890649
0.9244,21,136.931477
0.9676,9,136.953164
0.9568,12,136.982581
0.9532,13,137.011591
0.9532,13,137.038589
0.9568,12,137.060732
0.9532,13,137.088945
0.9532,13,137.109337
0.9496,14,137.133012
0.9316,19,137.163842
0.9532,13,137.191539
0.9496,14,137.219499
0.9568,12,137.239774
0.9424,16,137.266062
0.946,15,137.297527
0.9604,11,137.318696
0.9676,9,137.333993
0.964,10,137.351324
0.9532,13,137.373555
0.9568,12,137.400121
0.9568,12,137.42199
0.9568,12,137.442863
0.9568,12,137.462801
0.946,15,137.490229
0.9424,16,137.524447
0.9496,14,137.55073
0.964,10,137.567881
0.9568,12,137.589657
0.964,10,137.613874
0.9568,12,137.637753
0.964,10,137.657745
0.946,15,137.691683
0.9496,14,137.722079
0.9568,12,137.744636
0.964,10,137.762423
0.9388,17,137.791079
0.9496,14,137.814926
0.9568,12,137.839712
0.9496,14,137.865185
0.9496,14,137.889627
0.9424,16,137.916568
0.964,10,137.93849
0.9532,13,137.964579
0.9424,16,137.990864
0.9424,16,138.018837
0.9316,19,138.062897
0.964,10,138.085426
0.9676,9,138.103275
0.9424,16,138.133763
0.9388,17,138.17317
0.9604,11,138.197682
0.9532,13,138.219617
0.9532,13,138.243459
0.964,10,138.265784
0.9532,13,138.288347
0.9748,7,138.300466
0.9604,11,138.319
0.964,10,138.336324
0.9712,8,138.352333
0.9676,9,138.372812
0.9424,16,138.403339
0.9532,13,138.425496
0.9748,7,138.439271
0.9424,16,138.474173
0.9676,9,138.491868
0.9604,11,138.511774
0.8884,31,138.574148
0.9532,13,138.600178
0.9388,17,138.629535
0.9496,14,138.654449
0.9208,22,138.700382
0.9352,18,138.733382
0.928,20,138.771884
0.9532,13,138.803926
0.964,10,138.822762
0.9568,12,138.844272
0.9424,16,138.871216
0.9424,16,138.906087
0.9208,22,138.944899
0.9244,21,138.979589
0.9568,12,139.007202
0.9496,14,139.034799
0.9388,17,139.064972
0.9388,17,139.094834
0.9604,11,139.120612
0.9568,12,139.143195
0.9496,14,139.168786
0.9352,18,139.200337
0.9532,13,139.228489
0.946,15,139.259505
0.9604,11,139.284817
0.9316,19,139.328727
0.946,15,139.366493
0.964,10,139.386432
0.9604,11,139.407162
0.9604,11,139.428461
0.9604,11,139.453476
0.964,10,139.470513
0.9424,16,139.49688
0.9352,18,139.527476
0.9208,22,139.574239
0.9532,13,139.598467
0.9388,17,139.627946
0.9424,16,139.661444
0.9568,12,139.684321
0.9568,12,139.703554
0.9604,11,139.722479
0.9496,14,139.747612
0.964,10,139.772158
0.9388,17,139.811811
0.9712,8,139.828396
0.9568,12,139.852415
0.9568,12,139.87854
0.9604,11,139.900587
0.946,15,139.928554
0.9568,12,139.949553
0.9496,14,139.974268
0.946,15,140.004801
0.946,15,140.033407
0.946,15,140.059239
0.9496,14,140.083978
0.9316,19,140.125921
0.9424,16,140.1531
0.9604,11,140.173074
0.9496,14,140.199656
0.9496,14,140.230304
0.964,10,140.249473
0.9532,13,141.988026
0.9532,13,142.021807
0.9604,11,142.043768
0.964,10,142.06182
0.946,15,142.090571
0.9532,13,142.119714
0.9604,11,142.139952
0.964,10,142.157082
0.9388,17,142.185276
0.9568,12,142.208772
0.9244,21,142.250047
0.9604,11,142.268469
0.9568,12,142.290312
0.9352,18,142.327595
0.9532,13,142.351573
0.9208,22,142.3917
0.9532,13,142.415033
0.9568,12,142.441506
0.9712,8,142.459145
0.9496,14,142.485264
0.9532,13,142.508747
0.964,10,142.528504
0.9568,12,142.556327
0.9676,9,142.572245
0.9604,11,142.591664
0.9568,12,142.611293
0.9496,14,142.635811
0.9532,13,142.66107
0.946,15,142.694897
0.9676,9,142.715333
0.9496,14,142.742616
0.9532,13,142.770463
0.9568,12,142.791346
0.9532,13,142.813714
0.9496,14,142.836095
0.964,10,142.854585
0.964,10,142.878221
0.964,10,142.90301
0.9676,9,142.927621
0.9604,11,142.949844
0.964,10,142.970787
0.9712,8,142.988635
0.9532,13,143.012706
0.9676,9,143.028151
0.9604,11,143.046321
0.9388,17,143.076585
0.9568,12,143.103497
0.9424,16,143.132215
0.9604,11,143.150506
0.9604,11,143.17067
0.9604,11,143.193568
0.9604,11,143.217118
0.9568,12,143.238399
0.9604,11,143.256434
0.9532,13,143.278403
0.9532,13,143.304776
0.946,15,143.333727
0.9496,14,143.357277
0.9352,18,143.39018
0.9532,13,143.418664
0.9604,11,143.44093
0.964,10,143.458203
0.9748,7,143.469595
0.9748,7,143.482208
0.964,10,143.500782
0.9712,8,143.515881
0.9676,9,143.535628
0.9568,12,143.557642
0.9496,14,143.58142
0.946,15,143.608223
0.9532,13,143.632529
0.9316,19,143.670316
0.946,15,143.698196
0.9676,9,143.714078
0.9316,19,143.753457
0.9604,11,143.774675
0.9388,17,143.804313
0.9568,12,143.825237
0.9496,14,143.85402
0.9604,11,143.875996
0.9424,16,143.908831
0.9244,21,143.957921
0.9424,16,143.99745
0.9208,22,144.040212
0.9532,13,144.066855
0.9676,9,144.089172
0.9604,11,144.111004
0.9604,11,144.134229
0.964,10,144.155322
0.9496,14,144.189533
0.9604,11,144.210445
0.9676,9,144.227363
0.9604,11,144.246348
0.9568,12,144.267234
0.9604,11,144.289384
0.9568,12,144.317017
0.964,10,144.335565
0.9604,11,144.354796
0.9604,11,144.374254
0.9676,9,144.38974
0.928,20,144.432714
0.9532,13,144.454984
0.9604,11,144.473739
0.946,15,144.49984
0.9532,13,144.527961
0.9532,13,144.55268
0.9676,9,144.569293
0.946,15,144.596328
0.9496,14,144.623694
0.9604,11,144.649064
0.9388,17,144.680973
0.946,15,144.707126
0.9604,11,144.728852
0.9532,13,144.760251
0.9604,11,144.781544
0.9604,11,144.801515
0.9676,9,144.818666
0.9676,9,144.836663
0.9604,11,144.861715
0.9496,14,144.887264
0.9424,16,144.915158
0.928,20,144.95134
0.9568,12,144.980387
0.946,15,145.009956
0.9568,12,145.032892
0.9568,12,145.05784
0.9604,11,145.083987
0.9676,9,145.101925
0.9712,8,145.122131
0.9604,11,145.144348
0.9532,13,145.182342
0.9568,12,145.205651
0.9496,14,145.230493
0.964,10,145.248143
0.9496,14,145.274445
0.964,10,145.297242
0.9532,13,145.322175
0.9604,11,145.340694
0.9568,12,145.362178
0.9568,12,145.38504
0.9316,19,145.425822
0.9532,13,145.448991
0.9568,12,145.470315
0.9532,13,145.49483
0.9496,14,145.525166
0.964,10,145.543739
0.9388,17,145.572442
0.9352,18,145.605273
0.9568,12,145.631943
0.9568,12,145.654745
0.9316,19,145.689673
0.9568,12,145.710602
0.964,10,145.734469
0.9424,16,145.763397
0.964,10,145.780749
0.9604,11,145.800203
0.9496,14,145.827853
0.9604,11,145.852838
0.946,15,145.880427
0.9604,11,145.899809
0.9496,14,145.924134
0.9568,12,145.954263
0.9604,11,145.97435
0.9568,12,147.738546
0.9712,8,147.752835
0.9496,14,147.776378
0.9604,11,147.801967
0.9568,12,147.829018
0.9604,11,147.848571
0.9532,13,147.870207
0.9568,12,147.88935
0.946,15,147.916137
0.9604,11,147.939967
0.964,10,147.958561
0.964,10,147.975118
0.946,15,147.99878
0.9676,9,148.013508
0.964,10,148.036724
0.946,15,148.064646
0.9496,14,148.088601
0.9676,9,148.103514
0.9604,11,148.123508
0.9604,11,148.148554
0.9604,11,148.168501
0.9604,11,148.187725
0.964,10,148.204015
0.964,10,148.220784
0.9712,8,148.237639
0.946,15,148.265423
0.9532,13,148.288708
0.964,10,148.305196
0.9496,14,148.330004
0.9496,14,148.360061
0.9532,13,148.383188
0.9676,9,148.39929
0.9712,8,148.412839
0.9532,13,148.437902
0.9172,23,148.486746
0.9604,11,148.50801
0.9604,11,148.532732
0.946,15,148.572214
0.9604,11,148.593971
0.9532,13,148.620899
0.9568,12,148.648937
0.9604,11,148.681604
0.9568,12,148.70355
0.9532,13,148.725794
0.9568,12,148.746362
