#{"t_start": 1708811049.8133936, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,4.57988
0.0,250,5.037483
0.0,250,5.472625
0.0,250,5.894433
0.0,250,6.360945
0.0,250,6.80739
0.0,250,7.267073
0.0,250,7.715757
0.0,250,10.86744
0.0,250,11.35509
0.0,250,11.827163
0.0,250,12.311703
0.0,250,12.774444
0.0,250,13.288173
0.0,250,13.751975
0.0,250,14.216588
0.1504,236,16.290197
0.0,250,16.735284
0.0,250,17.176821
0.0,250,17.655086
0.0,250,18.140135
0.0,250,18.602055
0.0,250,19.095983
0.7192,78,19.234651
0.0,250,19.710585
0.0,250,21.837325
0.0,250,22.279579
0.0,250,22.76046
0.0,250,23.21131
0.0,250,23.677553
0.0,250,24.154399
0.0,250,24.61197
0.0,250,25.115341
0.0,250,27.210731
0.0,250,27.64357
0.0,250,28.086698
0.0,250,28.543615
0.0,250,28.98075
0.0,250,29.489829
0.0,250,29.945335
0.0,250,30.408192
0.0,250,32.556517
0.0,250,33.005082
0.0,250,33.440266
0.0,250,33.886341
0.0,250,34.407003
0.1648,232,34.834685
0.0,250,35.294458
0.0,250,35.766092
0.0,250,37.927798
0.0,250,38.372062
0.0,250,38.867676
0.0,250,39.316324
0.0,250,39.754625
0.3952,168,40.072184
0.0,250,40.520724
0.0,250,40.999839
0.0,250,41.520781
0.0,250,43.815606
0.0,250,44.256016
0.0,250,44.70944
0.0,250,45.165713
0.0,250,45.641613
0.0,250,46.147357
0.5248,132,46.384523
0.0,250,46.871287
0.4348,157,47.164611
0.0,250,49.314903
0.6508,97,49.500243
0.0,250,49.950478
0.0,250,50.4598
0.0,250,50.930823
0.0,250,51.398263
0.37,175,51.719607
0.0,250,52.185557
0.0,250,52.671476
0.0,250,54.771306
0.0,250,55.246662
0.0,250,55.674799
0.0,250,56.147849
0.4348,157,56.447106
0.0,250,56.9061
0.0,250,57.398872
0.0,250,57.863352
0.0,250,58.333417
0.1324,241,60.405691
0.0,250,60.854827
0.0,250,61.308865
0.3808,172,61.622115
0.0,250,62.120637
0.0,250,62.587694
0.7156,79,62.728935
0.0,250,63.216959
0.0,250,63.692251
0.136,240,65.834749
0.4924,141,66.083299
0.0,250,66.525654
0.0,250,67.013423
0.5176,134,67.253495
0.0,250,67.727363
0.6796,89,67.901933
0.7732,63,68.032933
0.4888,142,68.295166
0.0,250,68.767562
0.0,250,69.27199
0.514,135,71.136565
0.6616,94,71.306635
0.8092,53,71.425836
0.6256,104,71.609572
0.352,180,71.931116
0.766,65,72.043957
0.5968,112,72.240544
0.2404,211,72.637063
0.4564,151,72.896037
0.0,250,73.335877
0.19,225,73.821331
0.8272,48,73.918226
0.4852,143,74.17913
0.7768,62,74.294625
0.6148,107,74.492927
0.5464,126,74.743215
0.7372,73,74.887627
0.568,120,76.73305
0.5644,121,76.952482
0.0,250,77.433133
0.82,50,77.531714
0.8344,46,77.620896
0.6472,98,77.799173
0.748,70,77.941895
0.6904,86,78.09812
0.4996,139,78.388612
0.5896,114,78.607872
0.5464,126,78.838902
0.9568,12,78.860095
0.8236,49,78.950039
0.7408,72,79.079056
0.928,20,79.121432
0.8524,41,79.190699
0.5464,126,79.428572
0.5608,122,79.669678
0.4384,156,79.952152
0.7408,72,80.086172
0.0,250,82.211298
0.4852,143,82.472243
0.82,50,82.56534
0.856,40,82.632523
0.9496,14,82.659753
0.8452,43,82.727581
0.9028,27,82.779116
0.8956,29,82.825823
0.478,145,83.133916
0.6436,99,83.311942
0.496,140,83.561811
0.8488,42,83.640307
0.9352,18,83.669254
0.658,95,83.84241
0.6688,92,84.005991
0.7948,57,84.128096
0.6148,107,84.335736
0.4384,156,84.626884
0.28,200,84.998233
0.3448,182,85.356993
0.5572,123,85.604254
0.7336,74,85.73911
0.7948,57,85.845282
0.8092,53,87.584409
0.9244,21,87.617154
0.6832,88,87.82368
0.6328,102,88.007215
0.8776,34,88.061302
0.8812,33,88.122897
0.6724,91,88.287421
0.7984,56,88.384738
0.5176,134,88.616428
0.4456,154,88.900549
0.9316,19,88.932238
0.8956,29,88.989385
0.568,120,89.208881
0.892,30,89.258462
0.8812,33,89.318958
0.802,55,89.415063
0.892,30,89.46126
0.4096,164,89.760364
0.8164,51,89.852468
0.8164,51,89.945276
0.9136,24,89.995034
0.8524,41,90.102429
0.6868,87,90.269816
0.9316,19,90.303313
0.9064,26,90.355529
0.802,55,90.453712
0.7912,58,90.565405
0.55,125,90.79542
0.9136,24,90.837857
0.6256,104,91.035495
0.8524,41,91.11847
0.928,20,91.167364
0.7336,74,91.326806
0.892,30,93.024445
0.784,60,93.12752
0.8956,29,93.17958
0.7804,61,93.294835
0.8128,52,93.395719
0.8452,43,93.488344
0.892,30,93.546211
0.5788,117,93.751867
0.7012,83,93.891831
0.8812,33,93.951754
0.8956,29,93.999314
0.8848,32,94.058483
0.8704,36,94.120298
0.9388,17,94.155365
0.6616,94,94.32348
0.8704,36,94.391438
0.892,30,94.442837
0.8596,39,94.519969
0.8884,31,94.573837
0.82,50,94.689481
0.7768,62,94.824225
0.6436,99,95.004103
0.8092,53,95.102762
0.6976,84,95.264926
0.8596,39,95.337263
0.8704,36,95.402768
0.5536,124,95.64661
0.9352,18,95.68156
0.7732,63,95.811035
0.6832,88,95.981452
0.9208,22,96.018878
0.8812,33,96.078388
0.8992,28,96.132034
0.9028,27,96.186515
0.8128,52,96.277702
0.6256,104,96.469278
0.8488,42,96.55553
0.8344,46,96.644697
0.838,45,96.731094
0.7984,56,96.835354
0.8596,39,98.613182
0.9244,21,98.657676
0.8812,33,98.724419
0.8992,28,98.777585
0.9496,14,98.802423
0.8776,34,98.867239
0.8596,39,98.933736
0.9244,21,98.974947
0.91,25,99.014647
0.9316,19,99.049626
0.9496,14,99.07561
0.8416,44,99.159616
0.7372,73,99.297924
0.8632,38,99.395545
0.7912,58,99.514251
0.9244,21,99.554105
0.7984,56,99.656604
0.9208,22,99.700628
0.8344,46,99.786994
0.7984,56,99.893469
0.0,250,100.356787
0.7408,72,100.500707
0.9028,27,100.551115
0.9244,21,100.587763
0.928,20,100.632013
0.874,35,100.692008
0.8956,29,100.751842
0.8704,36,100.817151
0.7444,71,100.950264
0.928,20,100.989416
0.7192,78,101.131325
0.9496,14,101.161223
0.8776,34,101.219918
0.8992,28,101.276188
0.9064,26,101.321726
0.8596,39,101.396746
0.7804,61,101.509621
0.7588,67,101.661413
0.8956,29,101.740186
0.8884,31,101.81004
0.8056,54,101.909303
