#{"t_start": 1708814331.907742, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,4.603837
0.0,250,5.083263
0.0,250,5.515975
0.0,250,6.065836
0.0,250,6.557702
0.0,250,7.005776
0.0,250,7.475524
0.0,250,7.95092
0.0,250,10.940904
0.1792,228,11.388879
0.0,250,11.890978
0.0,250,12.400813
0.0,250,12.853761
0.0,250,13.350225
0.0,250,13.790661
0.0,250,14.255835
0.0,250,16.430999
0.0,250,16.858804
0.0,250,17.304084
0.0,250,17.796579
0.0,250,18.244121
0.0,250,18.737467
0.4636,149,19.014439
0.0,250,19.475506
0.0,250,19.976274
0.0,250,22.034577
0.0,250,22.508957
0.0,250,22.955029
0.0,250,23.434815
0.0,250,23.900309
0.0,250,24.358952
0.0,250,24.884851
0.0,250,25.340551
0.0,250,27.429804
0.118,245,27.869572
0.0,250,28.335109
0.0,250,28.782745
0.0,250,29.255905
0.0,250,29.747205
0.0,250,30.198197
0.0,250,30.693578
0.0,250,32.76313
0.0,250,33.202772
0.0,250,33.64224
0.0,250,34.149376
0.0,250,34.596578
0.0,250,35.063791
0.0,250,35.548274
0.0,250,36.019126
0.0,250,38.134804
0.0,250,38.590537
0.0,250,39.108799
0.0,250,39.556539
0.0,250,40.018831
0.0,250,40.477445
0.0,250,40.979523
0.0,250,41.474533
0.0,250,43.591906
0.0,250,44.021508
0.0,250,44.467901
0.0,250,44.921474
0.0,250,45.380274
0.0,250,45.917669
0.0,250,46.391688
0.4204,161,46.69538
0.0,250,47.15183
0.2872,198,49.17895
0.2728,202,49.523409
0.0,250,49.963809
0.0,250,50.451421
0.3268,187,50.778029
0.0,250,51.223247
0.73,75,51.364928
0.6688,92,51.554125
0.1756,229,51.969475
0.694,85,52.12997
0.0,250,52.613384
0.0,250,54.663526
0.0,250,55.131659
0.5824,116,55.335539
0.7192,78,55.471665
0.0,250,55.910782
0.0,250,56.38888
0.568,120,56.627883
0.0,250,57.074694
0.0,250,57.569562
0.0,250,58.029092
0.694,85,59.837346
0.0,250,60.275289
0.0,250,60.728229
0.0,250,61.182565
0.0,250,61.636431
0.2296,214,62.055824
0.0,250,62.523985
0.1792,228,62.95323
0.1504,236,63.413123
0.3772,173,65.383174
0.6796,89,65.561566
0.7012,83,65.715199
0.8092,53,65.80722
0.5752,118,66.010506
0.3808,172,66.303468
0.0,250,66.783297
0.2368,212,67.170485
0.7732,63,67.291296
0.0,250,67.775497
0.568,120,67.997716
0.0,250,68.446059
0.0,250,68.938883
0.5104,136,70.834463
0.0,250,71.308427
0.7696,64,71.424711
0.9136,24,71.485035
0.0,250,71.937439
0.2908,197,72.278223
0.1,250,72.742845
0.1468,237,73.169234
0.2188,217,73.577967
0.7336,74,73.743152
0.0,250,74.207482
0.0,250,76.316146
0.6328,102,76.494566
0.568,120,76.706338
0.8272,48,76.790509
0.0,250,77.258304
0.37,175,77.582017
0.7768,62,77.697423
0.3412,183,78.030739
0.7444,71,78.16558
0.7732,63,78.327819
0.8668,37,78.402885
0.0,250,78.87738
0.5356,129,79.110982
0.2548,207,79.497019
0.8056,54,79.594192
0.5176,134,79.841097
0.2944,196,81.851928
0.9496,14,81.87538
0.0,250,82.313672
0.5644,121,82.531778
0.568,120,82.742681
0.568,120,83.006588
0.5896,114,83.207739
0.0,250,83.686295
0.6364,101,83.869959
0.2836,199,84.247054
0.1468,237,84.688778
0.496,140,84.942863
0.7264,76,85.087471
0.0,250,87.213892
0.5644,121,87.42291
0.8308,47,87.505095
0.8596,39,87.604555
0.784,60,87.731856
0.874,35,87.789876
0.4204,161,88.075924
0.532,130,88.304416
0.7768,62,88.414865
0.4672,148,88.690548
0.2224,216,89.106722
0.0,250,89.55389
