#{"t_start": 1708807188.3364196, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,5.693519
0.0,250,6.268461
0.0,250,6.714995
0.0,250,7.12526
0.0,250,7.605807
0.0,250,8.043264
0.0,250,8.462452
0.0,250,8.895175
0.0,250,11.283249
0.0,250,11.729233
0.0,250,12.242822
0.0,250,12.71977
0.0,250,13.178379
0.0,250,13.660206
0.0,250,14.123923
0.0,250,14.620651
0.0,250,16.669359
0.0,250,17.15128
0.0,250,17.583935
0.0,250,18.025892
0.0,250,18.518669
0.0,250,18.973057
0.0,250,19.473419
0.0,250,19.929622
0.0,250,22.058165
0.0,250,22.493291
0.0,250,22.962497
0.0,250,23.399655
0.0,250,23.857956
0.0,250,24.35279
0.0,250,24.826787
0.0,250,25.312462
0.0,250,27.457289
0.0,250,27.916656
0.0,250,28.361948
0.0,250,28.864852
0.0,250,29.323197
0.0,250,29.795791
0.2008,222,30.206988
0.0,250,30.665945
0.0,250,31.214251
0.352,180,33.152012
0.0,250,33.651761
0.0,250,34.082802
0.0,250,34.547576
0.0,250,35.009541
0.0,250,35.469284
0.0,250,35.980941
0.0,250,36.433405
0.0,250,38.581711
0.0,250,39.032371
0.0,250,39.482579
0.0,250,39.9182
0.0,250,40.397519
0.0,250,40.848995
0.0,250,41.336841
0.0,250,41.804514
0.0,250,43.975999
0.0,250,44.431473
0.0,250,44.917493
0.0,250,45.376227
0.0,250,45.824114
0.0,250,46.312405
0.0,250,46.763201
0.0,250,47.266778
0.0,250,49.372989
0.0,250,49.870027
0.0,250,50.305287
0.0,250,50.760674
0.0,250,51.219948
0.0,250,51.673732
0.0,250,52.181599
0.0,250,52.645483
0.0,250,53.128837
0.0,250,55.284426
0.0,250,55.741405
0.0,250,56.184821
0.0,250,56.683079
0.0,250,57.131204
0.0,250,57.62488
0.0,250,58.098832
0.0,250,58.556665
0.0,250,60.702493
0.0,250,61.162601
0.0,250,61.629166
0.0,250,62.109904
0.0,250,62.601507
0.0,250,63.066038
0.0,250,63.564331
0.0,250,64.059898
0.0,250,66.228523
0.0,250,66.66761
0.0,250,67.122428
0.0,250,67.567809
0.0,250,68.013657
0.0,250,68.546733
0.0,250,69.006474
0.0,250,69.491048
0.0,250,71.694314
0.0,250,72.156051
0.0,250,72.630124
0.0,250,73.132898
0.0,250,73.583356
0.0,250,74.038308
0.0,250,74.519888
0.0,250,74.987473
0.0,250,77.152836
0.0,250,77.626256
0.0,250,78.063218
0.0,250,78.515239
0.0,250,78.991134
0.0,250,79.446943
0.478,145,79.712484
0.0,250,80.21974
0.0,250,80.689319
0.0,250,82.844594
0.0,250,83.31206
0.0,250,83.752872
0.0,250,84.200667
0.0,250,84.710506
0.0,250,85.163556
0.0,250,85.636034
0.0,250,86.091826
0.0,250,88.27681
0.0,250,88.713141
0.0,250,89.211277
0.0,250,89.661771
0.0,250,90.136535
0.0,250,90.611147
0.0,250,91.079948
0.0,250,91.583935
0.0,250,93.740593
0.0,250,94.233719
0.0,250,94.673224
0.0,250,95.154901
0.0,250,95.600963
0.0,250,96.055664
0.0,250,96.565628
0.0,250,97.015177
0.0,250,97.507797
0.0,250,99.630136
0.0,250,100.064021
0.0,250,100.505909
0.0,250,101.014792
0.0,250,101.477308
0.0,250,101.935574
0.0,250,102.411465
0.0,250,102.875952
0.0,250,105.050803
0.0,250,105.559361
0.0,250,106.000929
0.0,250,106.445033
0.0,250,106.912488
0.0,250,107.386375
0.0,250,107.893274
0.0,250,108.349766
0.0,250,110.486015
0.172,230,110.882032
0.0,250,111.345113
0.0,250,111.79298
0.0,250,112.234288
0.0,250,112.73852
0.0,250,113.189948
0.0,250,113.686803
0.0,250,115.797925
0.0,250,116.250394
0.0,250,116.679132
0.0,250,117.15146
0.0,250,117.58602
0.0,250,118.047009
0.0,250,118.535859
0.0,250,118.989072
0.0,250,121.158436
0.0,250,121.595104
0.0,250,122.091651
0.0,250,122.548187
0.0,250,123.005163
0.0,250,123.462495
0.0,250,123.914441
0.0,250,124.431455
0.0,250,124.903071
0.0,250,127.061476
0.0,250,127.528658
0.0,250,127.981481
0.0,250,128.443392
0.0,250,128.95697
0.0,250,129.411323
0.2152,218,129.820443
0.0,250,130.305429
0.0,250,132.434802
0.0,250,132.864553
0.0,250,133.309648
0.0,250,133.804558
0.0,250,134.262087
0.0,250,134.763823
0.0,250,135.228981
0.0,250,135.743994
0.0,250,137.897578
0.0,250,138.39795
0.0,250,138.856923
0.0,250,139.324044
0.0,250,139.80011
0.0,250,140.253303
0.0,250,140.764845
0.0,250,141.232024
0.0,250,143.419
0.0,250,143.867263
0.0,250,144.3103
0.0,250,144.740233
0.0,250,145.239269
0.0,250,145.686749
0.0,250,146.157276
0.0,250,146.618049
0.0,250,147.077508
0.0,250,149.204048
0.0,250,149.681876
0.0,250,150.134923
0.0,250,150.584768
0.0,250,151.084061
0.0,250,151.534017
0.0,250,152.035637
0.0,250,152.505805
0.0,250,154.631021
0.0,250,155.083632
