#{"t_start": 1708789730.4968276, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.0,360,8.141891
0.0,360,8.77305
0.0,360,9.396425
0.0,360,10.00355
0.0,360,10.626055
0.0,360,13.291607
0.0,360,13.95201
0.715,114,14.154913
0.0,360,14.807568
0.0,360,15.448331
0.0,360,16.098981
0.0,360,16.755738
0.0,360,19.857607
0.0,360,20.892477
0.0,360,21.925903
0.0,360,22.950215
0.0,360,23.995337
0.0,360,27.863164
0.0,360,28.62257
0.1825,327,29.423401
0.0,360,30.27511
0.0,360,31.155562
0.0,360,31.912496
0.0,360,34.366952
0.0,360,35.03529
0.0,360,35.710819
0.0,360,36.393777
0.0,360,37.104008
0.0,360,37.80074
0.0,360,40.101869
0.0,360,40.747097
0.0,360,41.440612
0.0,360,42.1402
0.0,360,42.852659
0.0,360,45.298067
0.0,360,46.006149
0.0,360,46.696594
0.0,360,47.342082
0.0,360,48.045845
0.0,360,48.736338
0.0,360,51.171269
0.0,360,51.850989
0.0,360,52.531143
0.0,360,53.207942
0.0,360,53.88795
0.0,360,54.567062
0.0,360,56.899173
0.0,360,57.586799
0.0,360,58.296117
0.0,360,58.948771
0.0,360,59.624927
0.0,360,61.927278
0.0,360,62.599716
0.0,360,63.275317
0.0,360,63.941571
0.555,178,64.275948
0.0,360,64.962839
0.0,360,65.671366
0.0,360,67.985842
0.0,360,68.635966
0.0,360,69.27786
0.0,360,69.970845
0.0,360,70.643077
0.0,360,72.967315
0.0,360,73.628213
0.0,360,74.296913
0.0,360,74.981226
0.0,360,75.637051
0.0,360,76.327338
0.0,360,78.64062
0.0,360,79.290638
0.0,360,79.942199
0.0,360,80.630361
0.0,360,81.378167
0.0,360,82.074559
0.0,360,84.901584
0.0,360,85.74292
0.0,360,86.519341
0.0,360,87.262179
0.0,360,88.063585
0.0,360,90.605095
0.0,360,91.305283
0.0,360,91.975491
0.0,360,92.663204
0.0,360,93.378785
0.0,360,94.049966
0.0,360,96.415345
0.0,360,97.145005
0.0,360,97.929988
0.0,360,98.674757
0.0,360,99.400297
0.0,360,100.145175
0.0,360,102.826504
0.0,360,103.493049
0.0,360,104.325662
0.0,360,105.089261
0.0,360,105.817336
0.0,360,108.785233
0.0,360,109.575866
0.0,360,110.302901
0.0,360,111.086924
0.0,360,111.83904
0.0,360,112.621519
0.0,360,115.6414
0.0,360,116.427417
0.0,360,117.14958
0.0,360,117.873583
0.0,360,118.608743
0.0,360,119.341819
0.0,360,122.190823
0.0,360,122.947856
0.0,360,123.748014
0.0,360,124.4816
0.0,360,125.26869
0.165,334,126.144414
0.0,360,128.562263
0.0,360,129.243689
0.0,360,129.942013
0.0,360,130.649149
0.0,360,131.333445
0.0,360,133.77505
0.0,360,134.461321
