r,l,t
1.0,2501,12.574994
0.0,2501,13.347895
1.0,2501,14.094621
0.0,2501,14.71511
1.0,2501,15.481343
1.0,2501,16.490241
0.0,2501,17.403441
0.0,2501,18.099834
0.0,2501,19.014535
2.0,2501,19.83163
0.0,2501,20.506476
0.0,2501,21.544078
1.0,2501,22.349087
0.0,2501,23.292372
0.0,2501,24.051226
1.0,2501,25.127204
0.0,2501,25.892444
0.0,2501,26.788758
1.0,2501,27.774934
0.0,2501,37.341368
0.0,2501,45.611845
0.0,2501,54.500002
0.0,2501,61.990022
0.0,2501,69.095966
0.0,2501,75.893643
1.0,2501,83.193029
0.0,2501,89.394144
1.0,2501,97.773369
0.0,2501,107.868213
0.0,2501,118.25442
0.0,2501,126.743568
0.0,2501,136.839574
0.0,2501,142.170077
0.0,2501,147.746089
1.0,2501,154.199506
0.0,2501,160.576673
4.0,2501,168.786983
0.0,2501,176.949164
1.0,2501,185.813503
0.0,2501,225.753126
0.0,2501,233.607671
0.0,2501,242.089368
0.0,2501,250.126276
1.0,2501,258.163499
1.0,2501,266.045841
0.0,2501,275.463545
2.0,2501,285.642879
1.0,2501,293.765828
1.0,2501,303.91661
0.0,2501,313.44933
1.0,2501,322.305398
0.0,2501,331.225419
0.0,2501,340.880764
0.0,2501,349.920848
0.0,2501,360.796234
0.0,2501,371.261318
0.0,2501,378.840008
2.0,2501,388.872602
0.0,2501,396.83039
1.0,2501,405.836045
1.0,2501,415.294488
0.0,2501,422.820584
1.0,2501,430.535619
0.0,2501,437.98642
0.0,2501,446.241703
1.0,2501,454.951149
0.0,2501,464.064139
1.0,2501,473.208737
0.0,2501,482.592927
0.0,2501,492.153838
0.0,2501,502.220884
1.0,2501,510.504553
1.0,2501,518.58653
0.0,2501,525.857709
0.0,2501,534.143263
1.0,2501,545.02049
2.0,2501,553.844652
0.0,2501,564.254493
1.0,2501,573.883346
1.0,2501,609.554091
0.0,2501,618.249972
1.0,2501,626.28757
0.0,2501,634.770007
1.0,2501,644.737703
2.0,2501,652.697322
1.0,2501,660.953384
0.0,2501,668.392391
3.0,2501,676.363698
2.0,2501,685.398976
3.0,2501,693.288821
0.0,2501,701.492066
1.0,2501,711.683697
1.0,2501,722.372857
0.0,2501,733.24546
1.0,2501,744.506453
2.0,2501,752.719243
0.0,2501,765.325638
1.0,2501,777.511904
1.0,2501,788.505282
1.0,2501,796.76057
1.0,2501,805.103958
2.0,2501,813.018808
4.0,2501,822.152459
3.0,2501,832.547618
4.0,2501,843.803895
1.0,2501,853.442661
2.0,2501,863.304856
2.0,2501,871.583371
2.0,2501,880.877789
0.0,2501,888.491
0.0,2501,895.326221
5.0,2501,903.043896
3.0,2501,912.508626
0.0,2501,921.21726
0.0,2501,932.340623
1.0,2501,943.41329
0.0,2501,951.989217
5.0,2501,961.538027
0.0,2501,970.473832
2.0,2501,1005.259456
2.0,2501,1016.930251
1.0,2501,1030.088149
1.0,2501,1042.712384
2.0,2501,1052.618782
0.0,2501,1061.493178
1.0,2501,1071.454089
1.0,2501,1082.532751
0.0,2501,1092.351853
1.0,2501,1101.969583
1.0,2501,1111.813902
3.0,2501,1121.624653
2.0,2501,1131.070665
1.0,2501,1141.492051
0.0,2501,1153.372693
3.0,2501,1164.296833
0.0,2501,1176.373218
6.0,2501,1185.501298
3.0,2501,1195.410823
4.0,2501,1206.381611
4.0,2501,1216.135182
1.0,2501,1225.980755
1.0,2501,1236.439202
2.0,2501,1246.767338
2.0,2501,1256.906079
4.0,2501,1267.126817
4.0,2501,1277.197261
3.0,2501,1287.594218
2.0,2501,1299.212026
0.0,2501,1311.571927
2.0,2501,1322.524234
3.0,2501,1331.540002
3.0,2501,1341.85915
1.0,2501,1350.45668
2.0,2501,1359.084195
3.0,2501,1367.922923
3.0,2501,1377.684695
3.0,2501,1388.816059
3.0,2501,1399.39431
2.0,2501,1411.929602
1.0,2501,1443.09583
4.0,2501,1452.94371
4.0,2501,1462.790364
1.0,2501,1473.050865
4.0,2501,1483.372669
5.0,2501,1495.487261
4.0,2501,1505.940648
5.0,2501,1516.260398
3.0,2501,1528.226222
3.0,2501,1539.773735
4.0,2501,1551.097321
2.0,2501,1562.258558
0.0,2501,1573.585545
2.0,2501,1584.977085
8.0,2501,1596.639642
3.0,2501,1608.02124
1.0,2501,1618.922544
4.0,2501,1631.109775
4.0,2501,1641.197617
3.0,2501,1651.278194
5.0,2501,1660.8792
4.0,2501,1671.474046
5.0,2501,1682.811924
1.0,2501,1693.272341
7.0,2501,1706.918894
1.0,2501,1722.097235
3.0,2501,1732.52439
3.0,2501,1740.554079
9.0,2501,1748.39586
2.0,2501,1758.886877
7.0,2501,1769.549511
6.0,2501,1780.761039
6.0,2501,1793.238291
9.0,2501,1805.496743
5.0,2501,1817.857429
7.0,2501,1827.343977
5.0,2501,1838.096735
8.0,2501,1851.216868
6.0,2501,1865.621397
7.0,2501,1879.658037
3.0,2501,1917.261171
3.0,2501,1932.557019
3.0,2501,1944.952858
7.0,2501,1957.79627
4.0,2501,1971.179135
6.0,2501,1986.200412
5.0,2501,1998.723728
3.0,2501,2015.400927
8.0,2501,2030.240591
7.0,2501,2043.946785
6.0,2501,2057.291947
4.0,2501,2070.598173
10.0,2501,2083.935018
10.0,2501,2094.89463
9.0,2501,2106.552994
3.0,2501,2120.183831
7.0,2501,2133.143884
4.0,2501,2145.332282
4.0,2501,2158.663961
5.0,2501,2173.052081
4.0,2501,2186.290844
7.0,2501,2199.759587
8.0,2501,2212.092056
4.0,2501,2224.205708
10.0,2501,2235.642065
4.0,2501,2247.541313
7.0,2501,2261.26501
6.0,2501,2276.505574
5.0,2501,2290.665457
6.0,2501,2303.924309
10.0,2501,2316.22262
5.0,2501,2326.318148
5.0,2501,2336.660439
12.0,2501,2351.989001
6.0,2501,2368.484053
9.0,2501,2384.180351
11.0,2501,2398.700949
8.0,2501,2414.48165
4.0,2501,2426.787946
9.0,2501,2439.899158
11.0,2501,2483.031715
8.0,2501,2498.130821
12.0,2501,2511.873824
14.0,2501,2523.477823
7.0,2501,2535.421372
8.0,2501,2548.464386
2.0,2501,2563.056475
12.0,2501,2577.61753
10.0,2501,2589.363057
8.0,2501,2601.117039
2.0,2501,2612.712907
9.0,2501,2624.52004
7.0,2501,2637.284046
6.0,2501,2651.221872
12.0,2501,2665.033611
9.0,2501,2678.30944
13.0,2501,2691.112737
7.0,2501,2704.192364
9.0,2501,2717.399941
8.0,2501,2731.342129
17.0,2501,2745.064082
7.0,2501,2757.694171
9.0,2501,2769.804863
11.0,2501,2782.485942
13.0,2501,2795.691089
11.0,2501,2808.669657
5.0,2501,2819.796559
9.0,2501,2831.236419
13.0,2501,2842.644271
12.0,2501,2855.223706
9.0,2501,2868.42215
3.0,2501,2881.655807
12.0,2501,2894.400091
20.0,2501,2906.010354
11.0,2501,2918.369459
12.0,2501,2931.228554
8.0,2501,2944.357544
9.0,2501,2958.977962
9.0,2501,2972.652181
9.0,2501,2985.25684
13.0,2501,3015.898958
19.0,2501,3029.334441
20.0,2501,3043.138562
18.0,2501,3056.054808
13.0,2501,3070.174891
17.0,2501,3082.588637
11.0,2501,3096.566878
20.0,2501,3109.286466
8.0,2501,3123.435635
13.0,2501,3137.809944
18.0,2501,3151.864994
24.0,2501,3165.454078
19.0,2501,3179.309027
17.0,2501,3191.739579
20.0,2501,3204.028359
19.0,2501,3215.875777
15.0,2501,3226.90873
20.0,2501,3236.389478
8.0,2501,3249.895704
12.0,2501,3263.196657
22.0,2501,3276.257798
19.0,2501,3288.898452
16.0,2501,3302.755997
17.0,2501,3317.734277
19.0,2501,3330.975297
20.0,2501,3343.765376
16.0,2501,3355.922792
26.0,2501,3368.171633
21.0,2501,3381.040875
23.0,2501,3394.236367
26.0,2501,3408.204373
14.0,2501,3422.69861
22.0,2501,3435.696936
25.0,2501,3450.229944
22.0,2501,3463.8783
24.0,2501,3477.722821
27.0,2501,3494.579275
26.0,2501,3510.520784
26.0,2501,3525.879059
25.0,2501,3538.574235
21.0,2501,3572.781233
34.0,2501,3587.274117
30.0,2501,3603.598524
21.0,2501,3617.636173
28.0,2501,3632.487094
26.0,2501,3644.897114
33.0,2501,3657.186609
30.0,2501,3668.815786
25.0,2501,3681.983386
27.0,2501,3694.111399
27.0,2501,3704.865734
23.0,2501,3718.119827
26.0,2501,3732.595078
31.0,2501,3746.825351
15.0,2501,3762.283252
34.0,2501,3778.349939
28.0,2501,3794.164615
33.0,2501,3809.105778
29.0,2501,3824.116317
26.0,2501,3838.888211
35.0,2501,3853.522921
36.0,2501,3867.774393
32.0,2501,3882.174212
34.0,2501,3898.075555
26.0,2501,3912.535774
28.0,2501,3926.553989
34.0,2501,3940.261739
29.0,2501,3953.519612
27.0,2501,3967.75884
28.0,2501,3981.998989
34.0,2501,3996.140386
38.0,2501,4008.937346
39.0,2501,4021.797493
35.0,2501,4034.926347
35.0,2501,4048.436126
23.0,2501,4063.180799
30.0,2501,4076.523967
34.0,2501,4090.4192
33.0,2501,4105.075558
31.0,2501,4118.511492
31.0,2501,4153.986581
37.0,2501,4169.304281
40.0,2501,4184.129318
39.0,2501,4197.30699
38.0,2501,4209.19137
35.0,2501,4222.221022
37.0,2501,4237.054479
31.0,2501,4252.619213
39.0,2501,4268.552651
34.0,2501,4289.025998
32.0,2501,4305.860896
30.0,2501,4319.416622
41.0,2501,4332.858338
39.0,2501,4346.191992
40.0,2501,4359.843398
33.0,2501,4372.765829
34.0,2501,4387.793388
39.0,2501,4402.253756
37.0,2501,4415.642532
40.0,2501,4428.759532
34.0,2501,4441.706834
40.0,2501,4455.25012
42.0,2501,4468.870433
39.0,2501,4483.528909
37.0,2501,4498.146896
45.0,2501,4513.301553
42.0,2501,4528.783391
37.0,2501,4544.105743
42.0,2501,4559.278587
44.0,2501,4574.379536
44.0,2501,4590.145808
37.0,2501,4605.693992
35.0,2501,4620.947066
45.0,2501,4635.738202
46.0,2501,4649.902318
38.0,2501,4665.183722
43.0,2501,4681.07998
46.0,2501,4694.80335
45.0,2501,4708.067649
23.0,2501,4719.920655
42.0,2501,4752.480097
42.0,2501,4766.107779
44.0,2501,4779.739623
51.0,2501,4791.596512
39.0,2501,4806.290925
50.0,2501,4821.692411
41.0,2501,4835.07865
42.0,2501,4847.915816
43.0,2501,4861.576513
30.0,2501,4875.301605
50.0,2501,4890.487817
40.0,2501,4905.973601
46.0,2501,4922.880224
43.0,2501,4939.177907
48.0,2501,4954.662913
40.0,2501,4968.771566
46.0,2501,4982.22761
44.0,2501,4999.078775
51.0,2501,5014.331591
39.0,2501,5029.72942
52.0,2501,5045.836607
53.0,2501,5060.604719
49.0,2501,5074.620792
42.0,2501,5088.025107
47.0,2501,5103.418363
44.0,2501,5118.056007
51.0,2501,5132.991162
50.0,2501,5147.863564
46.0,2501,5162.231783
47.0,2501,5175.900514
43.0,2501,5190.992966
48.0,2501,5206.285765
50.0,2501,5220.080906
50.0,2501,5233.212895
41.0,2501,5246.408227
49.0,2501,5260.914802
50.0,2501,5275.74079
41.0,2501,5290.393458
45.0,2501,5307.088954
47.0,2501,5322.130255
46.0,2501,5359.224266
49.0,2501,5375.525326
44.0,2501,5391.00872
49.0,2501,5407.048175
52.0,2501,5420.188417
46.0,2501,5434.18556
50.0,2501,5448.380558
50.0,2501,5462.539068
51.0,2501,5475.965132
49.0,2501,5491.221554
48.0,2501,5505.246371
52.0,2501,5520.901935
47.0,2501,5535.61911
49.0,2501,5548.479817
49.0,2501,5562.767355
46.0,2501,5577.017504
50.0,2501,5591.956487
49.0,2501,5607.881435
45.0,2501,5623.439728
47.0,2501,5638.347674
47.0,2501,5652.33358
47.0,2501,5666.459447
47.0,2501,5681.664102
48.0,2501,5695.893819
40.0,2501,5711.364542
49.0,2501,5726.080263
44.0,2501,5740.531846
53.0,2501,5754.194012
51.0,2501,5768.579453
47.0,2501,5784.282163
45.0,2501,5800.20592
42.0,2501,5813.637309
50.0,2501,5825.936022
54.0,2501,5838.714771
49.0,2501,5852.97959
49.0,2501,5867.800683
50.0,2501,5881.405661
50.0,2501,5893.250115
51.0,2501,5905.997675
51.0,2501,5918.703836
49.0,2501,5956.1377
47.0,2501,5971.050617
43.0,2501,5986.878887
55.0,2501,6001.137125
50.0,2501,6016.999742
49.0,2501,6035.316416
49.0,2501,6057.016264
49.0,2501,6073.383859
50.0,2501,6089.678751
54.0,2501,6104.932996
43.0,2501,6118.924201
48.0,2501,6132.370794
47.0,2501,6144.044108
47.0,2501,6156.649056
52.0,2501,6170.67023
51.0,2501,6184.131002
54.0,2501,6197.468133
49.0,2501,6211.566079
52.0,2501,6226.984469
53.0,2501,6241.680035
54.0,2501,6257.216241
51.0,2501,6271.70603
49.0,2501,6284.187857
48.0,2501,6297.583077
47.0,2501,6312.608383
48.0,2501,6327.389992
48.0,2501,6341.428483
50.0,2501,6356.835768
46.0,2501,6371.313745
53.0,2501,6384.168197
49.0,2501,6397.258829
52.0,2501,6409.819686
54.0,2501,6424.236824
51.0,2501,6438.489292
50.0,2501,6453.83525
51.0,2501,6469.219483
44.0,2501,6482.062478
51.0,2501,6491.68613
55.0,2501,6504.827063
49.0,2501,6520.278482
50.0,2501,6554.5396
46.0,2501,6568.274107
49.0,2501,6581.358844
52.0,2501,6596.308048
49.0,2501,6611.252244
47.0,2501,6625.34851
43.0,2501,6641.134985
51.0,2501,6655.275779
56.0,2501,6671.79738
53.0,2501,6688.481197
46.0,2501,6705.390577
49.0,2501,6720.599378
53.0,2501,6738.033982
48.0,2501,6753.091596
51.0,2501,6767.444283
49.0,2501,6783.077067
44.0,2501,6799.973262
59.0,2501,6815.154045
56.0,2501,6831.094829
49.0,2501,6846.119973
51.0,2501,6861.151837
47.0,2501,6878.326374
44.0,2501,6895.206782
49.0,2501,6910.581609
51.0,2501,6925.692597
43.0,2501,6939.502357
61.0,2501,6954.813479
53.0,2501,6971.346928
48.0,2501,6988.610681
49.0,2501,7003.847319
52.0,2501,7018.165976
53.0,2501,7032.736913
52.0,2501,7047.831436
46.0,2501,7064.778346
52.0,2501,7082.309642
53.0,2501,7099.740295
49.0,2501,7115.516461
62.0,2501,7129.685495
52.0,2501,7144.895837
51.0,2501,7161.053453
56.0,2501,7198.39887
47.0,2501,7212.906134
49.0,2501,7227.994867
54.0,2501,7243.820587
50.0,2501,7260.404003
49.0,2501,7277.671153
52.0,2501,7292.831639
56.0,2501,7306.41524
45.0,2501,7320.065599
48.0,2501,7334.929144
47.0,2501,7347.130255
49.0,2501,7360.927842
46.0,2501,7376.326316
47.0,2501,7389.626588
46.0,2501,7406.494905
52.0,2501,7423.752752
46.0,2501,7440.249514
45.0,2501,7454.701563
54.0,2501,7469.864024
56.0,2501,7486.798522
52.0,2501,7503.76251
53.0,2501,7518.787883
51.0,2501,7534.605158
58.0,2501,7550.435754
47.0,2501,7565.288205
52.0,2501,7581.294598
42.0,2501,7596.60715
54.0,2501,7612.431123
51.0,2501,7628.344056
48.0,2501,7641.354081
40.0,2501,7654.766269
50.0,2501,7667.903142
52.0,2501,7680.868252
42.0,2501,7694.638231
52.0,2501,7708.787285
52.0,2501,7723.750384
51.0,2501,7739.150017
48.0,2501,7756.961519
48.0,2501,7773.83305
51.0,2501,7790.907529
45.0,2501,7844.689514
54.0,2501,7862.476027
48.0,2501,7880.224628
49.0,2501,7895.843451
51.0,2501,7911.852111
52.0,2501,7927.633017
53.0,2501,7945.589319
53.0,2501,7963.275004
50.0,2501,7978.942787
54.0,2501,7995.094577
51.0,2501,8009.355589
47.0,2501,8024.512836
49.0,2501,8042.372921
46.0,2501,8057.138288
50.0,2501,8072.764672
56.0,2501,8086.15143
47.0,2501,8100.517803
56.0,2501,8115.238397
49.0,2501,8129.221203
49.0,2501,8145.186578
52.0,2501,8160.906907
49.0,2501,8173.327067
51.0,2501,8185.958853
49.0,2501,8200.270629
44.0,2501,8216.670473
54.0,2501,8236.162044
53.0,2501,8256.977494
47.0,2501,8272.70392
52.0,2501,8287.092846
54.0,2501,8299.502794
54.0,2501,8315.165476
52.0,2501,8332.866381
61.0,2501,8349.942837
48.0,2501,8366.692557
49.0,2501,8380.753415
44.0,2501,8396.121475
48.0,2501,8410.930314
49.0,2501,8428.315372
56.0,2501,8444.717486
52.0,2501,8460.210626
52.0,2501,8492.640643
48.0,2501,8508.815252
53.0,2501,8524.926455
54.0,2501,8541.592639
61.0,2501,8554.294826
57.0,2501,8568.66228
53.0,2501,8585.48798
50.0,2501,8600.22332
52.0,2501,8614.53263
51.0,2501,8630.84183
53.0,2501,8645.343328
40.0,2501,8660.981162
43.0,2501,8678.376575
55.0,2501,8695.113193
50.0,2501,8712.560117
51.0,2501,8729.202966
49.0,2501,8746.536583
45.0,2501,8762.764455
54.0,2501,8780.670964
53.0,2501,8798.312779
51.0,2501,8815.296793
50.0,2501,8829.429796
54.0,2501,8841.961658
49.0,2501,8854.312077
52.0,2501,8870.512758
53.0,2501,8885.627845
49.0,2501,8901.775822
52.0,2501,8917.369116
56.0,2501,8930.572906
50.0,2501,8944.151568
45.0,2501,8959.54817
52.0,2501,8974.792975
53.0,2501,8991.090939
52.0,2501,9007.293917
49.0,2501,9020.434688
53.0,2501,9035.214554
48.0,2501,9051.991483
51.0,2501,9070.398687
44.0,2501,9086.978331
49.0,2501,9105.477812
58.0,2501,9144.942898
58.0,2501,9162.884001
55.0,2501,9180.187565
53.0,2501,9198.236516
55.0,2501,9214.012714
54.0,2501,9228.521947
49.0,2501,9244.410612
52.0,2501,9260.257829
53.0,2501,9276.688791
44.0,2501,9292.186186
56.0,2501,9305.297482
54.0,2501,9317.891907
50.0,2501,9331.620641
55.0,2501,9346.82541
48.0,2501,9360.436147
55.0,2501,9374.859262
63.0,2501,9390.044943
49.0,2501,9403.125819
57.0,2501,9417.619588
53.0,2501,9433.322493
45.0,2501,9451.203576
53.0,2501,9469.07342
50.0,2501,9486.728217
57.0,2501,9502.439911
53.0,2501,9516.423198
50.0,2501,9536.35931
53.0,2501,9555.702475
50.0,2501,9572.61807
55.0,2501,9589.710622
53.0,2501,9604.788975
51.0,2501,9619.506512
56.0,2501,9634.787629
50.0,2501,9652.004798
49.0,2501,9669.225955
39.0,2501,9685.484041
54.0,2501,9699.842132
49.0,2501,9713.163475
50.0,2501,9726.921402
55.0,2501,9743.722967
51.0,2501,9759.579089
49.0,2501,9798.531628
48.0,2501,9813.212602
49.0,2501,9829.118119
55.0,2501,9844.822318
52.0,2501,9863.782145
57.0,2501,9877.91056
55.0,2501,9892.414516
49.0,2501,9907.947759
49.0,2501,9924.57601
48.0,2501,9942.867702
53.0,2501,9963.337851
54.0,2501,9979.767317
52.0,2501,9994.89582
55.0,2501,10009.093991
54.0,2501,10025.726211
52.0,2501,10040.178072
52.0,2501,10055.901976
52.0,2501,10071.395851
51.0,2501,10083.758475
54.0,2501,10098.558112
53.0,2501,10113.31591
52.0,2501,10131.321314
52.0,2501,10149.226503
53.0,2501,10163.439727
51.0,2501,10177.364509
52.0,2501,10191.452134
55.0,2501,10208.352854
57.0,2501,10224.179152
48.0,2501,10238.857957
58.0,2501,10250.970815
51.0,2501,10263.379314
59.0,2501,10277.106359
54.0,2501,10292.14023
54.0,2501,10308.77421
43.0,2501,10324.950114
51.0,2501,10340.420687
55.0,2501,10355.149512
55.0,2501,10371.691765
53.0,2501,10389.126258
48.0,2501,10405.225839
57.0,2501,10448.106247
53.0,2501,10464.480895
52.0,2501,10481.097108
46.0,2501,10498.252246
50.0,2501,10514.769087
50.0,2501,10531.44195
53.0,2501,10545.445737
47.0,2501,10559.715186
56.0,2501,10575.74639
51.0,2501,10591.431978
52.0,2501,10606.984467
48.0,2501,10622.238334
53.0,2501,10634.364431
52.0,2501,10647.665591
51.0,2501,10661.974658
55.0,2501,10678.240161
52.0,2501,10694.184095
55.0,2501,10712.295147
54.0,2501,10726.415257
56.0,2501,10741.267538
56.0,2501,10759.630836
49.0,2501,10776.023413
50.0,2501,10793.004353
57.0,2501,10812.211042
55.0,2501,10826.891373
58.0,2501,10842.142858
52.0,2501,10860.586011
57.0,2501,10877.985334
51.0,2501,10894.036651
52.0,2501,10910.061947
53.0,2501,10921.491357
48.0,2501,10933.136603
55.0,2501,10948.191579
60.0,2501,10964.000471
57.0,2501,10981.433391
52.0,2501,10997.555244
55.0,2501,11011.559782
53.0,2501,11025.81167
59.0,2501,11040.311205
51.0,2501,11054.895336
58.0,2501,11087.051612
51.0,2501,11101.929525
53.0,2501,11115.691569
50.0,2501,11134.136939
54.0,2501,11149.932262
53.0,2501,11165.224783
50.0,2501,11179.470339
53.0,2501,11194.542752
54.0,2501,11210.664212
53.0,2501,11228.333462
53.0,2501,11244.177951
55.0,2501,11258.524993
54.0,2501,11271.552528
54.0,2501,11285.538121
55.0,2501,11300.692751
50.0,2501,11316.832916
48.0,2501,11332.641778
56.0,2501,11347.070716
57.0,2501,11359.325294
51.0,2501,11374.295483
58.0,2501,11389.678206
54.0,2501,11405.988459
58.0,2501,11422.101616
49.0,2501,11433.054308
54.0,2501,11444.652638
53.0,2501,11457.670171
54.0,2501,11474.122158
51.0,2501,11492.070193
51.0,2501,11509.106741
58.0,2501,11522.567082
57.0,2501,11535.635797
56.0,2501,11551.723684
55.0,2501,11570.356328
53.0,2501,11587.375381
47.0,2501,11602.999561
50.0,2501,11616.468738
53.0,2501,11630.089386
46.0,2501,11646.002807
52.0,2501,11661.884013
53.0,2501,11679.685421
50.0,2501,11715.90831
55.0,2501,11730.213866
51.0,2501,11744.889248
56.0,2501,11760.334456
54.0,2501,11774.103762
56.0,2501,11787.385673
52.0,2501,11801.202636
54.0,2501,11816.615388
55.0,2501,11833.140057
58.0,2501,11848.954463
59.0,2501,11862.423864
53.0,2501,11873.144977
48.0,2501,11886.125935
56.0,2501,11903.191296
50.0,2501,11920.319481
47.0,2501,11938.241838
58.0,2501,11952.092266
57.0,2501,11967.415199
56.0,2501,11986.657242
50.0,2501,12005.267774
56.0,2501,12021.00113
51.0,2501,12035.860979
53.0,2501,12050.042218
53.0,2501,12065.038828
51.0,2501,12081.360636
51.0,2501,12097.226845
51.0,2501,12114.023175
50.0,2501,12128.48777
