r,l,t
1.0,2501,1.094972
0.0,2501,1.260567
1.0,2501,1.424535
0.0,2501,1.589679
1.0,2501,1.755926
1.0,2501,1.922424
0.0,2501,2.087214
0.0,2501,2.252954
0.0,2501,2.418996
2.0,2501,2.584016
0.0,2501,2.749147
0.0,2501,2.916392
1.0,2501,3.084012
0.0,2501,3.250147
0.0,2501,3.414652
1.0,2501,3.579522
0.0,2501,3.744138
0.0,2501,3.909057
1.0,2501,4.073588
0.0,2501,4.797774
0.0,2501,6.825104
0.0,2501,8.831613
0.0,2501,10.82176
1.0,2501,12.786015
0.0,2501,14.796956
0.0,2501,16.815614
0.0,2501,18.83622
2.0,2501,20.826306
0.0,2501,22.884012
1.0,2501,24.948971
0.0,2501,27.003543
1.0,2501,29.021618
0.0,2501,31.033883
1.0,2501,33.064786
1.0,2501,35.14857
0.0,2501,37.211272
0.0,2501,39.220308
1.0,2501,41.295979
0.0,2501,43.494791
1.0,2501,52.376132
2.0,2501,54.35737
0.0,2501,56.31103
0.0,2501,58.243804
0.0,2501,60.199736
2.0,2501,62.204057
3.0,2501,64.183471
1.0,2501,66.107303
1.0,2501,68.041216
1.0,2501,70.052302
1.0,2501,72.048141
2.0,2501,74.027861
2.0,2501,76.003051
0.0,2501,77.989398
0.0,2501,80.523089
0.0,2501,83.015069
0.0,2501,85.249182
0.0,2501,87.517138
2.0,2501,89.752645
1.0,2501,91.969409
0.0,2501,94.214241
1.0,2501,96.48051
1.0,2501,98.745168
0.0,2501,101.017833
1.0,2501,103.234957
0.0,2501,105.513857
2.0,2501,107.807069
0.0,2501,110.066017
0.0,2501,112.303074
0.0,2501,114.601108
0.0,2501,116.922261
0.0,2501,119.191728
1.0,2501,121.582352
2.0,2501,123.988235
2.0,2501,126.408387
3.0,2501,128.757142
0.0,2501,131.145695
1.0,2501,133.548441
1.0,2501,135.959832
0.0,2501,138.327886
1.0,2501,148.202327
0.0,2501,150.761615
1.0,2501,153.539383
0.0,2501,156.251323
2.0,2501,159.008512
0.0,2501,161.79092
1.0,2501,164.538364
0.0,2501,167.276744
0.0,2501,170.087372
2.0,2501,172.833091
0.0,2501,175.602378
0.0,2501,178.396975
0.0,2501,181.160298
1.0,2501,183.942946
0.0,2501,186.754326
2.0,2501,189.558165
1.0,2501,192.326798
2.0,2501,195.132317
1.0,2501,197.361165
1.0,2501,199.417265
2.0,2501,201.487659
0.0,2501,203.583168
1.0,2501,205.709086
2.0,2501,207.791476
2.0,2501,209.899342
0.0,2501,212.031632
1.0,2501,214.157259
2.0,2501,216.224405
1.0,2501,218.350374
2.0,2501,220.501783
2.0,2501,222.635412
3.0,2501,224.727893
1.0,2501,226.85377
1.0,2501,228.981993
0.0,2501,231.137396
2.0,2501,233.209366
0.0,2501,235.322399
3.0,2501,237.490059
1.0,2501,239.622588
1.0,2501,241.718794
3.0,2501,250.481855
1.0,2501,252.689643
4.0,2501,254.87358
0.0,2501,257.021012
1.0,2501,259.138434
1.0,2501,261.301241
4.0,2501,263.440494
2.0,2501,265.600647
2.0,2501,267.74315
2.0,2501,269.916688
5.0,2501,272.10325
1.0,2501,274.284944
2.0,2501,276.449254
2.0,2501,278.629535
1.0,2501,280.807615
0.0,2501,283.001822
2.0,2501,285.166932
1.0,2501,287.383958
3.0,2501,289.623373
2.0,2501,291.789614
2.0,2501,294.005474
5.0,2501,296.225692
3.0,2501,298.469602
2.0,2501,300.6604
4.0,2501,302.869871
2.0,2501,305.124102
4.0,2501,307.387237
2.0,2501,309.648587
0.0,2501,311.875955
3.0,2501,314.133515
5.0,2501,316.375116
5.0,2501,318.567043
5.0,2501,320.838847
3.0,2501,323.109744
3.0,2501,325.318263
5.0,2501,327.548672
0.0,2501,329.829523
4.0,2501,332.108568
4.0,2501,334.329734
4.0,2501,336.605178
0.0,2501,345.535162
3.0,2501,347.85434
4.0,2501,350.11914
2.0,2501,352.399935
2.0,2501,354.708842
2.0,2501,356.990958
4.0,2501,359.224888
6.0,2501,361.495965
3.0,2501,363.880355
2.0,2501,366.191702
5.0,2501,368.444634
2.0,2501,370.753473
2.0,2501,373.095632
3.0,2501,375.350999
3.0,2501,377.670475
2.0,2501,379.994671
2.0,2501,382.308487
1.0,2501,384.599599
1.0,2501,386.925632
3.0,2501,389.274413
5.0,2501,391.579841
3.0,2501,393.881826
4.0,2501,396.229369
3.0,2501,398.563793
4.0,2501,400.884624
4.0,2501,403.224818
5.0,2501,405.597374
8.0,2501,407.938292
3.0,2501,410.241014
3.0,2501,412.623074
4.0,2501,414.998323
1.0,2501,417.329079
7.0,2501,419.775325
6.0,2501,422.171702
6.0,2501,424.561315
5.0,2501,426.895949
9.0,2501,429.24272
5.0,2501,431.639879
6.0,2501,434.013739
4.0,2501,436.377886
5.0,2501,445.442019
4.0,2501,447.826711
4.0,2501,450.235719
8.0,2501,452.626395
9.0,2501,455.037799
2.0,2501,457.443554
3.0,2501,459.839911
