r,l,t
1.0,2501,0.989224
0.0,2501,1.156227
1.0,2501,1.321657
0.0,2501,1.487376
1.0,2501,1.653958
1.0,2501,1.820558
0.0,2501,1.987168
0.0,2501,2.153633
0.0,2501,2.320334
2.0,2501,2.486584
0.0,2501,2.652918
0.0,2501,2.822484
1.0,2501,2.990108
0.0,2501,3.156241
0.0,2501,3.321055
1.0,2501,3.486654
0.0,2501,3.652308
0.0,2501,3.817594
1.0,2501,3.982093
0.0,2501,4.678697
0.0,2501,6.691354
0.0,2501,8.625873
0.0,2501,10.578052
0.0,2501,12.549093
0.0,2501,14.547478
1.0,2501,16.52633
0.0,2501,18.489887
1.0,2501,20.467554
0.0,2501,22.483846
1.0,2501,24.510063
0.0,2501,26.490323
0.0,2501,28.486987
0.0,2501,30.572718
0.0,2501,32.600931
0.0,2501,34.623029
0.0,2501,36.636587
1.0,2501,38.669633
0.0,2501,40.734299
0.0,2501,42.785988
1.0,2501,51.415303
0.0,2501,53.295258
1.0,2501,55.221775
1.0,2501,57.171996
0.0,2501,59.110681
1.0,2501,61.012597
1.0,2501,62.91907
2.0,2501,64.860068
1.0,2501,66.810793
1.0,2501,68.736166
0.0,2501,70.645947
1.0,2501,72.615552
0.0,2501,74.59824
0.0,2501,76.567946
0.0,2501,78.479004
4.0,2501,80.418642
1.0,2501,82.394261
2.0,2501,84.372261
0.0,2501,86.376494
2.0,2501,88.280058
3.0,2501,90.277671
0.0,2501,92.259293
0.0,2501,94.213882
0.0,2501,96.144266
1.0,2501,98.089412
0.0,2501,100.098487
1.0,2501,102.099889
1.0,2501,104.029134
0.0,2501,105.979681
1.0,2501,108.040435
0.0,2501,110.048655
1.0,2501,112.003976
1.0,2501,113.980566
1.0,2501,115.9977
1.0,2501,118.028944
0.0,2501,120.031262
0.0,2501,122.01878
0.0,2501,124.040955
0.0,2501,126.089265
0.0,2501,128.134181
0.0,2501,136.681406
0.0,2501,138.669346
1.0,2501,140.78001
2.0,2501,142.851033
2.0,2501,144.910541
1.0,2501,146.902976
1.0,2501,148.919075
2.0,2501,150.963789
0.0,2501,153.019303
2.0,2501,155.027528
1.0,2501,157.045516
3.0,2501,159.125422
1.0,2501,161.19996
1.0,2501,163.257374
1.0,2501,165.295447
1.0,2501,167.38948
2.0,2501,169.477686
0.0,2501,171.545308
2.0,2501,173.583086
2.0,2501,175.666898
3.0,2501,177.760166
0.0,2501,179.839671
1.0,2501,181.891191
0.0,2501,183.985282
2.0,2501,186.092449
1.0,2501,188.185608
0.0,2501,190.23338
2.0,2501,192.296186
2.0,2501,194.408616
2.0,2501,196.629181
0.0,2501,199.229152
3.0,2501,201.954704
4.0,2501,204.696665
2.0,2501,207.393607
1.0,2501,210.129087
2.0,2501,212.850676
2.0,2501,215.567836
1.0,2501,218.237883
2.0,2501,220.669567
2.0,2501,223.129866
0.0,2501,232.890069
5.0,2501,235.571639
2.0,2501,238.368713
2.0,2501,241.110459
4.0,2501,243.845014
1.0,2501,246.640041
2.0,2501,249.379603
2.0,2501,252.103951
3.0,2501,254.921632
6.0,2501,257.715731
2.0,2501,260.46983
1.0,2501,263.287944
3.0,2501,266.13366
2.0,2501,268.900254
0.0,2501,271.7057
4.0,2501,274.54804
4.0,2501,277.332245
2.0,2501,280.157122
4.0,2501,282.988149
3.0,2501,285.773404
2.0,2501,288.647453
3.0,2501,291.514952
6.0,2501,294.330054
0.0,2501,297.185077
3.0,2501,300.050755
1.0,2501,302.901422
2.0,2501,305.802475
1.0,2501,308.690685
3.0,2501,311.547044
5.0,2501,314.304678
6.0,2501,316.56274
1.0,2501,318.772116
1.0,2501,320.990338
0.0,2501,323.26519
5.0,2501,325.537683
7.0,2501,327.763952
3.0,2501,329.963483
7.0,2501,332.228443
4.0,2501,334.507818
7.0,2501,336.725225
2.0,2501,345.550297
6.0,2501,347.830279
4.0,2501,350.12711
8.0,2501,352.428425
5.0,2501,354.679064
4.0,2501,356.939327
5.0,2501,359.229277
0.0,2501,361.478235
3.0,2501,363.739242
9.0,2501,366.048176
8.0,2501,368.335206
6.0,2501,370.673418
