r,l,t
1.0,2501,12.455156
0.0,2501,12.963481
1.0,2501,13.558226
0.0,2501,13.882608
1.0,2501,14.364919
1.0,2501,14.862566
0.0,2501,15.530531
0.0,2501,16.138587
0.0,2501,16.528845
2.0,2501,16.898878
0.0,2501,17.796585
0.0,2501,18.229944
1.0,2501,18.743391
0.0,2501,19.238591
0.0,2501,19.728461
1.0,2501,20.261547
0.0,2501,20.836393
0.0,2501,21.620468
1.0,2501,22.642565
0.0,2501,32.346932
0.0,2501,43.013642
0.0,2501,55.061158
0.0,2501,64.407677
0.0,2501,73.686735
0.0,2501,83.975559
0.0,2501,95.239493
0.0,2501,106.594666
2.0,2501,116.579472
0.0,2501,127.169255
0.0,2501,136.755121
0.0,2501,146.389241
1.0,2501,155.957619
0.0,2501,164.849428
1.0,2501,174.170552
2.0,2501,184.801219
0.0,2501,197.074849
1.0,2501,206.972793
0.0,2501,218.458387
1.0,2501,228.71761
0.0,2501,265.264048
0.0,2501,276.468208
1.0,2501,289.590687
1.0,2501,302.300523
1.0,2501,314.383157
0.0,2501,326.011795
0.0,2501,338.427095
1.0,2501,349.006293
1.0,2501,358.207151
1.0,2501,368.866348
0.0,2501,379.280857
3.0,2501,390.399964
1.0,2501,401.573148
0.0,2501,414.751637
1.0,2501,426.52662
1.0,2501,437.655289
0.0,2501,446.918643
1.0,2501,455.937182
3.0,2501,465.65471
0.0,2501,476.845762
4.0,2501,488.66874
1.0,2501,500.293846
4.0,2501,510.298789
1.0,2501,519.311475
0.0,2501,528.224651
1.0,2501,538.010321
1.0,2501,547.64641
0.0,2501,557.47665
2.0,2501,567.266509
0.0,2501,578.929681
2.0,2501,590.236574
0.0,2501,601.069751
1.0,2501,611.379374
1.0,2501,621.363805
0.0,2501,632.130928
1.0,2501,642.6583
1.0,2501,654.128881
0.0,2501,665.418087
2.0,2501,675.746064
2.0,2501,686.856676
1.0,2501,718.673095
3.0,2501,729.033428
0.0,2501,738.697717
1.0,2501,748.197453
1.0,2501,757.600622
0.0,2501,767.389778
0.0,2501,777.173514
2.0,2501,789.203105
2.0,2501,799.982028
0.0,2501,810.567563
4.0,2501,820.639882
1.0,2501,830.160846
0.0,2501,840.784091
2.0,2501,851.708692
3.0,2501,863.012053
2.0,2501,873.182925
2.0,2501,884.605304
1.0,2501,895.689657
2.0,2501,906.885355
1.0,2501,916.399544
2.0,2501,925.936744
1.0,2501,936.057891
1.0,2501,947.401877
6.0,2501,958.159856
0.0,2501,969.00081
4.0,2501,980.300768
3.0,2501,991.351153
2.0,2501,1002.485397
2.0,2501,1012.307176
0.0,2501,1023.42359
2.0,2501,1033.531035
2.0,2501,1044.967685
3.0,2501,1056.478132
1.0,2501,1068.724781
3.0,2501,1081.308254
3.0,2501,1092.270678
2.0,2501,1104.137586
1.0,2501,1114.148048
1.0,2501,1124.021978
2.0,2501,1134.514803
0.0,2501,1169.453596
1.0,2501,1180.640446
1.0,2501,1191.36225
1.0,2501,1201.889972
3.0,2501,1212.082399
4.0,2501,1222.56163
2.0,2501,1233.610467
4.0,2501,1246.505085
1.0,2501,1257.43551
1.0,2501,1267.369719
4.0,2501,1278.133125
4.0,2501,1289.034006
4.0,2501,1298.776358
3.0,2501,1309.118379
2.0,2501,1319.78891
2.0,2501,1331.359105
2.0,2501,1343.43569
3.0,2501,1354.596347
0.0,2501,1366.354518
2.0,2501,1377.938221
3.0,2501,1388.885016
4.0,2501,1400.447299
2.0,2501,1412.690756
2.0,2501,1427.183125
2.0,2501,1439.028752
0.0,2501,1451.398622
3.0,2501,1462.376153
4.0,2501,1473.00225
3.0,2501,1483.653291
5.0,2501,1493.738589
5.0,2501,1503.937162
5.0,2501,1516.820847
1.0,2501,1530.386106
2.0,2501,1541.844511
5.0,2501,1553.799515
2.0,2501,1565.272469
1.0,2501,1575.353333
3.0,2501,1585.463186
5.0,2501,1594.969191
5.0,2501,1604.955132
0.0,2501,1634.165839
4.0,2501,1645.703305
5.0,2501,1657.39743
5.0,2501,1669.904274
4.0,2501,1682.886775
5.0,2501,1695.69223
1.0,2501,1709.094524
