#{"t_start": 1708358341.79875, "env_id": "MinAtar/Freeway-v1"}
r,l,t
1.0,2501,0.097698
0.0,2501,0.182982
1.0,2501,0.268098
0.0,2501,0.363681
1.0,2501,0.472142
1.0,2501,0.576969
0.0,2501,0.668798
0.0,2501,0.787405
0.0,2501,0.901739
2.0,2501,1.026013
0.0,2501,1.147799
0.0,2501,1.266005
1.0,2501,1.401087
0.0,2501,1.534526
0.0,2501,1.658197
1.0,2501,1.766771
0.0,2501,1.870685
0.0,2501,1.970173
1.0,2501,2.100685
0.0,2501,2.259381
0.0,2501,4.098527
0.0,2501,5.847718
0.0,2501,7.648202
0.0,2501,9.467858
1.0,2501,11.27096
1.0,2501,13.095599
1.0,2501,14.929353
1.0,2501,16.73581
1.0,2501,18.60681
1.0,2501,20.445109
1.0,2501,22.316498
0.0,2501,24.162475
1.0,2501,25.973063
1.0,2501,27.777225
0.0,2501,29.642736
1.0,2501,31.519969
0.0,2501,33.358742
0.0,2501,35.227139
1.0,2501,37.096222
0.0,2501,45.100667
1.0,2501,47.039626
1.0,2501,48.991417
0.0,2501,50.910505
2.0,2501,52.861977
1.0,2501,54.790946
1.0,2501,56.737677
1.0,2501,58.691909
1.0,2501,60.632097
0.0,2501,62.579683
2.0,2501,64.580977
1.0,2501,66.584927
1.0,2501,68.61007
1.0,2501,70.594967
1.0,2501,72.607471
1.0,2501,74.649621
0.0,2501,76.683767
1.0,2501,78.73924
2.0,2501,80.780489
4.0,2501,82.801198
4.0,2501,84.838861
3.0,2501,86.862887
1.0,2501,88.936327
3.0,2501,90.983289
1.0,2501,93.0429
0.0,2501,95.126735
3.0,2501,97.193005
1.0,2501,99.255631
4.0,2501,101.316191
3.0,2501,103.40604
2.0,2501,105.471084
0.0,2501,107.559037
1.0,2501,109.670424
2.0,2501,111.77018
1.0,2501,113.899211
1.0,2501,116.013019
1.0,2501,118.118324
1.0,2501,120.246774
1.0,2501,122.397326
0.0,2501,124.529347
0.0,2501,132.670175
1.0,2501,134.821759
3.0,2501,136.965027
4.0,2501,139.095201
2.0,2501,141.273504
1.0,2501,143.455377
2.0,2501,145.635352
0.0,2501,147.826899
4.0,2501,150.035611
2.0,2501,152.260707
4.0,2501,154.449354
3.0,2501,156.637684
3.0,2501,158.810332
2.0,2501,161.042265
0.0,2501,163.266525
3.0,2501,165.503201
2.0,2501,167.741024
4.0,2501,170.012521
4.0,2501,172.237844
1.0,2501,174.491211
3.0,2501,176.742018
2.0,2501,179.036078
5.0,2501,181.310868
3.0,2501,183.59836
4.0,2501,185.854323
5.0,2501,188.189458
1.0,2501,190.504078
4.0,2501,192.81343
7.0,2501,195.16265
0.0,2501,197.465215
7.0,2501,199.76525
3.0,2501,202.067139
4.0,2501,204.378634
5.0,2501,206.723962
1.0,2501,209.094674
6.0,2501,211.472702
3.0,2501,213.816272
5.0,2501,216.192803
4.0,2501,218.574683
3.0,2501,220.963593
1.0,2501,229.447557
10.0,2501,231.872047
6.0,2501,234.247042
7.0,2501,236.637077
6.0,2501,239.011992
4.0,2501,241.420835
1.0,2501,243.849502
3.0,2501,246.251032
6.0,2501,248.653475
5.0,2501,251.111256
7.0,2501,253.525087
5.0,2501,255.97603
0.0,2501,258.404354
4.0,2501,260.945001
11.0,2501,263.430098
4.0,2501,265.867152
5.0,2501,268.318262
1.0,2501,270.778794
4.0,2501,273.255407
3.0,2501,275.734902
8.0,2501,278.195452
4.0,2501,280.677457
5.0,2501,283.149191
6.0,2501,285.658077
5.0,2501,288.15361
9.0,2501,290.686982
9.0,2501,293.182261
13.0,2501,295.711264
8.0,2501,298.245698
9.0,2501,300.774577
4.0,2501,303.319314
3.0,2501,305.867245
10.0,2501,308.424957
6.0,2501,310.98192
3.0,2501,313.525305
7.0,2501,316.089198
10.0,2501,318.689322
4.0,2501,321.300251
7.0,2501,323.863698
7.0,2501,326.427414
7.0,2501,335.022402
12.0,2501,337.62204
4.0,2501,340.190791
3.0,2501,342.776313
10.0,2501,345.381996
9.0,2501,348.035805
12.0,2501,350.641591
13.0,2501,353.30825
11.0,2501,355.930465
11.0,2501,358.563949
9.0,2501,361.20319
11.0,2501,363.86178
14.0,2501,366.511853
4.0,2501,369.188185
6.0,2501,371.893423
12.0,2501,374.582148
11.0,2501,377.266944
8.0,2501,379.972357
11.0,2501,382.696322
17.0,2501,385.386239
5.0,2501,388.096202
11.0,2501,390.816665
12.0,2501,393.534203
11.0,2501,396.225961
9.0,2501,398.885994
6.0,2501,401.584697
13.0,2501,404.277727
9.0,2501,406.982555
9.0,2501,409.728981
16.0,2501,412.514746
11.0,2501,415.263425
8.0,2501,418.051642
16.0,2501,420.837162
11.0,2501,423.617743
13.0,2501,426.408753
11.0,2501,429.184869
10.0,2501,431.996521
11.0,2501,434.775136
9.0,2501,437.584786
11.0,2501,440.382939
16.0,2501,449.327184
14.0,2501,452.189364
15.0,2501,454.97309
15.0,2501,457.760319
16.0,2501,460.583662
21.0,2501,463.408416
16.0,2501,466.220671
9.0,2501,468.998812
13.0,2501,471.765787
12.0,2501,474.548506
11.0,2501,477.311568
19.0,2501,480.097764
13.0,2501,482.885007
12.0,2501,485.632814
16.0,2501,488.368949
15.0,2501,491.121349
15.0,2501,493.837227
20.0,2501,496.559012
11.0,2501,499.285217
8.0,2501,502.065198
11.0,2501,504.863027
9.0,2501,507.674262
17.0,2501,510.468508
