#{"t_start": 1708089124.0665853, "env_id": "MinAtar/Freeway-v1"}
r,l,t
1.0,2501,2.749063
0.0,2501,2.832933
1.0,2501,2.919361
0.0,2501,3.012612
1.0,2501,3.099395
1.0,2501,3.187294
0.0,2501,3.277211
0.0,2501,3.364207
0.0,2501,3.458754
2.0,2501,3.548347
0.0,2501,3.6408
0.0,2501,3.725266
1.0,2501,3.814393
0.0,2501,3.899415
0.0,2501,3.983403
1.0,2501,4.067224
0.0,2501,4.152833
0.0,2501,4.239687
1.0,2501,4.327534
0.0,2501,7.979787
0.0,2501,10.51996
0.0,2501,12.941021
0.0,2501,15.063363
0.0,2501,17.116588
1.0,2501,19.005552
1.0,2501,20.896988
0.0,2501,22.942684
1.0,2501,24.757014
0.0,2501,26.531502
2.0,2501,28.404187
0.0,2501,30.342367
0.0,2501,32.568952
1.0,2501,34.642071
1.0,2501,36.891387
0.0,2501,39.429786
2.0,2501,41.848952
0.0,2501,43.816221
0.0,2501,46.585238
1.0,2501,48.769672
1.0,2501,56.473721
0.0,2501,58.376696
0.0,2501,60.414193
1.0,2501,62.251612
2.0,2501,64.057921
0.0,2501,65.866446
0.0,2501,67.706136
1.0,2501,69.566032
0.0,2501,71.411567
1.0,2501,73.300915
2.0,2501,75.249075
2.0,2501,77.157571
2.0,2501,79.038185
2.0,2501,80.913332
5.0,2501,82.822463
3.0,2501,84.730959
3.0,2501,86.679437
1.0,2501,88.572643
5.0,2501,90.600446
1.0,2501,92.658318
2.0,2501,94.550884
0.0,2501,96.433276
6.0,2501,98.339751
2.0,2501,100.273886
1.0,2501,102.232143
2.0,2501,104.196879
3.0,2501,106.21504
2.0,2501,108.185463
2.0,2501,110.148304
4.0,2501,112.164027
4.0,2501,114.162923
5.0,2501,116.146752
3.0,2501,118.157339
2.0,2501,120.146441
4.0,2501,122.179128
0.0,2501,124.18975
3.0,2501,126.197593
5.0,2501,128.207066
8.0,2501,130.470573
3.0,2501,132.483326
6.0,2501,140.106573
5.0,2501,142.140789
6.0,2501,144.166667
9.0,2501,146.186728
8.0,2501,148.223933
8.0,2501,150.279506
6.0,2501,152.306177
8.0,2501,154.347834
7.0,2501,156.401847
7.0,2501,158.475366
7.0,2501,160.533849
10.0,2501,162.625014
10.0,2501,165.145994
7.0,2501,167.488716
9.0,2501,169.6543
8.0,2501,172.06181
11.0,2501,174.39912
10.0,2501,176.565867
11.0,2501,178.704437
11.0,2501,180.859949
13.0,2501,183.03914
5.0,2501,185.244996
12.0,2501,187.372171
13.0,2501,189.535453
11.0,2501,191.688457
6.0,2501,193.843149
13.0,2501,196.015576
14.0,2501,198.188114
18.0,2501,200.381145
12.0,2501,202.545233
6.0,2501,204.732302
14.0,2501,206.947689
8.0,2501,209.144147
11.0,2501,211.373874
18.0,2501,213.58616
18.0,2501,215.807096
9.0,2501,217.999939
14.0,2501,220.228904
17.0,2501,222.482736
11.0,2501,224.808834
10.0,2501,233.122488
15.0,2501,235.708773
14.0,2501,238.243505
21.0,2501,240.459037
18.0,2501,242.691022
19.0,2501,244.957947
15.0,2501,247.240742
17.0,2501,249.511617
20.0,2501,251.802592
19.0,2501,254.123869
12.0,2501,256.40033
23.0,2501,258.723526
18.0,2501,261.038876
15.0,2501,263.400158
14.0,2501,265.759541
16.0,2501,268.118647
20.0,2501,270.49033
16.0,2501,272.87035
20.0,2501,275.259884
18.0,2501,277.663747
24.0,2501,280.048889
24.0,2501,282.462609
19.0,2501,284.862691
20.0,2501,287.295417
24.0,2501,289.698123
17.0,2501,292.247643
25.0,2501,294.687785
20.0,2501,297.143515
24.0,2501,299.56389
17.0,2501,302.013121
21.0,2501,304.433097
28.0,2501,306.873709
28.0,2501,309.329139
28.0,2501,311.795564
32.0,2501,314.289115
28.0,2501,316.757184
31.0,2501,319.243884
27.0,2501,321.707899
24.0,2501,324.189809
26.0,2501,326.667989
31.0,2501,335.04035
27.0,2501,337.556785
25.0,2501,340.076236
31.0,2501,342.576154
26.0,2501,345.116456
32.0,2501,347.676728
28.0,2501,350.192926
32.0,2501,352.744498
29.0,2501,355.272416
34.0,2501,357.856278
33.0,2501,360.407742
35.0,2501,362.987902
35.0,2501,365.536418
32.0,2501,368.116431
30.0,2501,370.691146
37.0,2501,373.259132
35.0,2501,375.845876
31.0,2501,378.445835
41.0,2501,381.054129
38.0,2501,383.661876
40.0,2501,386.316247
40.0,2501,388.937214
33.0,2501,391.54385
34.0,2501,394.146084
43.0,2501,396.767763
38.0,2501,399.406142
35.0,2501,402.060984
40.0,2501,404.688616
31.0,2501,407.597247
39.0,2501,410.623914
40.0,2501,413.399422
36.0,2501,416.244748
40.0,2501,419.17698
37.0,2501,421.977562
44.0,2501,424.835646
48.0,2501,427.725908
48.0,2501,430.656501
37.0,2501,433.619323
43.0,2501,436.506055
38.0,2501,439.412685
48.0,2501,448.61702
43.0,2501,451.558937
39.0,2501,454.505533
41.0,2501,457.526547
47.0,2501,460.39982
47.0,2501,463.151772
50.0,2501,465.885284
49.0,2501,468.644495
40.0,2501,471.356141
43.0,2501,474.097145
47.0,2501,476.828629
50.0,2501,479.567497
48.0,2501,482.282584
50.0,2501,485.011024
44.0,2501,487.727905
42.0,2501,490.410828
47.0,2501,493.066515
45.0,2501,495.760386
48.0,2501,498.418799
49.0,2501,501.110504
53.0,2501,503.774945
47.0,2501,506.465465
47.0,2501,509.158829
51.0,2501,511.874246
41.0,2501,514.582361
46.0,2501,517.300683
48.0,2501,520.00812
49.0,2501,522.736572
47.0,2501,525.483479
47.0,2501,528.258535
50.0,2501,530.998882
50.0,2501,533.726665
53.0,2501,536.425405
45.0,2501,539.457855
50.0,2501,542.282909
52.0,2501,544.949323
50.0,2501,547.687933
44.0,2501,550.386185
47.0,2501,553.108646
45.0,2501,555.829342
48.0,2501,564.412023
48.0,2501,567.133511
46.0,2501,569.845586
48.0,2501,572.54484
46.0,2501,575.237848
50.0,2501,577.936069
48.0,2501,580.627393
54.0,2501,583.344279
43.0,2501,586.140096
48.0,2501,588.868132
50.0,2501,591.554403
38.0,2501,594.299943
51.0,2501,597.007454
43.0,2501,599.707763
51.0,2501,602.411122
54.0,2501,605.088496
52.0,2501,607.793157
49.0,2501,610.481812
51.0,2501,613.185933
53.0,2501,615.882017
49.0,2501,618.566202
55.0,2501,621.268243
56.0,2501,623.968383
50.0,2501,626.660939
53.0,2501,629.332315
43.0,2501,632.030547
49.0,2501,634.711997
57.0,2501,637.402542
53.0,2501,640.063295
51.0,2501,642.771508
51.0,2501,645.505375
55.0,2501,648.222058
52.0,2501,650.927672
50.0,2501,653.598501
45.0,2501,656.265886
52.0,2501,658.940635
59.0,2501,661.638278
54.0,2501,664.305493
55.0,2501,666.964038
51.0,2501,669.605901
49.0,2501,678.064729
49.0,2501,680.737049
49.0,2501,683.460839
46.0,2501,686.198036
45.0,2501,689.003109
54.0,2501,691.693691
47.0,2501,694.382048
55.0,2501,697.054448
51.0,2501,699.73515
55.0,2501,702.504992
55.0,2501,705.26186
48.0,2501,708.21355
50.0,2501,711.201903
48.0,2501,714.055284
51.0,2501,716.820329
57.0,2501,719.638677
52.0,2501,722.55443
54.0,2501,725.536359
50.0,2501,728.602988
49.0,2501,731.420686
54.0,2501,734.150594
50.0,2501,736.82803
56.0,2501,739.501961
44.0,2501,742.160289
55.0,2501,744.825892
47.0,2501,747.484448
54.0,2501,750.154739
55.0,2501,752.833733
50.0,2501,755.49382
56.0,2501,758.15451
52.0,2501,760.812365
52.0,2501,763.492332
56.0,2501,766.214946
52.0,2501,768.920521
49.0,2501,771.623301
