#{"t_start": 1708259720.3021817, "env_id": "MinAtar/Freeway-v1"}
r,l,t
0.0,2501,10.708441
0.0,2501,15.693146
0.0,2501,21.987488
0.0,2501,27.051915
0.0,2501,33.02852
0.0,2501,37.897105
0.0,2501,43.303591
5.0,2501,47.982515
2.0,2501,52.840447
2.0,2501,58.290682
0.0,2501,63.361743
4.0,2501,68.690999
0.0,2501,73.833773
3.0,2501,79.224618
3.0,2501,84.151675
2.0,2501,89.733767
4.0,2501,94.54144
7.0,2501,99.463418
6.0,2501,104.782684
8.0,2501,109.32973
6.0,2501,115.026933
9.0,2501,120.027283
6.0,2501,125.627006
7.0,2501,130.468574
1.0,2501,135.980046
2.0,2501,140.638147
4.0,2501,145.478041
6.0,2501,150.801509
6.0,2501,155.466097
4.0,2501,160.532047
6.0,2501,165.199134
6.0,2501,170.740891
7.0,2501,176.194987
5.0,2501,181.986881
3.0,2501,186.894039
9.0,2501,191.816854
2.0,2501,197.214414
6.0,2501,201.963001
5.0,2501,207.547823
0.0,2501,212.456637
2.0,2501,218.034378
7.0,2501,222.911752
0.0,2501,228.673529
3.0,2501,233.580346
8.0,2501,238.430399
5.0,2501,244.236894
5.0,2501,249.141301
3.0,2501,254.665966
1.0,2501,259.283104
8.0,2501,265.096329
9.0,2501,269.851223
8.0,2501,275.487319
5.0,2501,280.381232
6.0,2501,285.307099
3.0,2501,290.689158
2.0,2501,295.3388
6.0,2501,300.853271
1.0,2501,305.852437
2.0,2501,311.294216
0.0,2501,316.071282
1.0,2501,320.772526
6.0,2501,326.148205
0.0,2501,330.889463
9.0,2501,336.40698
12.0,2501,340.969481
11.0,2501,345.972094
6.0,2501,350.37837
8.0,2501,355.520125
12.0,2501,359.944609
3.0,2501,364.457383
14.0,2501,369.453404
8.0,2501,373.791023
7.0,2501,378.753778
7.0,2501,383.148937
16.0,2501,388.131721
15.0,2501,392.505935
13.0,2501,397.500671
15.0,2501,401.874932
18.0,2501,406.258484
23.0,2501,411.275122
16.0,2501,415.599571
13.0,2501,420.888238
11.0,2501,425.35216
14.0,2501,430.392767
16.0,2501,434.843652
11.0,2501,440.083219
14.0,2501,444.376718
16.0,2501,449.11738
18.0,2501,454.325696
10.0,2501,459.165498
20.0,2501,464.690289
10.0,2501,469.398764
8.0,2501,474.896038
13.0,2501,479.799994
7.0,2501,485.209549
9.0,2501,489.953964
3.0,2501,494.695013
16.0,2501,500.237345
17.0,2501,504.800351
25.0,2501,510.087642
13.0,2501,514.793011
15.0,2501,520.222635
15.0,2501,524.738026
12.0,2501,530.053549
19.0,2501,534.665827
16.0,2501,539.514717
19.0,2501,546.274111
18.0,2501,551.438999
5.0,2501,557.177658
16.0,2501,561.886092
17.0,2501,567.133589
17.0,2501,571.707251
16.0,2501,576.261946
20.0,2501,581.396827
12.0,2501,585.938165
13.0,2501,591.092718
18.0,2501,595.725127
15.0,2501,601.011729
20.0,2501,605.706188
21.0,2501,611.080905
24.0,2501,615.782318
19.0,2501,621.12599
15.0,2501,626.527801
19.0,2501,631.459735
28.0,2501,636.907508
21.0,2501,641.660366
18.0,2501,646.837597
31.0,2501,651.262527
26.0,2501,656.406112
23.0,2501,661.120867
29.0,2501,665.810274
26.0,2501,670.818563
26.0,2501,675.657552
23.0,2501,681.168579
21.0,2501,685.872636
28.0,2501,691.185867
25.0,2501,696.06346
20.0,2501,701.560038
11.0,2501,706.283729
23.0,2501,710.821072
26.0,2501,715.806231
23.0,2501,720.165334
25.0,2501,725.618119
25.0,2501,729.933709
20.0,2501,735.100288
26.0,2501,739.578146
11.0,2501,744.303181
24.0,2501,748.570626
36.0,2501,752.849033
22.0,2501,758.013272
15.0,2501,762.454286
22.0,2501,767.489935
27.0,2501,771.984381
28.0,2501,777.458097
20.0,2501,782.003782
27.0,2501,787.029848
32.0,2501,791.023076
31.0,2501,794.998456
29.0,2501,799.550511
33.0,2501,803.602094
25.0,2501,808.962759
24.0,2501,812.96357
29.0,2501,817.978163
29.0,2501,822.404405
29.0,2501,826.825569
32.0,2501,832.357594
23.0,2501,837.078926
30.0,2501,842.610854
15.0,2501,846.994694
27.0,2501,851.69974
29.0,2501,856.263377
22.0,2501,861.332775
31.0,2501,865.845073
26.0,2501,870.645262
27.0,2501,876.015971
25.0,2501,880.659449
33.0,2501,886.287089
28.0,2501,890.924808
11.0,2501,896.465697
34.0,2501,901.322777
29.0,2501,906.96716
33.0,2501,911.532937
25.0,2501,916.065146
26.0,2501,921.284781
29.0,2501,925.949378
28.0,2501,931.319643
28.0,2501,935.639301
25.0,2501,940.741496
21.0,2501,945.213249
32.0,2501,949.910671
30.0,2501,954.925203
22.0,2501,959.733423
24.0,2501,964.696326
16.0,2501,969.111358
22.0,2501,974.53639
29.0,2501,979.212659
30.0,2501,984.50758
27.0,2501,989.341631
25.0,2501,994.750878
28.0,2501,999.508448
30.0,2501,1004.402408
29.0,2501,1009.773991
35.0,2501,1014.435117
34.0,2501,1019.707715
27.0,2501,1024.195707
30.0,2501,1029.597676
23.0,2501,1034.312484
31.0,2501,1039.594918
23.0,2501,1044.201893
23.0,2501,1048.806528
24.0,2501,1054.052756
27.0,2501,1058.761236
22.0,2501,1064.296398
22.0,2501,1069.113424
28.0,2501,1074.47535
26.0,2501,1079.151085
30.0,2501,1083.880694
26.0,2501,1089.293283
28.0,2501,1093.896888
17.0,2501,1099.135487
28.0,2501,1103.795971
23.0,2501,1109.292336
26.0,2501,1114.000952
25.0,2501,1119.34627
23.0,2501,1124.038563
24.0,2501,1128.796115
36.0,2501,1134.330642
22.0,2501,1139.107048
25.0,2501,1143.777932
27.0,2501,1147.952637
22.0,2501,1153.228756
19.0,2501,1157.656434
22.0,2501,1162.667374
16.0,2501,1167.12061
25.0,2501,1171.892873
32.0,2501,1177.062844
23.0,2501,1181.620436
24.0,2501,1186.730488
21.0,2501,1191.109351
24.0,2501,1196.140333
25.0,2501,1200.651233
27.0,2501,1205.647654
22.0,2501,1210.412238
33.0,2501,1215.038013
24.0,2501,1220.392693
29.0,2501,1225.005695
35.0,2501,1230.082087
40.0,2501,1234.559979
26.0,2501,1239.715474
23.0,2501,1244.227549
30.0,2501,1249.328201
24.0,2501,1253.916643
29.0,2501,1258.767527
23.0,2501,1264.016963
30.0,2501,1268.539294
24.0,2501,1273.515881
24.0,2501,1278.19135
29.0,2501,1283.748655
27.0,2501,1288.563744
28.0,2501,1293.905292
33.0,2501,1298.396294
27.0,2501,1302.935299
24.0,2501,1308.345976
17.0,2501,1312.92863
24.0,2501,1318.303267
31.0,2501,1323.123447
22.0,2501,1328.582226
23.0,2501,1333.553576
31.0,2501,1339.088591
27.0,2501,1343.962813
25.0,2501,1348.912418
25.0,2501,1354.563077
28.0,2501,1359.196953
22.0,2501,1364.375047
18.0,2501,1369.335525
24.0,2501,1375.077038
20.0,2501,1379.841658
28.0,2501,1384.423404
24.0,2501,1389.586529
23.0,2501,1394.128728
22.0,2501,1399.37834
27.0,2501,1403.975045
28.0,2501,1409.259909
20.0,2501,1413.821355
21.0,2501,1418.96346
24.0,2501,1423.473005
19.0,2501,1427.929454
13.0,2501,1433.149852
16.0,2501,1437.934023
16.0,2501,1443.404034
21.0,2501,1448.228018
26.0,2501,1453.678824
20.0,2501,1458.527687
22.0,2501,1464.043884
22.0,2501,1468.894913
17.0,2501,1473.558425
27.0,2501,1478.983984
27.0,2501,1483.851683
23.0,2501,1489.510704
20.0,2501,1494.011319
19.0,2501,1499.299454
18.0,2501,1503.973428
23.0,2501,1509.010279
29.0,2501,1513.354486
28.0,2501,1517.659204
20.0,2501,1522.632516
32.0,2501,1527.114927
19.0,2501,1532.304377
21.0,2501,1537.020285
17.0,2501,1543.14464
15.0,2501,1548.173364
23.0,2501,1553.440845
27.0,2501,1557.939967
26.0,2501,1562.497548
26.0,2501,1567.656721
25.0,2501,1572.255255
31.0,2501,1577.479928
25.0,2501,1582.514027
24.0,2501,1588.048813
29.0,2501,1592.866203
31.0,2501,1598.142824
32.0,2501,1602.672637
31.0,2501,1607.216762
25.0,2501,1612.399234
26.0,2501,1616.900726
27.0,2501,1621.982092
24.0,2501,1626.773953
25.0,2501,1632.164575
18.0,2501,1636.733096
27.0,2501,1641.57582
29.0,2501,1647.200444
25.0,2501,1651.985842
29.0,2501,1657.620501
32.0,2501,1662.411615
32.0,2501,1668.054178
30.0,2501,1672.839522
31.0,2501,1678.339646
25.0,2501,1683.07051
24.0,2501,1687.914149
31.0,2501,1693.185071
22.0,2501,1697.65338
23.0,2501,1702.815585
25.0,2501,1707.621624
31.0,2501,1713.248224
26.0,2501,1717.853139
22.0,2501,1723.183894
28.0,2501,1727.898333
29.0,2501,1732.686064
30.0,2501,1737.955967
32.0,2501,1742.666396
29.0,2501,1748.093833
27.0,2501,1752.68944
26.0,2501,1758.143464
18.0,2501,1762.973575
20.0,2501,1768.165073
22.0,2501,1772.529256
26.0,2501,1776.970311
23.0,2501,1782.405691
27.0,2501,1787.251037
19.0,2501,1792.795095
18.0,2501,1797.804146
27.0,2501,1803.269355
28.0,2501,1808.016982
21.0,2501,1813.438407
20.0,2501,1818.223042
18.0,2501,1823.025975
23.0,2501,1828.56857
19.0,2501,1833.631149
25.0,2501,1839.402469
21.0,2501,1844.222018
25.0,2501,1849.383277
22.0,2501,1853.700999
27.0,2501,1858.734702
22.0,2501,1863.546107
22.0,2501,1868.384052
22.0,2501,1873.673657
20.0,2501,1878.206816
24.0,2501,1883.599174
19.0,2501,1888.381673
23.0,2501,1893.27409
23.0,2501,1897.565474
29.0,2501,1901.857997
34.0,2501,1906.886133
18.0,2501,1911.195139
28.0,2501,1916.128874
30.0,2501,1920.665135
30.0,2501,1925.567027
28.0,2501,1929.800914
27.0,2501,1935.188704
31.0,2501,1939.670439
24.0,2501,1944.187519
27.0,2501,1949.657466
23.0,2501,1954.278453
29.0,2501,1959.6954
27.0,2501,1964.347674
30.0,2501,1969.422367
30.0,2501,1973.97482
34.0,2501,1979.113602
29.0,2501,1983.666267
27.0,2501,1988.179127
27.0,2501,1993.241515
23.0,2501,1997.755836
31.0,2501,2002.901039
24.0,2501,2007.439614
27.0,2501,2012.755443
33.0,2501,2017.334376
26.0,2501,2022.523789
22.0,2501,2027.234829
25.0,2501,2031.828115
29.0,2501,2037.18361
26.0,2501,2041.938949
24.0,2501,2047.461993
33.0,2501,2052.124201
29.0,2501,2057.715899
24.0,2501,2062.622138
27.0,2501,2068.300354
30.0,2501,2072.812964
29.0,2501,2077.407636
33.0,2501,2082.744315
33.0,2501,2087.263976
27.0,2501,2092.352546
29.0,2501,2096.751829
34.0,2501,2101.814195
37.0,2501,2106.150495
25.0,2501,2111.156314
33.0,2501,2115.632479
27.0,2501,2119.998359
33.0,2501,2125.060839
31.0,2501,2129.396821
20.0,2501,2134.421067
32.0,2501,2139.373033
24.0,2501,2144.859
31.0,2501,2149.822154
28.0,2501,2154.613961
28.0,2501,2159.990487
30.0,2501,2164.644718
21.0,2501,2170.221639
24.0,2501,2174.976366
36.0,2501,2180.633381
35.0,2501,2185.335196
37.0,2501,2191.108079
27.0,2501,2196.08701
36.0,2501,2200.905542
34.0,2501,2206.756814
34.0,2501,2211.437744
36.0,2501,2216.816241
29.0,2501,2221.91708
31.0,2501,2227.48341
33.0,2501,2232.092679
37.0,2501,2237.409285
33.0,2501,2241.946969
26.0,2501,2246.550775
30.0,2501,2252.072159
32.0,2501,2257.047095
36.0,2501,2262.724518
40.0,2501,2267.67082
28.0,2501,2273.473798
34.0,2501,2278.21526
26.0,2501,2283.617298
30.0,2501,2288.278857
20.0,2501,2293.193464
29.0,2501,2298.498987
36.0,2501,2303.305765
28.0,2501,2308.354814
29.0,2501,2313.153102
31.0,2501,2318.600598
38.0,2501,2323.494414
36.0,2501,2329.040879
32.0,2501,2333.636703
29.0,2501,2338.209509
29.0,2501,2343.849983
31.0,2501,2348.793816
33.0,2501,2354.550838
30.0,2501,2359.591899
37.0,2501,2365.378993
30.0,2501,2369.953457
33.0,2501,2375.134352
30.0,2501,2379.653105
40.0,2501,2384.112803
30.0,2501,2389.301555
24.0,2501,2394.284256
32.0,2501,2399.787354
30.0,2501,2404.650222
36.0,2501,2410.315193
32.0,2501,2415.009721
34.0,2501,2419.71931
37.0,2501,2425.16359
38.0,2501,2429.968825
35.0,2501,2435.110027
34.0,2501,2439.793373
34.0,2501,2445.02471
31.0,2501,2449.909351
31.0,2501,2455.383446
32.0,2501,2459.920245
40.0,2501,2464.685776
27.0,2501,2470.128664
34.0,2501,2475.033384
20.0,2501,2480.621866
26.0,2501,2485.431748
20.0,2501,2490.775624
28.0,2501,2495.615879
32.0,2501,2500.977302
27.0,2501,2505.77176
33.0,2501,2510.474434
30.0,2501,2515.860685
32.0,2501,2520.66992
37.0,2501,2526.106471
34.0,2501,2530.7113
34.0,2501,2535.983402
35.0,2501,2540.575067
24.0,2501,2545.631691
36.0,2501,2550.044388
36.0,2501,2554.560381
37.0,2501,2559.793989
36.0,2501,2564.384125
35.0,2501,2569.519515
40.0,2501,2574.114673
31.0,2501,2579.305384
34.0,2501,2583.759662
38.0,2501,2588.913506
30.0,2501,2593.469956
26.0,2501,2598.11466
30.0,2501,2603.286618
31.0,2501,2608.056939
33.0,2501,2613.890086
33.0,2501,2618.775854
27.0,2501,2624.48266
25.0,2501,2629.647682
29.0,2501,2635.694232
40.0,2501,2640.63969
28.0,2501,2645.764538
37.0,2501,2651.38201
32.0,2501,2655.953878
28.0,2501,2661.889382
34.0,2501,2666.802899
25.0,2501,2672.370737
30.0,2501,2677.099057
30.0,2501,2682.544117
35.0,2501,2687.422879
35.0,2501,2692.523952
37.0,2501,2698.147872
34.0,2501,2702.920036
27.0,2501,2708.30124
35.0,2501,2713.143863
38.0,2501,2718.924534
31.0,2501,2723.744322
34.0,2501,2728.830485
32.0,2501,2734.50798
34.0,2501,2739.171824
29.0,2501,2744.537825
35.0,2501,2748.928115
31.0,2501,2753.873823
36.0,2501,2758.242544
36.0,2501,2763.708132
31.0,2501,2768.461223
40.0,2501,2773.106336
30.0,2501,2778.580261
29.0,2501,2783.202842
32.0,2501,2788.484056
24.0,2501,2793.22064
31.0,2501,2798.462405
28.0,2501,2803.114026
32.0,2501,2808.325513
27.0,2501,2812.97887
24.0,2501,2817.648957
40.0,2501,2822.804636
20.0,2501,2827.296379
29.0,2501,2832.530471
28.0,2501,2837.318428
27.0,2501,2842.771102
25.0,2501,2847.565545
23.0,2501,2852.617606
31.0,2501,2857.190192
28.0,2501,2861.759982
32.0,2501,2867.363505
31.0,2501,2872.212121
34.0,2501,2877.285662
28.0,2501,2881.897314
33.0,2501,2886.981237
27.0,2501,2891.7963
23.0,2501,2897.222099
26.0,2501,2902.164371
35.0,2501,2906.333697
35.0,2501,2910.951617
27.0,2501,2915.479492
28.0,2501,2920.719846
30.0,2501,2925.119385
33.0,2501,2929.814629
31.0,2501,2934.276315
28.0,2501,2939.6771
37.0,2501,2943.861821
33.0,2501,2948.432235
32.0,2501,2953.910209
35.0,2501,2958.504662
32.0,2501,2963.952905
33.0,2501,2968.615336
26.0,2501,2974.145589
24.0,2501,2978.813986
26.0,2501,2983.573181
26.0,2501,2988.944684
30.0,2501,2993.757577
23.0,2501,2999.413337
30.0,2501,3004.098701
26.0,2501,3009.078339
27.0,2501,3039.242519
30.0,2501,3044.187021
15.0,2501,3048.230837
30.0,2501,3052.681121
32.0,2501,3058.141087
28.0,2501,3062.492506
30.0,2501,3098.952384
24.0,2501,3103.773012
28.0,2501,3108.987514
28.0,2501,3113.48191
40.0,2501,3118.27216
35.0,2501,3122.512333
39.0,2501,3159.777426
23.0,2501,3164.894303
34.0,2501,3169.275431
32.0,2501,3174.635879
38.0,2501,3179.056708
32.0,2501,3183.986046
32.0,2501,3188.401884
26.0,2501,3193.572678
32.0,2501,3198.292321
33.0,2501,3202.914444
36.0,2501,3208.248294
31.0,2501,3212.572009
36.0,2501,3217.639112
34.0,2501,3222.241256
29.0,2501,3227.718324
20.0,2501,3232.450045
39.0,2501,3238.055213
28.0,2501,3242.963858
39.0,2501,3247.784066
30.0,2501,3253.267051
27.0,2501,3258.005468
37.0,2501,3263.729491
30.0,2501,3268.372537
36.0,2501,3273.36468
34.0,2501,3277.882311
25.0,2501,3283.174562
28.0,2501,3287.8053
30.0,2501,3292.279804
31.0,2501,3297.419864
29.0,2501,3301.855439
28.0,2501,3306.920149
35.0,2501,3311.358977
29.0,2501,3316.435608
37.0,2501,3320.916144
24.0,2501,3325.431529
31.0,2501,3330.529953
36.0,2501,3334.99192
38.0,2501,3340.03823
27.0,2501,3344.679155
32.0,2501,3349.827601
25.0,2501,3354.289132
28.0,2501,3359.43187
31.0,2501,3363.970724
30.0,2501,3368.513718
29.0,2501,3373.704148
23.0,2501,3378.211821
28.0,2501,3383.245507
23.0,2501,3387.612959
35.0,2501,3392.669985
27.0,2501,3397.541711
31.0,2501,3402.98566
40.0,2501,3407.961118
35.0,2501,3412.798869
22.0,2501,3418.342221
31.0,2501,3423.257647
34.0,2501,3428.68411
20.0,2501,3433.561978
30.0,2501,3439.10529
33.0,2501,3443.955806
26.0,2501,3449.420316
37.0,2501,3454.464035
29.0,2501,3459.433349
27.0,2501,3464.961936
34.0,2501,3469.703958
34.0,2501,3474.943116
29.0,2501,3479.739563
25.0,2501,3485.155891
32.0,2501,3489.642152
27.0,2501,3494.956558
36.0,2501,3499.858239
36.0,2501,3504.590146
33.0,2501,3509.88514
29.0,2501,3514.441197
29.0,2501,3519.80302
32.0,2501,3524.584513
30.0,2501,3530.21348
30.0,2501,3535.248504
27.0,2501,3541.078524
32.0,2501,3545.587879
16.0,2501,3550.251945
27.0,2501,3555.533272
23.0,2501,3560.130563
33.0,2501,3565.468274
30.0,2501,3570.546552
25.0,2501,3576.056228
26.0,2501,3580.987633
33.0,2501,3585.257459
30.0,2501,3589.941905
31.0,2501,3594.458569
31.0,2501,3599.893171
28.0,2501,3604.676015
26.0,2501,3610.100433
28.0,2501,3614.267996
32.0,2501,3619.458897
37.0,2501,3624.056804
36.0,2501,3628.49664
35.0,2501,3633.737192
32.0,2501,3638.27764
29.0,2501,3643.225634
30.0,2501,3647.87806
27.0,2501,3653.04027
30.0,2501,3657.565131
25.0,2501,3662.886746
19.0,2501,3667.339547
43.0,2501,3671.723986
38.0,2501,3676.7598
34.0,2501,3681.135967
34.0,2501,3686.233819
36.0,2501,3690.756663
36.0,2501,3695.832936
37.0,2501,3700.541533
38.0,2501,3705.625808
32.0,2501,3710.204025
32.0,2501,3714.860692
32.0,2501,3720.236876
34.0,2501,3724.631724
35.0,2501,3730.116308
28.0,2501,3734.891916
37.0,2501,3740.308316
32.0,2501,3744.988336
41.0,2501,3750.412432
42.0,2501,3755.240952
30.0,2501,3759.574032
39.0,2501,3764.562798
30.0,2501,3768.903221
34.0,2501,3774.197805
33.0,2501,3779.019389
34.0,2501,3784.20647
39.0,2501,3788.959779
34.0,2501,3794.312636
34.0,2501,3798.977405
30.0,2501,3803.480211
28.0,2501,3808.438935
31.0,2501,3812.697679
34.0,2501,3818.006779
36.0,2501,3822.85986
33.0,2501,3828.229501
25.0,2501,3832.833767
32.0,2501,3837.168153
24.0,2501,3842.269328
37.0,2501,3846.669147
39.0,2501,3851.851046
32.0,2501,3856.532599
27.0,2501,3861.604151
32.0,2501,3866.14093
39.0,2501,3871.149303
34.0,2501,3875.581356
29.0,2501,3880.147765
42.0,2501,3885.247539
38.0,2501,3889.812436
41.0,2501,3895.398682
34.0,2501,3900.154204
40.0,2501,3905.67121
35.0,2501,3910.364778
40.0,2501,3915.678338
34.0,2501,3920.291625
28.0,2501,3925.141608
39.0,2501,3930.628214
37.0,2501,3935.277483
29.0,2501,3940.70765
39.0,2501,3945.526667
37.0,2501,3950.668197
31.0,2501,3955.156603
32.0,2501,3960.50703
30.0,2501,3965.183201
30.0,2501,3969.591896
22.0,2501,3974.842512
26.0,2501,3979.60012
33.0,2501,3985.194278
24.0,2501,3990.149196
27.0,2501,3995.558518
31.0,2501,4000.498085
27.0,2501,4005.995314
39.0,2501,4010.856527
30.0,2501,4015.467395
25.0,2501,4020.924204
31.0,2501,4025.355942
30.0,2501,4030.743191
30.0,2501,4035.454232
29.0,2501,4041.026048
32.0,2501,4045.795249
29.0,2501,4051.268398
36.0,2501,4055.893549
34.0,2501,4060.500906
31.0,2501,4065.932646
30.0,2501,4070.691674
33.0,2501,4076.249148
31.0,2501,4080.801195
31.0,2501,4085.908226
36.0,2501,4090.585412
37.0,2501,4096.258252
38.0,2501,4100.922417
31.0,2501,4105.655945
28.0,2501,4111.025716
29.0,2501,4115.545433
33.0,2501,4120.469326
34.0,2501,4124.811749
29.0,2501,4129.70661
31.0,2501,4134.028892
25.0,2501,4138.318346
24.0,2501,4143.263125
31.0,2501,4147.554507
31.0,2501,4152.498471
30.0,2501,4156.807347
39.0,2501,4161.725163
43.0,2501,4165.982505
32.0,2501,4170.926988
28.0,2501,4175.200746
30.0,2501,4179.481435
32.0,2501,4184.442297
30.0,2501,4188.758123
35.0,2501,4193.680936
33.0,2501,4197.982474
33.0,2501,4202.913052
36.0,2501,4207.190417
28.0,2501,4212.094903
31.0,2501,4216.976932
32.0,2501,4221.561427
41.0,2501,4226.799578
39.0,2501,4231.08187
26.0,2501,4235.982917
40.0,2501,4240.392322
36.0,2501,4245.329797
38.0,2501,4249.852512
30.0,2501,4254.809777
31.0,2501,4259.613431
41.0,2501,4264.580181
35.0,2501,4270.269336
38.0,2501,4275.007421
35.0,2501,4280.053224
32.0,2501,4284.439754
37.0,2501,4289.484877
27.0,2501,4293.955251
30.0,2501,4299.026937
35.0,2501,4303.323827
28.0,2501,4307.812085
27.0,2501,4313.21349
30.0,2501,4317.863283
28.0,2501,4322.966685
29.0,2501,4327.848517
32.0,2501,4333.426753
31.0,2501,4338.147864
26.0,2501,4343.447945
31.0,2501,4348.234381
32.0,2501,4352.845021
28.0,2501,4357.915821
28.0,2501,4362.352084
37.0,2501,4367.683286
36.0,2501,4372.430959
34.0,2501,4377.927598
36.0,2501,4382.882074
35.0,2501,4388.175355
31.0,2501,4393.871876
40.0,2501,4398.664648
35.0,2501,4403.811762
34.0,2501,4408.620385
33.0,2501,4414.007643
30.0,2501,4418.938142
33.0,2501,4424.154725
35.0,2501,4428.634343
31.0,2501,4433.319951
38.0,2501,4438.608344
38.0,2501,4443.076037
30.0,2501,4448.37997
43.0,2501,4452.804688
45.0,2501,4457.935811
30.0,2501,4462.377344
42.0,2501,4467.814497
24.0,2501,4472.591222
37.0,2501,4477.477218
29.0,2501,4482.881096
36.0,2501,4487.623974
39.0,2501,4493.144949
33.0,2501,4497.95335
35.0,2501,4503.558436
33.0,2501,4508.517086
34.0,2501,4514.22987
37.0,2501,4519.279447
39.0,2501,4524.117966
36.0,2501,4529.43284
33.0,2501,4533.891327
32.0,2501,4538.971634
41.0,2501,4543.737825
33.0,2501,4548.959403
36.0,2501,4553.402216
29.0,2501,4558.610024
32.0,2501,4563.032869
43.0,2501,4567.428072
41.0,2501,4572.431472
42.0,2501,4576.866111
