#{"t_start": 1708547780.9043121, "env_id": "MinAtar/Freeway-v1"}
r,l,t
0.0,2501,9.71317
1.0,2501,15.095331
0.0,2501,20.111023
1.0,2501,24.767627
2.0,2501,30.770384
0.0,2501,35.429531
2.0,2501,40.21974
0.0,2501,45.123785
5.0,2501,49.839135
2.0,2501,55.924083
1.0,2501,60.764163
1.0,2501,65.793527
0.0,2501,70.563347
1.0,2501,76.991144
1.0,2501,81.978311
6.0,2501,86.759198
1.0,2501,91.582795
1.0,2501,96.541632
2.0,2501,102.645634
1.0,2501,107.574347
1.0,2501,112.473098
1.0,2501,117.798511
2.0,2501,124.089019
4.0,2501,128.486228
5.0,2501,132.987564
3.0,2501,137.560333
3.0,2501,142.339434
0.0,2501,149.095072
10.0,2501,153.913282
9.0,2501,158.653928
6.0,2501,163.444791
5.0,2501,169.629648
9.0,2501,174.350429
13.0,2501,178.98501
12.0,2501,183.770178
9.0,2501,188.455759
17.0,2501,194.459823
10.0,2501,199.129096
5.0,2501,203.808612
9.0,2501,217.996762
4.0,2501,224.213601
10.0,2501,228.922582
5.0,2501,233.58469
5.0,2501,238.230523
7.0,2501,242.846344
6.0,2501,248.892939
11.0,2501,253.541934
4.0,2501,258.424167
10.0,2501,263.216811
4.0,2501,269.251451
12.0,2501,274.08752
14.0,2501,279.856298
9.0,2501,284.952131
0.0,2501,289.927255
9.0,2501,296.229742
7.0,2501,300.913961
0.0,2501,305.586983
10.0,2501,310.301059
4.0,2501,316.606232
7.0,2501,321.428558
3.0,2501,326.247116
7.0,2501,331.0053
0.0,2501,335.851674
7.0,2501,342.112268
5.0,2501,346.855249
4.0,2501,351.529425
4.0,2501,356.374994
5.0,2501,362.606983
6.0,2501,367.495144
2.0,2501,372.247021
6.0,2501,377.157255
8.0,2501,382.333104
16.0,2501,388.651767
9.0,2501,393.532874
11.0,2501,398.30828
14.0,2501,403.064927
7.0,2501,409.153968
7.0,2501,414.080695
15.0,2501,419.145999
12.0,2501,434.632712
11.0,2501,439.539153
6.0,2501,445.638615
2.0,2501,450.303785
2.0,2501,454.93771
9.0,2501,459.647956
1.0,2501,465.737786
11.0,2501,470.499804
9.0,2501,475.179178
3.0,2501,479.925065
16.0,2501,484.644928
8.0,2501,490.732276
9.0,2501,495.438764
4.0,2501,500.124972
13.0,2501,504.875304
6.0,2501,511.000287
8.0,2501,515.716923
8.0,2501,520.419805
9.0,2501,525.140748
4.0,2501,529.86513
3.0,2501,535.953592
5.0,2501,540.663196
1.0,2501,545.350846
6.0,2501,550.035924
7.0,2501,556.100908
3.0,2501,560.785266
4.0,2501,565.455158
8.0,2501,570.121945
6.0,2501,574.884225
5.0,2501,580.938517
8.0,2501,585.630532
4.0,2501,590.302905
14.0,2501,594.966561
