#{"t_start": 1708568445.2946138, "env_id": "MinAtar/Freeway-v1"}
r,l,t
0.0,2501,4.650701
0.0,2501,9.249331
1.0,2501,13.874488
0.0,2501,18.63834
0.0,2501,24.635141
0.0,2501,29.226381
0.0,2501,33.758818
2.0,2501,38.31197
0.0,2501,42.975217
0.0,2501,48.940892
1.0,2501,53.708174
0.0,2501,58.292909
0.0,2501,62.981827
1.0,2501,68.909699
0.0,2501,73.495122
0.0,2501,78.09774
0.0,2501,82.712314
0.0,2501,87.546123
0.0,2501,93.509231
0.0,2501,98.048357
1.0,2501,102.661696
0.0,2501,107.257458
0.0,2501,113.282818
1.0,2501,118.13142
0.0,2501,122.755031
1.0,2501,127.338936
0.0,2501,131.99161
0.0,2501,137.973803
1.0,2501,142.61273
0.0,2501,147.158511
4.0,2501,151.946409
1.0,2501,157.935319
1.0,2501,162.587278
0.0,2501,167.172761
0.0,2501,171.762332
1.0,2501,176.369054
1.0,2501,182.537115
3.0,2501,187.144328
2.0,2501,191.732557
0.0,2501,205.405302
0.0,2501,211.517698
0.0,2501,216.230125
0.0,2501,220.763284
1.0,2501,225.406644
0.0,2501,230.049435
0.0,2501,236.046687
3.0,2501,240.591287
3.0,2501,245.193687
0.0,2501,250.006357
1.0,2501,256.004639
0.0,2501,260.608964
0.0,2501,265.198592
1.0,2501,269.789009
2.0,2501,274.428514
4.0,2501,280.640442
2.0,2501,285.250437
1.0,2501,289.877062
2.0,2501,294.474686
1.0,2501,300.430375
2.0,2501,305.008728
0.0,2501,309.580861
5.0,2501,314.318317
7.0,2501,318.997098
6.0,2501,324.972304
5.0,2501,329.578973
3.0,2501,334.185393
3.0,2501,338.735229
3.0,2501,344.701065
8.0,2501,349.502285
4.0,2501,354.08894
8.0,2501,358.65602
2.0,2501,363.314217
11.0,2501,369.319783
5.0,2501,373.947595
6.0,2501,378.630748
3.0,2501,383.233899
6.0,2501,389.194833
6.0,2501,393.773994
8.0,2501,398.339497
6.0,2501,412.178183
5.0,2501,416.861416
5.0,2501,422.892322
9.0,2501,427.464031
3.0,2501,431.973929
9.0,2501,436.642265
6.0,2501,442.598234
6.0,2501,447.341152
9.0,2501,451.882048
10.0,2501,456.444525
11.0,2501,461.101411
13.0,2501,467.052437
20.0,2501,471.631279
12.0,2501,476.428209
17.0,2501,480.97959
15.0,2501,486.908419
11.0,2501,491.488412
9.0,2501,496.072564
10.0,2501,500.669246
16.0,2501,505.326678
12.0,2501,511.478868
19.0,2501,516.054572
14.0,2501,520.666442
5.0,2501,525.269571
10.0,2501,531.201903
6.0,2501,535.751964
8.0,2501,540.296998
12.0,2501,544.976273
11.0,2501,549.594538
5.0,2501,555.525258
16.0,2501,560.071347
13.0,2501,564.562336
15.0,2501,569.151805
15.0,2501,573.989179
16.0,2501,579.938604
9.0,2501,584.898529
14.0,2501,589.539907
19.0,2501,594.177394
14.0,2501,600.140811
7.0,2501,604.75088
7.0,2501,618.533277
9.0,2501,623.198574
7.0,2501,627.854251
3.0,2501,633.789686
13.0,2501,638.295501
15.0,2501,643.056025
16.0,2501,647.710382
12.0,2501,653.641041
16.0,2501,658.18366
13.0,2501,662.76422
14.0,2501,667.353272
21.0,2501,672.1634
12.0,2501,678.152267
18.0,2501,682.738883
19.0,2501,687.354763
16.0,2501,691.974576
17.0,2501,697.930918
14.0,2501,702.510934
16.0,2501,707.249658
3.0,2501,711.854993
14.0,2501,716.522283
14.0,2501,722.533557
4.0,2501,727.128141
12.0,2501,731.707814
8.0,2501,736.353449
16.0,2501,742.526452
0.0,2501,747.117468
13.0,2501,751.667175
11.0,2501,756.190479
5.0,2501,760.859208
16.0,2501,766.820165
16.0,2501,771.579804
18.0,2501,776.161163
10.0,2501,780.794168
18.0,2501,786.713368
10.0,2501,791.239395
10.0,2501,795.85749
10.0,2501,800.390604
9.0,2501,805.179538
15.0,2501,811.138394
18.0,2501,824.715082
18.0,2501,829.391084
18.0,2501,834.051594
21.0,2501,840.153027
16.0,2501,844.685298
13.0,2501,849.258518
17.0,2501,853.874388
14.0,2501,858.539203
22.0,2501,864.45246
14.0,2501,869.144455
19.0,2501,873.740555
18.0,2501,878.3667
10.0,2501,884.359573
13.0,2501,889.004973
13.0,2501,893.618803
15.0,2501,898.186644
11.0,2501,903.036322
11.0,2501,909.02367
17.0,2501,913.581388
22.0,2501,918.205999
12.0,2501,922.857377
22.0,2501,928.790581
11.0,2501,933.553229
12.0,2501,938.18597
9.0,2501,942.801611
17.0,2501,947.452425
18.0,2501,953.440563
19.0,2501,958.060341
16.0,2501,962.556972
13.0,2501,967.358999
19.0,2501,973.362328
28.0,2501,977.983564
19.0,2501,982.586052
21.0,2501,987.18815
19.0,2501,991.826861
23.0,2501,997.930552
20.0,2501,1002.534907
22.0,2501,1007.124246
21.0,2501,1011.73135
27.0,2501,1017.701911
15.0,2501,1031.408173
22.0,2501,1036.129578
14.0,2501,1040.814195
25.0,2501,1045.503871
24.0,2501,1051.448171
27.0,2501,1056.105016
28.0,2501,1060.757544
13.0,2501,1065.591257
15.0,2501,1071.574803
22.0,2501,1076.170689
13.0,2501,1080.720341
25.0,2501,1085.317214
29.0,2501,1089.986063
23.0,2501,1096.126169
16.0,2501,1100.763497
12.0,2501,1105.392879
20.0,2501,1109.996604
26.0,2501,1114.652765
15.0,2501,1120.627832
24.0,2501,1125.234316
16.0,2501,1130.040032
13.0,2501,1134.60078
26.0,2501,1140.542687
28.0,2501,1145.107697
31.0,2501,1149.634177
28.0,2501,1154.251961
21.0,2501,1158.991697
20.0,2501,1165.270227
21.0,2501,1169.897386
23.0,2501,1174.441533
27.0,2501,1179.08298
30.0,2501,1185.012623
20.0,2501,1189.643411
23.0,2501,1194.382509
23.0,2501,1198.912404
23.0,2501,1203.584411
11.0,2501,1209.579076
30.0,2501,1214.149177
24.0,2501,1218.735425
28.0,2501,1223.362964
31.0,2501,1238.670502
27.0,2501,1243.246671
24.0,2501,1247.818399
32.0,2501,1252.45242
25.0,2501,1257.187932
22.0,2501,1263.423199
27.0,2501,1268.016112
22.0,2501,1272.69104
17.0,2501,1277.335259
26.0,2501,1283.298238
18.0,2501,1287.931182
28.0,2501,1292.711413
22.0,2501,1297.310276
23.0,2501,1301.970914
22.0,2501,1307.986212
23.0,2501,1312.604328
31.0,2501,1317.199
31.0,2501,1321.884591
28.0,2501,1328.039069
29.0,2501,1332.709404
26.0,2501,1337.362097
27.0,2501,1342.020856
33.0,2501,1346.688129
28.0,2501,1352.644429
23.0,2501,1357.413714
30.0,2501,1362.107471
26.0,2501,1366.807784
35.0,2501,1372.758084
34.0,2501,1377.364718
23.0,2501,1381.985982
27.0,2501,1386.648904
22.0,2501,1391.477656
21.0,2501,1397.492296
38.0,2501,1402.123265
24.0,2501,1406.753291
27.0,2501,1411.396949
27.0,2501,1417.353008
29.0,2501,1422.000325
29.0,2501,1426.712464
30.0,2501,1431.285683
28.0,2501,1445.080339
21.0,2501,1451.075516
31.0,2501,1455.890426
28.0,2501,1460.544923
25.0,2501,1465.174197
26.0,2501,1471.176168
31.0,2501,1475.797896
32.0,2501,1480.413646
31.0,2501,1485.050333
30.0,2501,1489.861275
27.0,2501,1495.834945
31.0,2501,1500.439715
19.0,2501,1505.087548
28.0,2501,1509.756819
29.0,2501,1515.725911
22.0,2501,1520.512165
25.0,2501,1525.053338
29.0,2501,1529.617322
30.0,2501,1534.295233
23.0,2501,1540.22187
22.0,2501,1544.87072
21.0,2501,1549.462347
26.0,2501,1554.25919
33.0,2501,1560.203484
33.0,2501,1564.848277
29.0,2501,1569.453878
31.0,2501,1574.076928
30.0,2501,1578.729581
28.0,2501,1584.675102
25.0,2501,1589.458021
30.0,2501,1594.062786
32.0,2501,1598.608393
32.0,2501,1604.613554
25.0,2501,1609.230538
25.0,2501,1613.866195
31.0,2501,1618.69341
22.0,2501,1623.320569
29.0,2501,1629.285809
29.0,2501,1633.854741
22.0,2501,1638.534546
34.0,2501,1652.43019
28.0,2501,1658.377521
28.0,2501,1662.974994
26.0,2501,1667.586733
28.0,2501,1672.216145
28.0,2501,1676.856445
35.0,2501,1682.853301
31.0,2501,1687.662149
23.0,2501,1692.270773
35.0,2501,1696.898871
27.0,2501,1701.594882
19.0,2501,1707.604042
29.0,2501,1712.236767
28.0,2501,1717.030349
22.0,2501,1721.715741
35.0,2501,1727.706535
27.0,2501,1732.297517
29.0,2501,1736.9427
25.0,2501,1741.558955
42.0,2501,1746.262324
34.0,2501,1752.463887
36.0,2501,1757.087256
33.0,2501,1761.77529
30.0,2501,1766.349755
31.0,2501,1772.267833
33.0,2501,1776.905957
33.0,2501,1781.75374
27.0,2501,1786.404561
32.0,2501,1791.064396
34.0,2501,1797.054744
23.0,2501,1801.704078
28.0,2501,1806.326601
34.0,2501,1810.972006
34.0,2501,1817.147341
34.0,2501,1821.814034
36.0,2501,1826.404761
30.0,2501,1830.940696
29.0,2501,1835.591542
27.0,2501,1841.636567
27.0,2501,1846.268904
31.0,2501,1860.250427
23.0,2501,1864.945489
29.0,2501,1870.968281
32.0,2501,1875.524714
31.0,2501,1880.250064
22.0,2501,1884.919099
20.0,2501,1889.553484
30.0,2501,1895.550142
18.0,2501,1900.165653
17.0,2501,1904.755027
19.0,2501,1909.394239
24.0,2501,1915.507351
23.0,2501,1920.198689
31.0,2501,1924.793038
24.0,2501,1929.423618
27.0,2501,1934.114297
31.0,2501,1940.122917
26.0,2501,1944.85939
28.0,2501,1949.493717
28.0,2501,1954.125777
31.0,2501,1960.130116
31.0,2501,1964.734505
32.0,2501,1969.335312
22.0,2501,1973.934377
24.0,2501,1978.768586
29.0,2501,1984.711738
29.0,2501,1989.298312
32.0,2501,1993.879719
27.0,2501,1998.528057
24.0,2501,2004.501111
28.0,2501,2009.120493
22.0,2501,2013.877558
31.0,2501,2018.471454
27.0,2501,2023.140665
18.0,2501,2029.111965
27.0,2501,2033.693346
26.0,2501,2038.333999
16.0,2501,2043.093269
28.0,2501,2049.074362
27.0,2501,2053.670995
37.0,2501,2067.375352
25.0,2501,2072.054735
27.0,2501,2076.866064
28.0,2501,2082.854514
22.0,2501,2087.466271
26.0,2501,2092.028983
30.0,2501,2096.682914
24.0,2501,2102.663043
26.0,2501,2107.254513
25.0,2501,2111.967469
28.0,2501,2116.588516
28.0,2501,2121.220963
25.0,2501,2127.173536
33.0,2501,2131.754802
21.0,2501,2136.363766
20.0,2501,2141.177936
23.0,2501,2147.099751
22.0,2501,2151.706748
23.0,2501,2156.372216
25.0,2501,2160.976696
20.0,2501,2165.640512
25.0,2501,2171.59263
20.0,2501,2176.38853
19.0,2501,2181.009874
17.0,2501,2185.587324
29.0,2501,2191.578208
24.0,2501,2196.165789
23.0,2501,2200.806066
19.0,2501,2205.614728
21.0,2501,2210.246325
21.0,2501,2216.205523
23.0,2501,2220.842547
26.0,2501,2225.418422
31.0,2501,2230.036508
32.0,2501,2234.706831
27.0,2501,2240.989549
35.0,2501,2245.679101
30.0,2501,2250.1927
26.0,2501,2254.837869
19.0,2501,2260.852767
28.0,2501,2274.603134
25.0,2501,2279.340394
29.0,2501,2283.93172
32.0,2501,2288.58439
33.0,2501,2294.566279
27.0,2501,2299.154924
29.0,2501,2303.941013
30.0,2501,2308.616145
27.0,2501,2314.569423
25.0,2501,2319.202164
25.0,2501,2323.809447
22.0,2501,2328.429637
19.0,2501,2333.11569
20.0,2501,2339.253352
27.0,2501,2343.852113
33.0,2501,2348.457586
18.0,2501,2353.062853
23.0,2501,2359.091382
20.0,2501,2363.712029
30.0,2501,2368.33758
29.0,2501,2373.093933
24.0,2501,2377.787745
21.0,2501,2383.762026
28.0,2501,2388.331242
24.0,2501,2392.933727
23.0,2501,2397.567621
19.0,2501,2403.71234
22.0,2501,2408.268465
