#{"t_start": 1708578797.7094245, "env_id": "MinAtar/Freeway-v1"}
r,l,t
0.0,2501,4.510964
1.0,2501,9.017231
1.0,2501,13.491761
1.0,2501,18.092087
0.0,2501,23.890878
2.0,2501,28.334955
0.0,2501,32.836476
0.0,2501,37.377933
1.0,2501,41.918462
3.0,2501,47.796211
2.0,2501,52.185791
1.0,2501,56.608459
0.0,2501,61.116461
1.0,2501,66.827405
3.0,2501,71.352898
3.0,2501,75.863876
4.0,2501,80.517294
5.0,2501,85.053689
8.0,2501,90.811975
3.0,2501,95.304472
3.0,2501,99.792523
3.0,2501,104.28696
10.0,2501,110.094095
1.0,2501,114.744593
3.0,2501,119.193252
2.0,2501,123.689522
0.0,2501,128.216864
5.0,2501,133.990423
10.0,2501,138.491996
7.0,2501,142.961863
2.0,2501,147.622107
7.0,2501,153.445538
8.0,2501,157.938774
7.0,2501,162.45011
10.0,2501,166.963651
9.0,2501,171.456234
9.0,2501,177.464704
8.0,2501,181.989168
10.0,2501,186.463229
13.0,2501,199.981932
9.0,2501,205.990296
10.0,2501,210.684774
17.0,2501,215.180575
21.0,2501,219.670324
17.0,2501,224.095633
6.0,2501,229.871442
18.0,2501,234.360091
12.0,2501,238.838464
12.0,2501,243.516042
18.0,2501,249.342775
1.0,2501,253.840455
7.0,2501,258.290214
13.0,2501,262.803854
5.0,2501,267.323331
6.0,2501,273.027707
4.0,2501,277.696293
12.0,2501,282.131828
13.0,2501,286.714114
10.0,2501,292.612846
9.0,2501,297.111673
6.0,2501,301.645526
8.0,2501,306.16654
11.0,2501,310.90549
4.0,2501,316.698531
9.0,2501,321.19713
13.0,2501,325.67793
12.0,2501,330.093794
13.0,2501,335.857265
6.0,2501,340.497425
6.0,2501,345.072613
4.0,2501,349.571332
5.0,2501,354.065357
7.0,2501,359.83421
6.0,2501,364.305953
0.0,2501,368.832109
4.0,2501,373.593369
5.0,2501,379.353379
0.0,2501,383.857684
3.0,2501,388.30513
7.0,2501,401.696542
6.0,2501,406.429129
6.0,2501,412.149017
8.0,2501,416.677302
3.0,2501,421.192986
9.0,2501,425.702779
8.0,2501,431.564532
7.0,2501,436.033756
13.0,2501,440.678679
8.0,2501,445.193048
2.0,2501,449.714672
9.0,2501,455.46941
10.0,2501,459.948139
6.0,2501,464.469489
5.0,2501,468.982401
7.0,2501,474.824403
10.0,2501,479.305785
7.0,2501,483.827915
8.0,2501,488.308597
12.0,2501,492.790168
9.0,2501,498.557144
6.0,2501,503.012559
11.0,2501,507.614866
13.0,2501,512.115578
6.0,2501,517.897783
14.0,2501,522.384624
19.0,2501,526.858223
21.0,2501,531.334197
12.0,2501,535.767429
21.0,2501,541.69942
21.0,2501,546.188095
17.0,2501,550.679182
20.0,2501,555.09456
18.0,2501,559.613353
22.0,2501,565.418186
18.0,2501,570.063683
16.0,2501,574.546999
9.0,2501,579.019818
13.0,2501,584.894043
13.0,2501,589.492718
11.0,2501,603.156177
17.0,2501,607.742075
26.0,2501,612.346161
18.0,2501,618.126248
17.0,2501,622.612066
16.0,2501,627.114942
20.0,2501,631.632196
19.0,2501,637.553167
23.0,2501,642.025053
22.0,2501,646.525109
21.0,2501,651.029523
20.0,2501,655.542054
21.0,2501,661.334831
11.0,2501,665.834143
17.0,2501,670.510378
23.0,2501,675.023409
22.0,2501,680.770339
15.0,2501,685.265407
18.0,2501,689.763482
14.0,2501,694.238031
32.0,2501,698.759018
33.0,2501,704.803124
33.0,2501,709.276242
25.0,2501,713.72321
33.0,2501,718.237349
26.0,2501,724.034751
30.0,2501,728.596763
23.0,2501,733.227018
30.0,2501,737.749778
30.0,2501,742.262435
34.0,2501,748.041484
32.0,2501,752.526592
27.0,2501,757.063741
23.0,2501,761.58945
22.0,2501,767.555977
25.0,2501,772.057099
21.0,2501,776.646753
29.0,2501,781.151001
26.0,2501,785.642586
20.0,2501,791.445826
28.0,2501,805.20097
24.0,2501,809.813751
24.0,2501,814.320241
25.0,2501,820.095992
28.0,2501,824.60426
28.0,2501,829.10177
28.0,2501,833.742944
17.0,2501,838.280643
25.0,2501,844.033119
28.0,2501,848.567948
22.0,2501,853.043326
23.0,2501,857.564032
30.0,2501,863.540885
16.0,2501,868.102667
25.0,2501,872.597162
28.0,2501,877.085542
28.0,2501,881.59106
29.0,2501,887.498483
23.0,2501,891.954678
33.0,2501,896.615318
23.0,2501,901.11692
18.0,2501,906.906062
22.0,2501,911.388474
18.0,2501,915.881708
19.0,2501,920.360241
17.0,2501,924.854529
28.0,2501,930.755178
26.0,2501,935.26728
