#{"t_start": 1708305272.3897572, "env_id": "MinAtar/Freeway-v1"}
r,l,t
0.0,2501,4.608361
0.0,2501,9.040141
0.0,2501,14.135198
0.0,2501,18.52356
0.0,2501,23.595318
0.0,2501,28.000833
0.0,2501,33.037165
5.0,2501,37.581967
2.0,2501,42.196515
2.0,2501,47.332418
0.0,2501,51.849512
4.0,2501,57.017023
0.0,2501,61.473473
3.0,2501,66.582319
3.0,2501,71.096232
2.0,2501,76.148249
4.0,2501,80.56271
7.0,2501,85.018462
6.0,2501,90.001659
8.0,2501,94.394088
6.0,2501,99.36879
9.0,2501,103.705411
6.0,2501,108.791398
7.0,2501,113.173096
1.0,2501,118.229309
2.0,2501,122.639374
4.0,2501,127.01376
6.0,2501,132.0104
6.0,2501,136.41164
4.0,2501,141.400312
6.0,2501,145.752033
6.0,2501,150.658007
7.0,2501,154.923987
5.0,2501,159.807001
3.0,2501,164.083468
9.0,2501,168.34868
2.0,2501,173.202574
6.0,2501,177.526824
5.0,2501,182.404808
0.0,2501,186.725074
2.0,2501,191.651645
7.0,2501,195.933671
0.0,2501,200.823862
3.0,2501,205.159083
8.0,2501,209.487209
5.0,2501,214.397412
5.0,2501,218.799989
3.0,2501,223.806252
1.0,2501,228.258385
8.0,2501,233.245615
9.0,2501,237.715635
8.0,2501,242.774109
5.0,2501,247.187816
6.0,2501,251.613934
3.0,2501,256.668432
2.0,2501,261.098699
6.0,2501,266.078454
1.0,2501,270.521735
2.0,2501,275.567177
0.0,2501,280.042838
1.0,2501,284.486162
6.0,2501,289.505818
0.0,2501,293.896396
9.0,2501,298.958688
12.0,2501,303.39577
11.0,2501,308.48672
6.0,2501,312.945332
8.0,2501,317.94147
12.0,2501,322.40167
3.0,2501,326.804023
14.0,2501,331.911353
8.0,2501,336.434787
7.0,2501,341.486021
7.0,2501,345.860359
16.0,2501,350.911579
15.0,2501,355.3322
13.0,2501,360.399257
15.0,2501,364.762
18.0,2501,369.188147
23.0,2501,374.288255
16.0,2501,378.697543
13.0,2501,383.685332
11.0,2501,388.053396
14.0,2501,393.110909
16.0,2501,397.515357
11.0,2501,402.570137
14.0,2501,406.957262
16.0,2501,411.380626
18.0,2501,416.33665
10.0,2501,420.686095
20.0,2501,425.678807
10.0,2501,430.078531
8.0,2501,434.994802
13.0,2501,439.364625
7.0,2501,444.361809
9.0,2501,448.786574
3.0,2501,453.202487
16.0,2501,458.178866
17.0,2501,462.565643
25.0,2501,467.541827
13.0,2501,471.937779
15.0,2501,476.942306
15.0,2501,481.373002
12.0,2501,486.548829
19.0,2501,490.821363
16.0,2501,495.201679
19.0,2501,500.233056
18.0,2501,504.726578
5.0,2501,509.693009
16.0,2501,514.122174
17.0,2501,519.172683
17.0,2501,523.503962
16.0,2501,527.818524
20.0,2501,532.785167
12.0,2501,537.240337
13.0,2501,542.236445
18.0,2501,546.606738
15.0,2501,551.612669
20.0,2501,556.021625
21.0,2501,560.938171
24.0,2501,565.307264
19.0,2501,569.790816
15.0,2501,574.842129
19.0,2501,579.179124
28.0,2501,584.18456
21.0,2501,588.591707
18.0,2501,593.619425
31.0,2501,598.020905
26.0,2501,603.137599
23.0,2501,607.495051
29.0,2501,611.90058
26.0,2501,616.956298
26.0,2501,621.306443
23.0,2501,626.316506
21.0,2501,630.698753
28.0,2501,635.705288
25.0,2501,640.115338
20.0,2501,645.227983
11.0,2501,649.621497
23.0,2501,654.137643
26.0,2501,659.175962
23.0,2501,663.668142
25.0,2501,668.658284
25.0,2501,673.114056
20.0,2501,678.091092
26.0,2501,682.47073
11.0,2501,687.420348
24.0,2501,691.863774
36.0,2501,696.256639
22.0,2501,701.225721
15.0,2501,705.608072
22.0,2501,710.57416
27.0,2501,714.947288
28.0,2501,719.975015
20.0,2501,724.317095
27.0,2501,729.315667
32.0,2501,733.677021
31.0,2501,738.066745
29.0,2501,743.03369
33.0,2501,747.435831
25.0,2501,752.454609
24.0,2501,756.838001
29.0,2501,761.88519
29.0,2501,766.27348
29.0,2501,770.646237
32.0,2501,775.756901
23.0,2501,780.144548
30.0,2501,785.155205
15.0,2501,789.515784
27.0,2501,794.561228
29.0,2501,799.000741
22.0,2501,804.076516
31.0,2501,808.59579
26.0,2501,813.019222
27.0,2501,818.030138
25.0,2501,822.39518
33.0,2501,827.374166
28.0,2501,831.682472
11.0,2501,836.731322
34.0,2501,841.156789
29.0,2501,846.218683
33.0,2501,850.551024
25.0,2501,854.925041
26.0,2501,859.914049
29.0,2501,864.429105
28.0,2501,869.463089
28.0,2501,873.827582
25.0,2501,878.865721
21.0,2501,883.339435
32.0,2501,888.322735
30.0,2501,892.76192
22.0,2501,897.175066
24.0,2501,902.275012
16.0,2501,906.60801
22.0,2501,911.593428
29.0,2501,915.891212
30.0,2501,920.924108
27.0,2501,925.267073
25.0,2501,930.273969
28.0,2501,934.721632
30.0,2501,939.275416
29.0,2501,944.365458
35.0,2501,948.772142
34.0,2501,953.879587
27.0,2501,958.248779
30.0,2501,963.367732
