#{"t_start": 1708625760.9455452, "env_id": "MinAtar/Seaquest-v1"}
r,l,t
0.0,9,4.706514
0.0,19,4.70803
0.0,11,4.708927
0.0,2,4.709142
0.0,64,4.714599
0.0,9,4.715309
0.0,9,4.716018
0.0,23,4.717741
0.0,22,4.719645
2.0,207,4.735421
0.0,11,4.736284
0.0,21,4.737826
0.0,15,4.739193
0.0,23,4.740988
0.0,18,4.742303
0.0,64,4.747295
0.0,12,4.748444
3.0,138,4.759112
0.0,6,4.759586
0.0,25,4.761405
2.0,75,4.767283
0.0,25,4.76914
0.0,40,4.772133
0.0,13,4.773151
2.0,203,4.788952
0.0,79,4.794927
0.0,51,4.798723
0.0,8,4.799392
0.0,47,4.803195
0.0,10,4.804011
0.0,34,4.80691
0.0,30,4.80911
0.0,42,4.812581
0.0,27,4.814569
0.0,106,4.822532
0.0,3,4.822822
0.0,5,4.823563
0.0,2,4.823725
0.0,6,4.824242
0.0,5,4.824626
0.0,6,4.825388
0.0,16,4.826576
0.0,23,4.828237
0.0,25,4.830115
0.0,49,4.834078
0.0,12,4.834997
0.0,12,4.835914
0.0,13,4.836854
0.0,4,4.837487
0.0,7,4.838078
0.0,16,4.83928
0.0,52,4.843131
0.0,47,4.846863
0.0,18,4.848178
0.0,7,4.848724
0.0,40,4.851595
0.0,10,4.852543
0.0,42,4.855606
0.0,26,4.857414
0.0,23,4.85904
0.0,4,4.864159
0.0,9,4.864834
0.0,5,4.865259
0.0,25,4.86702
0.0,23,4.868953
0.0,18,4.870219
0.0,23,4.871868
0.0,15,4.872945
0.0,16,4.874295
0.0,45,4.877606
0.0,7,4.87814
0.0,10,4.878851
0.0,73,4.884377
0.0,38,4.887081
0.0,26,4.888907
0.0,9,4.889604
0.0,13,4.890722
0.0,4,4.891052
0.0,15,4.892176
0.0,8,4.892771
0.0,6,4.893409
0.0,22,4.895022
0.0,77,4.900648
0.0,5,4.901048
0.0,16,4.902379
0.0,15,4.903487
0.0,26,4.905702
0.0,8,4.906309
0.0,23,4.908232
0.0,5,4.908627
0.0,17,4.909884
0.0,28,4.911888
0.0,50,4.915779
0.0,34,4.918221
0.0,28,4.920217
1.0,61,4.924677
0.0,69,4.929997
0.0,10,4.930779
0.0,15,4.931815
0.0,56,4.935855
0.0,16,4.937295
0.0,51,4.940991
0.0,4,4.941319
0.0,23,4.942961
0.0,6,4.943723
0.0,24,4.94546
0.0,5,4.945904
0.0,18,4.947165
0.0,9,4.948109
0.0,2,4.948336
1.0,139,4.95857
0.0,8,4.9592
0.0,13,4.960486
0.0,5,4.960878
0.0,21,4.962412
0.0,23,4.964102
0.0,9,4.965036
0.0,15,4.966157
0.0,30,4.968376
0.0,76,4.973945
0.0,3,4.974425
0.0,7,4.975006
0.0,7,4.975611
0.0,37,4.978289
0.0,11,4.979417
0.0,8,4.980046
0.0,20,4.981483
1.0,68,4.986477
1.0,217,5.002843
0.0,5,5.00325
0.0,62,5.008252
0.0,43,5.011453
0.0,2,5.011892
0.0,207,5.027515
0.0,7,5.028072
0.0,5,5.028462
0.0,11,5.029574
1.0,66,5.03445
0.0,19,5.035841
0.0,16,5.036988
0.0,11,5.038072
0.0,10,5.038811
0.0,5,5.039186
0.0,21,5.040794
0.0,10,5.041767
0.0,9,5.042436
0.0,7,5.042988
0.0,26,5.044957
0.0,10,5.04591
0.0,35,5.048489
0.0,4,5.048815
0.0,29,5.050882
1.0,90,5.057809
0.0,38,5.060509
0.0,26,5.062391
0.0,8,5.06298
0.0,7,5.063717
1.0,158,5.076267
1.0,33,5.078606
0.0,7,5.079148
0.0,12,5.080306
0.0,6,5.080749
0.0,5,5.081175
0.0,9,5.081846
0.0,43,5.085199
0.0,11,5.085977
0.0,27,5.087914
0.0,46,5.091242
0.0,32,5.093809
0.0,3,5.09403
0.0,6,5.094527
0.0,6,5.094958
0.0,16,5.096338
0.0,4,5.096666
0.0,12,5.097552
0.0,59,5.101881
0.0,43,5.105296
0.0,11,5.106445
0.0,4,5.106777
0.0,11,5.107613
0.0,25,5.109665
1.0,73,5.114995
0.0,11,5.115845
0.0,13,5.116763
0.0,6,5.117404
0.0,14,5.118473
0.0,9,5.11913
0.0,13,5.120075
0.0,5,5.1207
0.0,7,5.121206
0.0,8,5.121817
0.0,11,5.122643
0.0,46,5.126222
0.0,11,5.127
0.0,62,5.13155
0.0,32,5.133862
0.0,9,5.134727
1.0,85,5.141394
0.0,11,5.142386
0.0,10,5.143293
0.0,5,5.14398
0.0,6,5.144507
0.0,44,5.148374
1.0,139,5.160555
0.0,7,5.161524
0.0,24,5.163689
2.0,210,5.189478
0.0,16,5.19146
0.0,163,5.212821
0.0,35,5.217114
0.0,3,5.217566
0.0,7,5.218367
0.0,22,5.2215
0.0,8,5.222527
0.0,191,5.246968
0.0,21,5.249533
1.0,80,5.259723
0.0,41,5.26467
0.0,74,5.273838
0.0,37,5.278319
0.0,4,5.279206
0.0,140,5.29706
0.0,11,5.298468
0.0,8,5.29948
0.0,49,5.305883
0.0,12,5.307731
0.0,50,5.313834
0.0,21,5.31647
0.0,6,5.317535
0.0,61,5.325104
0.0,29,5.328704
0.0,55,5.335368
0.0,58,5.343032
0.0,4,5.34359
0.0,26,5.346683
0.0,10,5.34799
0.0,2,5.348547
0.0,16,5.350549
0.0,12,5.35205
0.0,102,5.3648
0.0,26,5.368268
0.0,11,5.369676
0.0,73,5.378725
0.0,39,5.3835
0.0,10,5.38516
0.0,16,5.387154
1.0,51,5.393336
0.0,87,5.404363
0.0,61,5.412617
0.0,4,5.41317
0.0,11,5.41455
0.0,25,5.417565
0.0,13,5.419602
0.0,53,5.426065
0.0,78,5.435827
0.0,11,5.437219
0.0,12,5.439054
0.0,23,5.441914
1.0,116,5.456458
0.0,2,5.456712
0.0,7,5.45796
0.0,16,5.459956
0.0,38,5.464627
0.0,33,5.468604
0.0,30,5.472565
0.0,5,5.4733
0.0,67,5.481568
0.0,6,5.482399
0.0,18,5.484882
1.0,106,5.498242
0.0,9,5.499363
0.0,7,5.500273
0.0,18,5.502747
0.0,2,5.503111
0.0,4,5.503658
0.0,3,5.504104
0.0,2,5.504617
0.0,38,5.509714
0.0,5,5.51035
0.0,61,5.517854
0.0,8,5.519212
0.0,27,5.522561
0.0,19,5.524909
0.0,18,5.527017
0.0,9,5.528433
0.0,41,5.533593
0.0,32,5.537502
0.0,25,5.540512
0.0,9,5.541925
0.0,52,5.548332
0.0,41,5.553282
0.0,8,5.554296
0.0,3,5.555051
0.0,25,5.55813
0.0,41,5.563222
0.0,9,5.564324
0.0,36,5.569077
0.0,14,5.570738
0.0,4,5.571267
0.0,55,5.578048
0.0,85,5.589047
0.0,9,5.590266
0.0,84,5.600728
0.0,6,5.601459
2.0,177,5.624254
0.0,19,5.626601
0.0,18,5.628825
0.0,49,5.634831
0.0,198,5.654923
0.0,164,5.671949
0.0,17,5.673648
0.0,9,5.67453
0.0,14,5.676144
0.0,9,5.677011
0.0,5,5.677587
0.0,4,5.67809
0.0,3,5.678814
0.0,4,5.679358
0.0,6,5.679804
0.0,11,5.680612
1.0,104,5.688498
0.0,5,5.688879
0.0,7,5.689414
0.0,6,5.689833
0.0,7,5.690599
0.0,10,5.691366
0.0,17,5.692575
0.0,5,5.692951
0.0,10,5.693927
0.0,61,5.698282
0.0,15,5.699362
0.0,33,5.701679
0.0,6,5.702319
1.0,92,5.709344
0.0,93,5.716134
1.0,78,5.721741
0.0,4,5.722335
0.0,10,5.723114
0.0,11,5.723891
0.0,51,5.727565
0.0,14,5.728834
0.0,4,5.729161
0.0,42,5.73215
0.0,66,5.736923
0.0,100,5.744499
0.0,6,5.744937
0.0,63,5.74947
0.0,3,5.749739
0.0,11,5.750748
0.0,3,5.751023
0.0,15,5.752123
0.0,140,5.762447
0.0,26,5.764526
0.0,12,5.765425
0.0,65,5.770182
0.0,20,5.771603
0.0,27,5.773744
0.0,18,5.775079
0.0,45,5.778275
0.0,21,5.77977
0.0,7,5.780536
0.0,53,5.784337
0.0,47,5.787697
1.0,104,5.795272
0.0,13,5.796448
2.0,140,5.806605
0.0,19,5.807966
0.0,19,5.809662
0.0,16,5.811044
0.0,5,5.811435
0.0,8,5.812035
0.0,32,5.814288
1.0,188,5.828388
0.0,9,5.829056
0.0,98,5.836293
0.0,30,5.838392
0.0,7,5.839201
0.0,32,5.841545
0.0,113,5.853826
0.0,6,5.854422
0.0,18,5.856274
0.0,14,5.857318
0.0,6,5.857741
0.0,20,5.859145
0.0,7,5.859929
0.0,15,5.861022
0.0,4,5.861343
0.0,37,5.863969
0.0,16,5.865335
0.0,7,5.865882
0.0,23,5.867529
0.0,34,5.869929
0.0,4,5.870449
1.0,158,5.882185
0.0,7,5.882678
0.0,36,5.885237
0.0,15,5.886553
0.0,9,5.887206
0.0,14,5.888245
0.0,6,5.88868
0.0,33,5.891296
0.0,7,5.891801
0.0,66,5.896637
0.0,4,5.896962
0.0,9,5.897818
0.0,27,5.899748
0.0,67,5.904559
0.0,13,5.905482
0.0,5,5.906069
0.0,6,5.906559
0.0,108,5.915277
0.0,21,5.916786
0.0,30,5.91913
0.0,20,5.920544
0.0,13,5.921519
0.0,19,5.922823
0.0,90,5.929684
0.0,24,5.931422
0.0,3,5.931684
0.0,4,5.931996
0.0,28,5.934205
0.0,41,5.937094
0.0,33,5.939428
0.0,20,5.940893
0.0,4,5.941426
0.0,11,5.942264
0.0,5,5.942632
0.0,86,5.948815
0.0,19,5.95034
0.0,7,5.950877
0.0,76,5.956359
0.0,10,5.957113
2.0,111,5.965337
0.0,19,5.966697
0.0,43,5.969795
0.0,12,5.970665
0.0,9,5.971601
0.0,19,5.972971
0.0,7,5.973505
0.0,10,5.974217
0.0,5,5.974856
0.0,21,5.976402
0.0,6,5.976846
0.0,8,5.977441
0.0,2,5.977844
0.0,91,5.984441
0.0,7,5.984985
0.0,55,5.988928
0.0,9,5.989834
0.0,34,5.992276
0.0,55,5.996163
0.0,18,5.997461
0.0,13,5.998621
1.0,151,6.009589
1.0,93,6.016781
0.0,5,6.017166
0.0,5,6.017869
0.0,26,6.019699
0.0,7,6.020254
0.0,6,6.020691
0.0,24,6.02265
1.0,57,6.026761
0.0,20,6.028213
0.0,4,6.028546
0.0,12,6.029664
0.0,11,6.030441
1.0,132,6.040166
0.0,16,6.041375
0.0,6,6.042138
0.0,21,6.043652
0.0,129,6.053179
0.0,6,6.053669
0.0,20,6.055361
0.0,28,6.057328
0.0,22,6.058869
0.0,18,6.06018
0.0,33,6.062776
0.0,60,6.067085
0.0,12,6.068712
0.0,13,6.069646
0.0,13,6.070861
0.0,20,6.072283
0.0,24,6.073964
0.0,75,6.079499
0.0,38,6.08274
0.0,57,6.087041
0.0,13,6.088105
0.0,15,6.089252
0.0,21,6.091243
0.0,14,6.092344
0.0,24,6.094104
0.0,5,6.094512
0.0,24,6.096811
1.0,73,6.102306
0.0,45,6.105796
0.0,13,6.106823
0.0,32,6.109699
0.0,9,6.110402
0.0,30,6.113177
0.0,93,6.120832
0.0,8,6.122419
0.0,43,6.126584
0.0,25,6.129004
0.0,7,6.129748
0.0,6,6.130982
0.0,29,6.133533
0.0,27,6.135916
0.0,5,6.136367
0.0,49,6.141386
0.0,12,6.142499
0.0,9,6.143307
0.0,26,6.145561
0.0,23,6.147732
0.0,23,6.149419
0.0,7,6.149967
0.0,8,6.150568
0.0,16,6.152624
0.0,23,6.154608
0.0,80,6.16201
0.0,8,6.162821
0.0,4,6.163915
0.0,15,6.165324
0.0,19,6.167023
0.0,5,6.167511
0.0,11,6.169191
1.0,96,6.178242
0.0,13,6.179487
0.0,28,6.181982
0.0,64,6.187329
0.0,32,6.189692
0.0,14,6.190768
0.0,24,6.192528
0.0,25,6.194752
0.0,58,6.198933
0.0,23,6.200642
0.0,11,6.201487
2.0,143,6.212873
0.0,4,6.21328
0.0,3,6.213507
0.0,19,6.214901
0.0,4,6.215653
0.0,5,6.216055
0.0,8,6.216665
0.0,51,6.220417
0.0,19,6.222269
0.0,2,6.222442
0.0,23,6.224157
0.0,110,6.232481
0.0,14,6.233945
0.0,16,6.235113
0.0,65,6.239955
0.0,49,6.243714
0.0,7,6.244636
0.0,17,6.245916
0.0,15,6.246963
0.0,7,6.247518
0.0,20,6.249346
0.0,10,6.250129
0.0,28,6.252143
0.0,40,6.255079
0.0,17,6.256761
2.0,105,6.264394
0.0,37,6.267081
0.0,42,6.270279
1.0,34,6.273255
0.0,4,6.273621
0.0,5,6.274053
1.0,144,6.284687
0.0,16,6.286364
0.0,18,6.287706
0.0,6,6.288206
0.0,8,6.288806
1.0,61,6.293631
1.0,39,6.296491
0.0,7,6.297037
0.0,7,6.297586
0.0,9,6.298664
0.0,13,6.299667
0.0,4,6.299991
0.0,8,6.300594
0.0,8,6.301575
0.0,16,6.302757
0.0,8,6.303375
1.0,114,6.312032
0.0,12,6.313791
0.0,8,6.314432
0.0,42,6.317492
0.0,19,6.318844
0.0,20,6.320711
1.0,35,6.323306
0.0,20,6.324795
0.0,48,6.328294
0.0,20,6.330198
0.0,13,6.331178
0.0,15,6.332307
1.0,141,6.342891
0.0,15,6.344569
0.0,13,6.345623
0.0,7,6.346206
0.0,12,6.347111
0.0,5,6.348047
0.0,20,6.349577
1.0,97,6.356925
0.0,47,6.36038
0.0,9,6.361567
0.0,16,6.362768
0.0,34,6.365276
0.0,12,6.366184
0.0,22,6.36826
0.0,74,6.373786
0.0,92,6.380588
1.0,63,6.385354
0.0,46,6.389522
0.0,18,6.3912
0.0,4,6.391632
0.0,20,6.393383
0.0,18,6.395552
0.0,8,6.396336
0.0,26,6.398809
0.0,49,6.403525
0.0,9,6.404947
0.0,10,6.406177
0.0,5,6.406794
0.0,17,6.40854
1.0,152,6.433466
0.0,20,6.436904
0.0,31,6.442106
0.0,20,6.445755
0.0,28,6.451512
0.0,9,6.452266
0.0,43,6.459087
0.0,2,6.459541
0.0,27,6.464389
0.0,27,6.468447
0.0,14,6.470923
0.0,28,6.475047
0.0,7,6.476811
0.0,4,6.477569
0.0,37,6.483223
0.0,51,6.489865
0.0,22,6.493132
0.0,8,6.493979
0.0,33,6.497119
0.0,11,6.498183
0.0,7,6.499578
0.0,2,6.499779
0.0,61,6.505243
0.0,5,6.505814
0.0,19,6.508154
0.0,8,6.508913
0.0,12,6.510004
1.0,61,6.517354
0.0,19,6.520619
0.0,34,6.525511
0.0,12,6.527326
0.0,32,6.531844
0.0,23,6.535547
0.0,21,6.538329
0.0,10,6.539785
0.0,25,6.543204
0.0,88,6.555021
0.0,74,6.560728
0.0,12,6.561697
2.0,202,6.577261
0.0,33,6.580473
0.0,46,6.58462
0.0,38,6.588167
0.0,72,6.595143
0.0,12,6.597144
0.0,84,6.605444
0.0,64,6.610385
2.0,153,6.623169
0.0,15,6.624831
0.0,7,6.6254
1.0,107,6.633447
0.0,11,6.634328
1.0,87,6.641601
0.0,3,6.641933
0.0,22,6.643546
0.0,38,6.646349
0.0,38,6.649572
0.0,17,6.650818
0.0,28,6.652894
0.0,5,6.653345
0.0,81,6.659839
0.0,6,6.660331
0.0,30,6.662475
0.0,16,6.663647
0.0,55,6.668062
0.0,5,6.66847
0.0,4,6.668789
0.0,9,6.669439
0.0,12,6.670681
0.0,21,6.672325
0.0,7,6.672878
0.0,14,6.674076
0.0,11,6.675622
0.0,4,6.676023
0.0,55,6.68103
0.0,8,6.681794
0.0,42,6.686127
0.0,8,6.686869
0.0,4,6.68726
0.0,3,6.687544
0.0,17,6.68958
0.0,13,6.690733
0.0,66,6.69666
0.0,27,6.699174
0.0,10,6.700719
0.0,15,6.701785
0.0,53,6.70985
0.0,15,6.711053
0.0,8,6.712405
0.0,10,6.713674
0.0,4,6.714181
0.0,16,6.716765
1.0,82,6.723423
0.0,19,6.724885
0.0,6,6.725433
