#{"t_start": 1708650299.1082132, "env_id": "MinAtar/Seaquest-v1"}
r,l,t
0.0,5,0.099466
0.0,5,0.101673
0.0,9,0.161005
0.0,19,0.162661
0.0,11,0.163655
0.0,2,0.163896
0.0,64,0.16996
0.0,9,0.170644
0.0,9,0.171304
0.0,23,0.172986
0.0,22,0.174753
2.0,207,0.194559
0.0,11,0.195647
0.0,21,0.197638
0.0,15,0.199688
0.0,23,0.202158
0.0,18,0.20383
0.0,64,0.210011
0.0,12,0.211827
3.0,138,0.225764
0.0,6,0.226371
0.0,25,0.228711
2.0,75,0.236575
0.0,25,0.238961
0.0,40,0.24276
0.0,13,0.244068
2.0,203,0.264775
0.0,79,0.272434
0.0,51,0.277319
0.0,8,0.278107
0.0,47,0.283038
0.0,10,0.283999
0.0,34,0.287233
0.0,30,0.290087
0.0,42,0.294694
0.0,27,0.297183
0.0,106,0.30747
0.0,3,0.307841
0.0,5,0.308825
0.0,2,0.309029
0.0,6,0.309684
0.0,5,0.310176
0.0,6,0.311197
0.0,16,0.312793
0.0,23,0.314986
0.0,25,0.31743
0.0,49,0.322535
0.0,12,0.323699
0.0,12,0.324879
0.0,13,0.326102
0.0,4,0.326913
0.0,7,0.327668
0.0,16,0.329204
0.0,52,0.33413
0.0,47,0.339011
0.0,18,0.340717
0.0,7,0.341436
0.0,40,0.345201
0.0,10,0.346518
0.0,42,0.35056
0.0,26,0.352986
0.0,23,0.355154
0.0,4,0.355893
0.0,9,0.356778
0.0,5,0.357257
0.0,25,0.35904
0.0,23,0.361845
0.0,18,0.363167
0.0,23,0.364848
0.0,15,0.365935
0.0,16,0.367392
0.0,45,0.37061
0.0,7,0.371152
0.0,10,0.371865
0.0,73,0.377535
0.0,38,0.380314
0.0,26,0.382164
0.0,9,0.382876
0.0,13,0.384504
0.0,4,0.38496
0.0,15,0.386393
0.0,8,0.387168
0.0,6,0.388123
0.0,22,0.390272
0.0,77,0.397692
0.0,5,0.39821
0.0,16,0.400183
0.0,15,0.401655
0.0,26,0.404061
0.0,8,0.404905
0.0,23,0.407537
0.0,5,0.408041
0.0,17,0.409689
0.0,28,0.412332
0.0,50,0.417525
0.0,34,0.42083
0.0,28,0.423508
1.0,61,0.429405
0.0,69,0.436506
0.0,10,0.437551
0.0,15,0.438917
0.0,56,0.444326
0.0,16,0.446395
0.0,51,0.451273
0.0,4,0.451706
0.0,23,0.45389
