#{"t_start": 1708703878.9914086, "env_id": "MinAtar/Seaquest-v1"}
r,l,t
0.0,9,0.042874
0.0,19,0.044516
0.0,11,0.045529
0.0,2,0.045772
0.0,64,0.051729
0.0,9,0.052716
0.0,9,0.053663
0.0,23,0.056042
0.0,22,0.058268
2.0,207,0.07776
0.0,11,0.078592
0.0,21,0.080704
0.0,15,0.083592
0.0,23,0.085655
0.0,18,0.086935
0.0,64,0.091678
0.0,12,0.092763
3.0,138,0.105916
0.0,6,0.106384
0.0,25,0.108185
2.0,75,0.113929
0.0,25,0.115745
0.0,40,0.118654
0.0,13,0.119972
2.0,203,0.142991
0.0,79,0.152449
0.0,51,0.158422
0.0,8,0.159364
0.0,47,0.165566
0.0,10,0.166706
0.0,34,0.170577
0.0,30,0.17471
0.0,42,0.180407
0.0,27,0.183495
0.0,106,0.193606
0.0,3,0.193876
0.0,5,0.194453
0.0,2,0.194604
0.0,6,0.195116
0.0,5,0.195495
0.0,6,0.196491
0.0,16,0.198374
0.0,23,0.200957
0.0,25,0.203454
0.0,49,0.209425
0.0,12,0.210675
0.0,12,0.212081
0.0,13,0.213567
0.0,4,0.214314
0.0,7,0.215206
0.0,16,0.21705
0.0,52,0.222522
0.0,47,0.226195
0.0,18,0.227491
0.0,7,0.228039
0.0,40,0.230948
0.0,10,0.231875
0.0,42,0.234951
0.0,26,0.23684
0.0,23,0.238521
0.0,4,0.239041
0.0,9,0.239726
0.0,5,0.240155
0.0,25,0.24195
0.0,23,0.244168
0.0,18,0.245472
0.0,23,0.247174
0.0,15,0.248248
0.0,16,0.249858
0.0,45,0.253139
0.0,7,0.253692
0.0,10,0.254425
0.0,73,0.259932
0.0,38,0.263252
0.0,26,0.267251
0.0,9,0.268399
0.0,13,0.269896
0.0,4,0.270231
0.0,15,0.271613
0.0,8,0.27251
0.0,6,0.273324
0.0,22,0.275143
0.0,77,0.284765
0.0,5,0.285644
0.0,16,0.287842
0.0,15,0.288993
0.0,26,0.291027
0.0,8,0.291621
0.0,23,0.293527
0.0,5,0.293905
0.0,17,0.295143
0.0,28,0.29715
0.0,50,0.300987
0.0,34,0.304672
0.0,28,0.30881
1.0,61,0.313503
0.0,69,0.318758
0.0,10,0.319551
0.0,15,0.320619
0.0,56,0.326638
0.0,16,0.328325
0.0,51,0.33259
0.0,4,0.332917
0.0,23,0.334675
0.0,6,0.335317
0.0,24,0.337487
0.0,5,0.337939
0.0,18,0.339239
0.0,9,0.340412
0.0,2,0.340852
1.0,139,0.358079
0.0,8,0.358691
0.0,13,0.359867
0.0,5,0.360253
0.0,21,0.361789
0.0,23,0.364457
0.0,9,0.365673
0.0,15,0.366798
0.0,30,0.369017
0.0,76,0.374617
0.0,3,0.375024
0.0,7,0.375602
0.0,7,0.376176
0.0,37,0.37889
0.0,11,0.379937
0.0,8,0.380544
0.0,20,0.381997
1.0,68,0.388583
1.0,217,0.406672
0.0,5,0.407079
0.0,62,0.411672
0.0,43,0.414851
0.0,2,0.415191
0.0,207,0.432421
0.0,7,0.432979
0.0,5,0.433377
0.0,11,0.434429
1.0,66,0.439326
0.0,19,0.440743
0.0,16,0.441921
0.0,11,0.442985
0.0,10,0.444009
0.0,5,0.444388
0.0,21,0.445992
0.0,10,0.446949
0.0,9,0.447647
0.0,7,0.448226
0.0,26,0.450214
0.0,10,0.451157
0.0,35,0.453751
0.0,4,0.454092
0.0,29,0.45621
1.0,90,0.463187
0.0,38,0.46593
0.0,26,0.467833
0.0,8,0.46844
0.0,7,0.469145
1.0,158,0.481086
1.0,33,0.483615
0.0,7,0.484176
0.0,12,0.485284
0.0,6,0.485744
0.0,5,0.486187
0.0,9,0.486875
0.0,43,0.490264
0.0,11,0.491064
0.0,27,0.493042
0.0,46,0.496493
0.0,32,0.499058
0.0,3,0.49928
0.0,6,0.499797
0.0,6,0.50024
0.0,16,0.501643
0.0,4,0.501982
0.0,12,0.502892
0.0,59,0.507253
0.0,43,0.513178
0.0,11,0.514154
0.0,4,0.514488
0.0,11,0.515288
0.0,25,0.517379
1.0,73,0.52282
0.0,11,0.523674
0.0,13,0.524618
0.0,6,0.525261
0.0,14,0.526344
0.0,9,0.527007
0.0,13,0.52796
0.0,5,0.528573
0.0,7,0.529072
0.0,8,0.529689
0.0,11,0.530521
0.0,46,0.534155
0.0,11,0.534959
0.0,62,0.53957
0.0,32,0.541916
0.0,9,0.542802
1.0,85,0.549369
0.0,11,0.550244
0.0,10,0.551032
0.0,5,0.551629
0.0,6,0.552072
0.0,44,0.555274
1.0,139,0.565539
0.0,7,0.566301
0.0,24,0.568057
2.0,210,0.584598
0.0,16,0.58581
0.0,163,0.598321
0.0,35,0.600893
0.0,3,0.601161
0.0,7,0.601656
0.0,22,0.603508
0.0,8,0.604113
0.0,191,0.6186
0.0,21,0.620161
1.0,80,0.62629
0.0,41,0.62924
0.0,74,0.634821
0.0,37,0.637504
0.0,4,0.638042
0.0,140,0.649091
0.0,11,0.649982
0.0,8,0.650604
0.0,49,0.654441
0.0,12,0.655335
0.0,50,0.658967
0.0,21,0.660504
0.0,6,0.66114
0.0,61,0.66567
0.0,29,0.667816
0.0,55,0.671796
0.0,58,0.676316
0.0,4,0.676646
0.0,26,0.67849
0.0,10,0.679267
0.0,2,0.679602
0.0,16,0.680817
0.0,12,0.681736
0.0,102,0.690947
0.0,26,0.693008
0.0,11,0.693852
0.0,73,0.699259
0.0,39,0.702057
0.0,10,0.703062
0.0,16,0.704269
1.0,51,0.707982
0.0,87,0.714555
0.0,61,0.719292
0.0,4,0.719638
0.0,11,0.720461
0.0,25,0.722276
0.0,13,0.723514
0.0,53,0.73011
0.0,78,0.735949
0.0,11,0.736803
0.0,12,0.737906
0.0,23,0.739599
1.0,116,0.752311
0.0,2,0.752553
0.0,7,0.753623
0.0,16,0.754809
0.0,38,0.757895
0.0,33,0.760615
0.0,30,0.763263
0.0,5,0.76371
0.0,67,0.771565
0.0,6,0.772089
0.0,18,0.774021
1.0,106,0.785769
0.0,9,0.787174
0.0,7,0.787963
0.0,18,0.789465
0.0,2,0.789688
0.0,4,0.790021
0.0,3,0.790291
0.0,2,0.790619
0.0,38,0.793426
0.0,5,0.793828
0.0,61,0.798306
0.0,8,0.799116
0.0,27,0.801096
0.0,19,0.802513
0.0,18,0.803822
0.0,9,0.804692
0.0,41,0.809764
0.0,32,0.812086
0.0,25,0.813898
0.0,9,0.814787
0.0,52,0.818623
0.0,41,0.821631
0.0,8,0.822254
0.0,3,0.822722
0.0,25,0.824564
0.0,41,0.829619
0.0,9,0.830302
0.0,36,0.833685
0.0,14,0.834692
0.0,4,0.835021
0.0,55,0.839775
0.0,85,0.851221
0.0,9,0.852387
0.0,84,0.860409
0.0,6,0.86103
2.0,177,0.879011
0.0,19,0.881231
0.0,18,0.883353
0.0,49,0.8887
0.0,198,0.905758
0.0,164,0.918154
0.0,17,0.91945
0.0,9,0.920134
0.0,14,0.921544
0.0,9,0.922264
0.0,5,0.922647
0.0,4,0.922962
0.0,3,0.923434
0.0,4,0.923776
0.0,6,0.92423
0.0,11,0.925051
1.0,104,0.93313
0.0,5,0.933532
0.0,7,0.934081
0.0,6,0.934517
0.0,7,0.935283
0.0,10,0.936071
0.0,17,0.93728
0.0,5,0.937682
0.0,10,0.938684
0.0,61,0.943188
0.0,15,0.944274
0.0,33,0.94729
0.0,6,0.94794
1.0,92,0.954927
0.0,93,0.961894
1.0,78,0.967652
0.0,4,0.968183
0.0,10,0.968966
0.0,11,0.969735
0.0,51,0.973466
0.0,14,0.97473
0.0,4,0.975057
0.0,42,0.978069
0.0,66,0.982979
0.0,100,0.99219
0.0,6,0.992642
0.0,63,0.997283
0.0,3,0.997567
0.0,11,0.998554
0.0,3,0.998836
0.0,15,0.999966
0.0,140,1.010474
0.0,26,1.013315
0.0,12,1.015317
0.0,65,1.022352
0.0,20,1.023835
0.0,27,1.025951
0.0,18,1.02732
0.0,45,1.030621
0.0,21,1.032114
0.0,7,1.032896
0.0,53,1.036853
0.0,47,1.040314
1.0,104,1.048475
0.0,13,1.049698
2.0,140,1.060174
0.0,19,1.061614
0.0,19,1.06305
0.0,16,1.064446
0.0,5,1.064823
0.0,8,1.065422
0.0,32,1.067849
1.0,188,1.082278
0.0,9,1.082964
0.0,98,1.091832
0.0,30,1.093985
0.0,7,1.094771
0.0,32,1.097139
0.0,113,1.105685
0.0,6,1.106205
0.0,18,1.107672
0.0,14,1.108745
0.0,6,1.109181
0.0,20,1.110641
0.0,7,1.111404
0.0,15,1.112497
0.0,4,1.112815
0.0,37,1.115438
0.0,16,1.116795
0.0,7,1.117341
0.0,23,1.118986
0.0,34,1.121383
0.0,4,1.121904
1.0,158,1.133668
0.0,7,1.134167
0.0,36,1.136744
0.0,15,1.138061
0.0,9,1.138724
0.0,14,1.139805
0.0,6,1.140249
0.0,33,1.142904
0.0,7,1.143403
0.0,66,1.148589
0.0,4,1.148915
0.0,9,1.149776
0.0,27,1.151711
0.0,67,1.156557
0.0,13,1.157494
0.0,5,1.158059
0.0,6,1.158554
0.0,108,1.166598
0.0,21,1.16815
0.0,30,1.170449
0.0,20,1.171851
0.0,13,1.172841
0.0,19,1.174162
0.0,90,1.181684
0.0,24,1.185517
0.0,3,1.186072
0.0,4,1.186733
0.0,28,1.19144
0.0,41,1.195064
0.0,33,1.197401
0.0,20,1.198828
0.0,4,1.199342
0.0,11,1.20018
0.0,5,1.200553
0.0,86,1.207798
0.0,19,1.20957
0.0,7,1.210122
0.0,76,1.215641
0.0,10,1.216398
2.0,111,1.224675
0.0,19,1.226286
0.0,43,1.229412
0.0,12,1.230301
0.0,9,1.231159
0.0,19,1.232531
0.0,7,1.233068
0.0,10,1.233797
0.0,5,1.234365
0.0,21,1.235901
0.0,6,1.236349
0.0,8,1.236947
0.0,2,1.237329
0.0,91,1.243964
0.0,7,1.244515
0.0,55,1.24903
0.0,9,1.24994
0.0,34,1.252402
0.0,55,1.25634
0.0,18,1.257679
0.0,13,1.258812
1.0,151,1.270774
1.0,93,1.27762
0.0,5,1.278002
0.0,5,1.278655
0.0,26,1.280488
0.0,7,1.281032
0.0,6,1.281479
0.0,24,1.283402
1.0,57,1.287533
0.0,20,1.288959
0.0,4,1.289282
0.0,12,1.290398
0.0,11,1.29118
1.0,132,1.300974
0.0,16,1.30215
0.0,6,1.302855
0.0,21,1.304353
0.0,129,1.313934
0.0,6,1.314431
0.0,20,1.316095
0.0,28,1.318117
0.0,22,1.31968
0.0,18,1.321001
0.0,33,1.323582
0.0,60,1.327974
0.0,12,1.328847
0.0,13,1.329785
0.0,13,1.330992
0.0,20,1.332433
0.0,24,1.334161
0.0,75,1.339632
0.0,38,1.342688
0.0,57,1.346833
0.0,13,1.348097
0.0,15,1.349187
0.0,21,1.350923
0.0,14,1.351965
0.0,24,1.353665
0.0,5,1.354044
0.0,24,1.355995
1.0,73,1.361481
0.0,45,1.364779
0.0,13,1.365744
0.0,32,1.368325
0.0,9,1.368984
0.0,30,1.371134
0.0,93,1.377883
0.0,8,1.378719
0.0,43,1.381817
0.0,25,1.383584
0.0,7,1.384125
0.0,6,1.384775
0.0,29,1.386826
0.0,27,1.388989
0.0,5,1.389363
0.0,49,1.393147
0.0,12,1.394034
0.0,9,1.394707
0.0,26,1.396515
0.0,23,1.398392
0.0,23,1.400031
0.0,7,1.400562
0.0,8,1.401153
0.0,16,1.402514
0.0,23,1.404128
0.0,80,1.409914
0.0,8,1.410508
0.0,4,1.411035
0.0,15,1.412141
0.0,19,1.413521
0.0,5,1.413907
0.0,11,1.414948
1.0,96,1.421977
0.0,13,1.422903
0.0,28,1.424865
0.0,64,1.429716
0.0,32,1.431987
0.0,14,1.43302
0.0,24,1.434731
0.0,25,1.436715
0.0,58,1.440777
0.0,23,1.442446
0.0,11,1.443253
2.0,143,1.454156
0.0,4,1.454497
0.0,3,1.45471
0.0,19,1.456081
0.0,4,1.456642
0.0,5,1.457041
0.0,8,1.457649
0.0,51,1.461351
0.0,19,1.463
0.0,2,1.463154
0.0,23,1.464832
0.0,110,1.473105
0.0,14,1.474394
0.0,16,1.475547
0.0,65,1.480249
0.0,49,1.483838
0.0,7,1.484585
0.0,17,1.485862
0.0,15,1.486904
0.0,7,1.487439
0.0,20,1.489297
0.0,10,1.49007
0.0,28,1.492079
0.0,40,1.494944
0.0,17,1.496392
2.0,105,1.50398
0.0,37,1.506635
0.0,42,1.509705
1.0,34,1.512399
0.0,4,1.512719
0.0,5,1.513149
1.0,144,1.524096
0.0,16,1.525584
0.0,18,1.526869
0.0,6,1.527353
0.0,8,1.527946
1.0,61,1.532601
1.0,39,1.535408
0.0,7,1.5359
0.0,7,1.536437
0.0,9,1.537334
0.0,13,1.538333
0.0,4,1.538653
0.0,8,1.539253
0.0,8,1.540066
0.0,16,1.541242
0.0,8,1.541852
1.0,114,1.550606
0.0,12,1.551715
0.0,8,1.552335
0.0,42,1.555369
0.0,19,1.556739
0.0,20,1.558416
1.0,35,1.560979
0.0,20,1.562531
0.0,48,1.566001
0.0,20,1.567659
0.0,13,1.568638
0.0,15,1.569747
1.0,141,1.580119
0.0,15,1.581499
0.0,13,1.582436
0.0,7,1.582983
0.0,12,1.583857
0.0,5,1.58447
0.0,20,1.585916
1.0,97,1.593956
0.0,47,1.597268
0.0,9,1.598232
0.0,16,1.599386
0.0,34,1.601804
0.0,12,1.602671
0.0,22,1.604514
0.0,74,1.609882
0.0,92,1.616532
1.0,63,1.621075
0.0,46,1.624624
0.0,18,1.625937
0.0,4,1.626257
0.0,20,1.62767
0.0,18,1.629173
0.0,8,1.629775
0.0,26,1.631654
0.0,49,1.635139
0.0,9,1.636022
0.0,10,1.636788
0.0,5,1.637166
0.0,17,1.638377
1.0,152,1.65014
0.0,20,1.651572
0.0,31,1.6538
0.0,20,1.655223
0.0,28,1.657466
0.0,9,1.658134
0.0,43,1.661209
0.0,2,1.661413
0.0,27,1.663528
0.0,27,1.665478
0.0,14,1.666533
0.0,28,1.668571
0.0,7,1.669279
0.0,4,1.669616
0.0,37,1.672275
0.0,51,1.675886
0.0,22,1.677706
0.0,8,1.678304
0.0,33,1.680625
0.0,11,1.681435
0.0,7,1.682187
0.0,2,1.682343
0.0,61,1.686708
0.0,5,1.687144
0.0,19,1.688724
0.0,8,1.689501
0.0,12,1.690381
1.0,61,1.694816
0.0,19,1.696355
0.0,34,1.698819
0.0,12,1.699698
0.0,32,1.701969
0.0,23,1.703843
0.0,21,1.705327
0.0,10,1.706043
0.0,25,1.707834
0.0,88,1.714554
0.0,74,1.719888
0.0,12,1.720768
2.0,202,1.735685
0.0,33,1.738325
0.0,46,1.741623
0.0,38,1.744364
0.0,72,1.749978
0.0,12,1.75114
0.0,84,1.757309
0.0,64,1.762018
2.0,153,1.773439
0.0,15,1.774817
0.0,7,1.775355
1.0,107,1.783189
0.0,11,1.784017
1.0,87,1.791101
0.0,3,1.791374
0.0,22,1.79292
0.0,38,1.795669
0.0,38,1.798606
0.0,17,1.799827
0.0,28,1.801829
0.0,5,1.802253
0.0,81,1.80843
0.0,6,1.80888
0.0,30,1.811051
0.0,16,1.812212
0.0,55,1.81645
0.0,5,1.816833
0.0,4,1.817149
0.0,9,1.817804
0.0,12,1.818861
0.0,21,1.820349
0.0,7,1.820889
0.0,14,1.82193
0.0,11,1.822911
0.0,4,1.823235
0.0,55,1.827217
0.0,8,1.827823
0.0,42,1.831286
0.0,8,1.831886
0.0,4,1.832203
0.0,3,1.832418
0.0,17,1.83386
0.0,13,1.834789
0.0,66,1.839499
0.0,27,1.841426
0.0,10,1.842392
0.0,15,1.843434
0.0,53,1.847275
0.0,15,1.848304
0.0,8,1.849103
0.0,10,1.850236
0.0,4,1.850561
0.0,16,1.851711
1.0,82,1.857824
0.0,19,1.85919
0.0,6,1.859678
0.0,141,1.869995
0.0,11,1.871033
0.0,7,1.871544
0.0,35,1.874051
0.0,3,1.87432
0.0,19,1.875882
0.0,62,1.880288
0.0,6,1.880788
0.0,20,1.882202
0.0,9,1.883067
0.0,10,1.883788
0.0,6,1.884268
0.0,56,1.888294
1.0,101,1.896147
0.0,2,1.896366
0.0,20,1.897783
0.0,70,1.902779
0.0,116,1.911538
0.0,76,1.91713
1.0,73,1.922409
0.0,8,1.923012
0.0,7,1.923826
0.0,10,1.924605
0.0,6,1.925038
0.0,5,1.925407
0.0,50,1.929334
0.0,11,1.930168
0.0,20,1.931597
0.0,17,1.932797
0.0,11,1.933883
0.0,56,1.937925
0.0,20,1.939363
0.0,21,1.940854
0.0,6,1.941567
0.0,6,1.942066
0.0,7,1.942603
0.0,9,1.943266
0.0,30,1.945627
0.0,6,1.94612
0.0,39,1.948919
1.0,25,1.951087
0.0,50,1.955045
0.0,43,1.958211
0.0,176,1.973103
0.0,26,1.975102
2.0,49,1.979236
0.0,122,1.989501
0.0,41,1.995395
0.0,23,1.997151
0.0,4,1.997835
0.0,45,2.001832
0.0,15,2.003847
0.0,19,2.006486
2.0,93,2.015084
0.0,67,2.020123
0.0,11,2.020982
0.0,3,2.021251
1.0,75,2.028217
0.0,5,2.028955
0.0,25,2.031981
0.0,86,2.041714
0.0,33,2.04636
0.0,27,2.050156
0.0,23,2.053601
0.0,31,2.056768
0.0,22,2.059055
0.0,7,2.059955
0.0,42,2.063561
0.0,10,2.064287
0.0,2,2.064793
0.0,23,2.067029
0.0,13,2.068628
0.0,13,2.069875
1.0,113,2.083418
0.0,9,2.084696
0.0,14,2.086669
0.0,94,2.098511
0.0,7,2.099447
0.0,57,2.104505
0.0,22,2.106225
0.0,23,2.107897
0.0,10,2.108926
0.0,16,2.110111
0.0,79,2.1162
0.0,4,2.116724
0.0,10,2.11797
0.0,5,2.118408
0.0,12,2.1193
0.0,75,2.12622
0.0,9,2.12729
0.0,86,2.136344
1.0,78,2.143441
0.0,31,2.146094
0.0,25,2.148304
0.0,9,2.148975
0.0,15,2.150251
0.0,6,2.150683
0.0,65,2.156237
0.0,52,2.160227
0.0,8,2.160832
0.0,26,2.162761
1.0,65,2.167827
0.0,6,2.168323
0.0,33,2.170814
0.0,7,2.171358
0.0,10,2.172364
0.0,2,2.172568
0.0,11,2.173321
0.0,5,2.173751
0.0,70,2.179109
0.0,43,2.182223
0.0,13,2.18314
0.0,17,2.184315
1.0,199,2.199254
0.0,19,2.200648
0.0,51,2.204407
0.0,103,2.212149
0.0,48,2.215991
0.0,5,2.216451
0.0,7,2.216957
0.0,10,2.217963
0.0,77,2.223917
0.0,5,2.224302
0.0,3,2.224566
0.0,2,2.224763
0.0,41,2.22798
3.0,144,2.238613
1.0,178,2.2523
0.0,9,2.253133
0.0,6,2.253986
0.0,3,2.254265
0.0,18,2.255563
0.0,7,2.256129
0.0,5,2.256791
0.0,11,2.25786
0.0,10,2.258676
0.0,13,2.259933
0.0,9,2.261007
0.0,2,2.261349
0.0,5,2.261884
0.0,46,2.265568
0.0,20,2.267653
0.0,13,2.269091
0.0,5,2.269616
0.0,14,2.27065
0.0,12,2.271798
0.0,57,2.276018
0.0,10,2.276774
0.0,3,2.277038
0.0,16,2.278414
0.0,59,2.282739
0.0,6,2.28319
0.0,14,2.284216
0.0,3,2.284618
0.0,47,2.288066
0.0,18,2.289369
0.0,18,2.290629
0.0,83,2.296859
0.0,82,2.302796
0.0,70,2.307957
0.0,27,2.30991
0.0,16,2.311278
0.0,13,2.312219
0.0,34,2.314619
0.0,7,2.315159
0.0,9,2.31602
0.0,2,2.316235
0.0,12,2.317103
2.0,188,2.330864
0.0,23,2.332857
0.0,43,2.335933
0.0,81,2.341935
0.0,21,2.343434
0.0,49,2.347226
0.0,112,2.355896
0.0,57,2.360064
0.0,5,2.360502
0.0,27,2.362669
1.0,129,2.372267
0.0,109,2.380352
0.0,15,2.381462
0.0,2,2.38189
1.0,212,2.397608
0.0,5,2.398006
0.0,191,2.411986
0.0,47,2.4157
0.0,63,2.420249
0.0,9,2.420919
0.0,7,2.421464
0.0,3,2.421891
0.0,8,2.422518
0.0,32,2.424791
0.0,17,2.426063
1.0,77,2.43186
0.0,13,2.432796
0.0,97,2.4398
0.0,13,2.440781
0.0,43,2.444027
0.0,22,2.445629
0.0,6,2.446068
1.0,75,2.451531
0.0,13,2.453012
0.0,13,2.454236
0.0,23,2.455852
0.0,23,2.457533
0.0,3,2.458
0.0,24,2.459728
0.0,7,2.460279
0.0,13,2.46121
0.0,11,2.462239
0.0,95,2.469124
0.0,5,2.46956
0.0,9,2.47022
0.0,4,2.470734
0.0,105,2.478368
0.0,10,2.47914
0.0,7,2.479617
0.0,11,2.480634
0.0,56,2.484693
0.0,12,2.485581
0.0,18,2.48689
1.0,65,2.491803
0.0,33,2.494166
0.0,38,2.496909
0.0,98,2.504124
0.0,3,2.50459
0.0,14,2.505616
0.0,6,2.506117
0.0,6,2.506572
0.0,32,2.509052
0.0,32,2.511371
0.0,42,2.51444
0.0,4,2.514768
0.0,17,2.516183
0.0,12,2.517073
0.0,11,2.517917
0.0,8,2.518511
0.0,20,2.520162
0.0,16,2.521332
0.0,4,2.521665
0.0,16,2.522801
0.0,8,2.523593
0.0,131,2.533299
0.0,4,2.533631
0.0,10,2.534346
