#{"t_start": 1708514069.732603, "env_id": "MinAtar/Seaquest-v1"}
r,l,t
0.0,6,0.00143
0.0,9,1.813772
0.0,19,1.81452
0.0,11,1.814988
0.0,2,1.815174
0.0,64,1.818999
0.0,9,1.819406
0.0,9,1.819828
0.0,23,1.820962
0.0,22,1.823828
2.0,207,1.832942
0.0,11,1.833483
0.0,21,1.834265
0.0,15,1.83644
0.0,23,1.837645
0.0,18,1.838352
0.0,64,1.84054
0.0,12,1.84246
3.0,138,1.847497
0.0,6,1.847854
0.0,25,1.848808
2.0,75,1.852984
0.0,25,1.853942
0.0,40,1.855437
0.0,13,1.855997
2.0,203,1.864794
0.0,79,1.867528
0.0,51,1.869253
0.0,8,1.869643
0.0,47,1.873099
0.0,10,1.873524
0.0,34,1.875002
0.0,30,1.876122
0.0,42,1.878973
0.0,27,1.879906
0.0,106,1.883504
0.0,3,1.883729
0.0,5,1.88548
0.0,2,1.885618
0.0,6,1.885984
0.0,5,1.886277
0.0,6,1.888278
0.0,16,1.888946
0.0,23,1.889748
0.0,25,1.890729
0.0,49,1.895009
0.0,12,1.895631
0.0,12,1.896125
0.0,13,1.896618
0.0,4,1.898336
0.0,7,1.898888
0.0,16,1.899688
0.0,52,1.901577
0.0,47,1.904787
0.0,18,1.905751
0.0,7,1.906203
0.0,40,1.907528
0.0,10,1.90946
0.0,42,1.910944
0.0,26,1.914057
0.0,23,1.914905
0.0,4,1.916718
0.0,9,1.917159
0.0,5,1.91747
0.0,25,1.918896
0.0,23,1.921233
0.0,18,1.921897
0.0,23,1.922809
0.0,15,1.923395
0.0,16,1.925591
0.0,45,1.927432
0.0,7,1.927782
0.0,10,1.928184
0.0,73,1.932565
0.0,38,1.934124
0.0,26,1.935053
0.0,9,1.935547
0.0,13,1.937824
0.0,4,1.938081
0.0,15,1.938667
0.0,8,1.939028
0.0,6,1.940656
0.0,22,1.94156
0.0,77,1.94426
0.0,5,1.944532
0.0,16,1.946656
0.0,15,1.947413
0.0,26,1.948647
0.0,8,1.949046
0.0,23,1.951725
0.0,5,1.951998
0.0,17,1.952614
0.0,28,1.95371
0.0,50,1.95698
0.0,34,1.958168
0.0,28,1.959342
1.0,61,1.961677
0.0,69,1.965804
0.0,10,1.966301
0.0,15,1.966921
0.0,56,1.969009
0.0,16,1.971107
0.0,51,1.972831
0.0,4,1.973087
0.0,23,1.973893
0.0,6,1.97581
0.0,24,1.976665
0.0,5,1.976954
0.0,18,1.977713
0.0,9,1.979689
0.0,2,1.979876
1.0,139,1.984597
0.0,8,1.985164
0.0,13,1.987331
0.0,5,1.987607
0.0,21,1.988333
0.0,23,1.989241
0.0,9,1.991163
0.0,15,1.992123
0.0,30,1.993227
0.0,76,1.995892
0.0,3,1.99753
0.0,7,1.997885
0.0,7,1.998215
0.0,37,1.999648
0.0,11,2.001337
0.0,8,2.001709
0.0,20,2.00247
1.0,68,2.004808
1.0,217,2.013413
0.0,5,2.013795
0.0,62,2.01831
0.0,43,2.019886
0.0,2,2.021489
0.0,207,2.02815
0.0,7,2.028532
0.0,5,2.028797
0.0,11,2.030724
1.0,66,2.032934
0.0,19,2.033661
0.0,16,2.034266
0.0,11,2.036151
0.0,10,2.036564
0.0,5,2.036808
0.0,21,2.037567
0.0,10,2.039528
0.0,9,2.039936
0.0,7,2.040268
0.0,26,2.041154
0.0,10,2.042835
0.0,35,2.044029
0.0,4,2.044266
0.0,29,2.045267
1.0,90,2.049659
0.0,38,2.050923
0.0,26,2.051832
0.0,8,2.052183
0.0,7,2.054017
1.0,158,2.059641
1.0,33,2.060777
0.0,7,2.061105
0.0,12,2.063088
0.0,6,2.063387
0.0,5,2.063666
0.0,9,2.06405
0.0,43,2.066972
0.0,11,2.067417
0.0,27,2.068341
0.0,46,2.06995
0.0,32,2.072619
0.0,3,2.072789
0.0,6,2.073093
0.0,6,2.073366
0.0,16,2.075257
0.0,4,2.075502
0.0,12,2.07604
0.0,59,2.077966
0.0,43,2.081077
0.0,11,2.081546
0.0,4,2.081774
