#{"t_start": 1708676169.7316217, "env_id": "MinAtar/Seaquest-v1"}
r,l,t
0.0,3,0.004958
0.0,9,0.228387
0.0,19,0.229991
0.0,11,0.230933
0.0,2,0.23116
0.0,64,0.237798
0.0,9,0.238971
0.0,9,0.240059
0.0,23,0.242982
0.0,22,0.246644
2.0,207,0.276717
0.0,11,0.278473
0.0,21,0.281478
0.0,15,0.28444
0.0,23,0.287886
0.0,18,0.290448
0.0,64,0.313292
0.0,12,0.315443
3.0,138,0.355565
0.0,6,0.356146
0.0,25,0.3584
2.0,75,0.365828
0.0,25,0.368058
0.0,40,0.371546
0.0,13,0.372765
2.0,203,0.403449
0.0,79,0.412468
0.0,51,0.418394
0.0,8,0.419307
0.0,47,0.424854
0.0,10,0.425938
0.0,34,0.429361
0.0,30,0.432208
0.0,42,0.437059
0.0,27,0.439523
0.0,106,0.449612
0.0,3,0.449968
0.0,5,0.451318
0.0,2,0.451519
0.0,6,0.452137
0.0,5,0.452629
0.0,6,0.45361
0.0,16,0.45507
0.0,23,0.457173
0.0,25,0.459737
0.0,49,0.465111
0.0,12,0.466241
0.0,12,0.467319
0.0,13,0.468458
0.0,4,0.469312
0.0,7,0.47012
0.0,16,0.471855
0.0,52,0.477908
0.0,47,0.485826
0.0,18,0.488267
0.0,7,0.489308
0.0,40,0.494526
0.0,10,0.496601
0.0,42,0.501975
0.0,26,0.504602
0.0,23,0.506816
0.0,4,0.507813
0.0,9,0.508829
0.0,5,0.509432
0.0,25,0.511809
0.0,23,0.514727
0.0,18,0.516519
0.0,23,0.51867
0.0,15,0.519989
0.0,16,0.521938
0.0,45,0.526696
0.0,7,0.528131
0.0,10,0.530084
0.0,73,0.54099
0.0,38,0.544538
0.0,26,0.546819
0.0,9,0.547702
0.0,13,0.54943
0.0,4,0.549841
0.0,15,0.553004
0.0,8,0.553868
0.0,6,0.555016
0.0,22,0.557323
0.0,77,0.564475
0.0,5,0.56495
0.0,16,0.570724
0.0,15,0.57473
0.0,26,0.580078
0.0,8,0.581862
0.0,23,0.587397
0.0,5,0.588475
0.0,17,0.592175
0.0,28,0.596498
0.0,50,0.608004
0.0,34,0.62
0.0,28,0.62612
1.0,61,0.660278
0.0,69,0.691684
0.0,10,0.713592
0.0,15,0.714932
0.0,56,0.721377
0.0,16,0.755103
0.0,51,0.78121
0.0,4,0.782151
0.0,23,0.786755
0.0,6,0.805798
0.0,24,0.808203
0.0,5,0.808798
0.0,18,0.810594
0.0,9,0.812283
0.0,2,0.812626
1.0,139,0.830057
