#{"t_start": 1708625839.8436482, "env_id": "MinAtar/Seaquest-v1"}
r,l,t
1.0,83,13.765363
0.0,46,13.834689
0.0,10,13.849375
0.0,6,13.858147
0.0,53,13.981756
0.0,16,14.001787
0.0,82,14.157647
0.0,22,14.187396
0.0,67,14.279376
0.0,22,14.313065
1.0,59,14.397719
0.0,11,14.412099
0.0,82,14.518194
0.0,5,14.525375
0.0,29,14.567127
0.0,6,14.575633
0.0,120,14.9696
0.0,4,14.975384
0.0,21,15.004211
0.0,6,15.012757
0.0,6,15.021118
1.0,154,15.317119
0.0,23,15.36483
0.0,7,15.375324
0.0,10,15.389894
0.0,10,15.414046
0.0,54,15.484621
0.0,6,15.492701
0.0,35,15.54296
0.0,10,15.557318
0.0,4,15.563503
0.0,124,15.731217
0.0,6,15.740154
0.0,54,15.820245
0.0,7,15.830604
0.0,18,15.857219
0.0,30,15.90187
0.0,30,15.942576
2.0,135,16.128674
0.0,11,16.144492
0.0,32,16.188283
0.0,14,16.205517
0.0,43,16.262502
0.0,28,16.302249
0.0,10,16.316571
0.0,9,16.32938
0.0,9,16.342169
0.0,12,16.359217
0.0,8,16.370927
0.0,11,16.386517
0.0,53,16.457605
0.0,6,16.46636
0.0,16,16.489045
0.0,12,16.506093
0.0,10,16.520868
0.0,17,16.544936
0.0,9,16.557773
0.0,18,16.583463
0.0,4,16.589181
0.0,45,16.65052
0.0,56,16.72346
0.0,25,16.758847
0.0,55,16.83715
0.0,36,16.885778
1.0,88,20.270856
0.0,6,20.281079
0.0,13,20.302786
0.0,10,20.318953
0.0,8,20.331889
0.0,13,20.355573
0.0,16,20.401559
0.0,12,20.42705
0.0,7,20.435686
0.0,14,20.455654
0.0,10,20.472551
0.0,4,20.47853
0.0,12,20.497024
0.0,14,20.521114
0.0,9,20.538735
0.0,11,20.559715
0.0,52,20.655956
0.0,10,20.672399
0.0,13,20.694158
0.0,11,20.712272
0.0,3,20.717251
0.0,4,20.72369
0.0,36,20.827615
0.0,26,20.872201
1.0,89,21.084609
0.0,5,21.095205
0.0,11,21.114559
0.0,3,21.118395
0.0,6,21.139459
0.0,14,21.183585
0.0,7,21.192901
0.0,15,21.236698
0.0,17,21.283136
0.0,50,21.359017
0.0,46,21.555462
0.0,10,21.568235
0.0,65,21.666857
0.0,4,21.672887
0.0,3,21.677415
0.0,21,21.708489
0.0,8,21.720896
1.0,133,21.997642
0.0,12,22.017868
0.0,13,22.041186
1.0,105,22.320293
0.0,7,22.335644
0.0,13,22.364027
0.0,57,22.490037
0.0,14,22.519802
2.0,98,22.747846
1.0,52,22.828534
0.0,15,22.863722
0.0,28,22.927547
0.0,55,23.021167
0.0,11,23.048047
0.0,16,23.071584
0.0,3,23.077072
0.0,40,23.143153
0.0,11,23.161106
0.0,10,23.177365
0.0,16,23.203372
0.0,69,23.319805
0.0,46,23.397698
0.0,62,23.497935
0.0,8,23.511039
0.0,19,23.548634
0.0,3,23.558503
0.0,13,23.580693
0.0,36,23.655056
0.0,17,23.713867
0.0,46,23.818352
0.0,19,23.847511
0.0,18,23.89738
0.0,59,23.984193
0.0,82,24.220655
0.0,12,24.240739
0.0,5,24.249488
0.0,9,24.276023
0.0,47,24.372722
0.0,7,24.382446
0.0,13,26.830272
0.0,49,26.909094
0.0,5,26.915618
0.0,22,26.944422
0.0,16,26.967278
0.0,9,26.981922
0.0,13,27.003299
0.0,2,27.006699
0.0,34,27.062563
0.0,5,27.070368
0.0,5,27.078113
0.0,9,27.091767
0.0,13,27.142492
0.0,19,27.189682
0.0,2,27.195211
0.0,4,27.205971
0.0,5,27.219646
0.0,5,27.233158
0.0,9,27.257369
0.0,7,27.285276
0.0,21,27.36463
0.0,9,27.383815
0.0,15,27.423957
0.0,6,27.494936
0.0,4,27.530352
0.0,8,27.573923
0.0,12,27.591761
0.0,22,27.623107
0.0,6,27.642814
0.0,10,27.658472
0.0,6,27.667542
0.0,17,27.692727
0.0,7,27.702632
0.0,25,27.742521
0.0,12,27.759717
1.0,56,27.840067
0.0,46,27.932274
0.0,3,27.936515
0.0,54,28.017876
0.0,23,28.051036
0.0,11,28.066785
0.0,4,28.07303
0.0,39,28.127123
0.0,9,28.139626
0.0,19,28.164048
0.0,55,28.241755
0.0,5,28.248682
0.0,39,28.305134
0.0,6,28.314517
0.0,11,28.331784
0.0,7,28.342767
2.0,111,28.561225
1.0,83,28.689804
0.0,2,28.692878
0.0,18,28.71716
0.0,18,28.742863
0.0,27,28.783021
0.0,30,28.827183
0.0,24,28.862869
1.0,59,28.947301
0.0,6,28.956021
0.0,13,28.975314
0.0,18,29.002486
0.0,2,29.00553
0.0,9,29.018894
0.0,2,29.021919
0.0,11,29.051966
0.0,8,29.077536
0.0,2,29.080555
0.0,13,29.100276
0.0,9,29.113652
0.0,20,29.141215
0.0,61,29.227347
0.0,6,29.236278
0.0,17,29.261528
0.0,14,29.281904
0.0,2,29.284724
0.0,47,29.353863
0.0,4,29.359846
0.0,18,29.384842
0.0,4,29.390603
0.0,4,29.395851
0.0,3,29.40012
0.0,3,29.404673
0.0,19,29.43297
0.0,3,29.437604
0.0,48,29.579544
0.0,9,29.592685
0.0,9,29.604494
0.0,18,29.628582
0.0,2,29.631401
0.0,5,29.63908
0.0,4,29.644872
0.0,22,29.676651
0.0,7,29.687247
0.0,5,29.69536
0.0,13,29.71488
0.0,65,29.884641
0.0,10,29.89876
0.0,7,29.908831
0.0,59,29.997893
0.0,4,30.004028
0.0,42,30.066013
0.0,30,30.107957
0.0,14,30.125661
0.0,8,30.135778
0.0,8,30.145982
0.0,37,30.212165
0.0,13,30.233223
0.0,4,30.239549
0.0,36,30.349602
0.0,16,30.373322
1.0,97,32.919486
0.0,5,32.927774
0.0,20,32.960338
0.0,4,32.966829
1.0,114,33.15557
0.0,16,33.181518
0.0,23,33.218477
0.0,24,33.249394
0.0,34,33.309554
0.0,4,33.315732
1.0,97,33.605792
0.0,4,33.611984
0.0,7,33.642202
1.0,39,33.706348
0.0,20,33.779828
0.0,8,33.792073
0.0,12,33.839931
0.0,12,33.874933
0.0,3,33.879168
0.0,5,33.886117
0.0,78,34.110197
0.0,2,34.11429
0.0,4,34.121786
0.0,2,34.125583
0.0,55,34.231171
0.0,15,34.259714
0.0,5,34.269191
2.0,216,34.696221
0.0,18,34.730826
0.0,10,34.750584
0.0,5,34.76012
1.0,109,34.974559
0.0,96,35.154236
0.0,11,35.174469
0.0,9,35.191021
0.0,3,35.196651
0.0,92,35.370146
0.0,22,35.411021
0.0,11,35.431777
1.0,133,35.6828
0.0,5,35.69212
0.0,4,35.699613
0.0,6,35.710855
0.0,175,36.067999
0.0,5,36.079168
0.0,4,36.088104
0.0,35,36.164502
0.0,6,36.176958
0.0,6,36.189708
0.0,4,36.198597
0.0,5,36.209479
0.0,18,36.248636
0.0,15,36.280693
0.0,2,36.28523
0.0,6,36.297964
0.0,37,36.376302
0.0,11,36.399211
0.0,4,36.407272
0.0,10,36.426411
0.0,3,36.432348
2.0,202,36.848405
0.0,6,36.860773
0.0,7,36.875082
0.0,6,36.88723
0.0,3,36.892908
0.0,3,36.900303
0.0,9,36.917583
0.0,5,36.925246
0.0,12,36.945419
0.0,5,36.953567
0.0,5,36.961703
0.0,4,36.968222
1.0,45,39.368637
0.0,9,39.381432
0.0,147,39.714498
0.0,44,39.822202
0.0,74,39.939199
0.0,8,39.950831
0.0,111,40.150229
0.0,8,40.206195
0.0,12,40.260462
0.0,6,40.268761
0.0,4,40.3007
0.0,23,40.363208
0.0,5,40.369568
0.0,3,40.373407
0.0,5,40.379763
0.0,2,40.382384
0.0,2,40.385416
0.0,11,40.405032
0.0,46,40.494078
0.0,24,40.542276
0.0,11,40.560522
0.0,15,40.585771
0.0,71,40.733071
0.0,6,40.750152
0.0,71,40.896563
0.0,2,40.901873
0.0,74,41.011595
0.0,173,41.415157
0.0,53,41.529855
1.0,162,41.782926
0.0,5,41.790368
0.0,4,41.796754
0.0,203,42.167429
0.0,5,42.174818
0.0,3,42.179266
1.0,183,42.453457
0.0,2,42.456568
0.0,73,42.564659
0.0,2,42.567767
0.0,76,42.682735
0.0,10,42.697347
0.0,31,42.736131
0.0,52,42.813154
0.0,42,42.876238
1.0,45,42.942322
0.0,14,42.960701
0.0,9,42.973176
0.0,64,43.065935
0.0,5,43.073348
0.0,4,43.0793
1.0,79,45.805132
0.0,31,45.863928
0.0,12,45.880712
1.0,70,46.072327
0.0,55,46.194677
0.0,61,46.406191
0.0,5,46.413172
0.0,11,46.441693
0.0,11,46.457005
0.0,234,47.026067
0.0,20,47.083063
0.0,9,47.132565
0.0,43,47.298209
0.0,63,47.498083
0.0,2,47.503736
1.0,127,47.772618
0.0,46,47.904718
0.0,39,47.964678
0.0,47,48.069271
0.0,26,48.135393
0.0,67,48.298857
2.0,141,48.536171
0.0,25,48.602126
0.0,8,48.612044
0.0,63,48.702322
0.0,92,48.831774
1.0,86,48.965702
0.0,84,49.083659
0.0,56,49.165661
0.0,71,49.281981
0.0,70,49.413067
0.0,7,49.43957
0.0,6,49.453915
0.0,3,49.461719
0.0,29,49.53581
1.0,134,49.796884
0.0,14,49.81831
0.0,5,49.825874
0.0,18,49.852814
2.0,201,52.445274
0.0,26,52.545413
0.0,36,52.597323
0.0,113,52.775284
0.0,100,52.96136
1.0,87,53.128561
0.0,4,53.136044
3.0,181,53.462929
0.0,51,53.557401
1.0,58,53.667551
1.0,92,53.807029
0.0,33,53.85554
1.0,84,53.979286
1.0,116,54.158408
0.0,10,54.173698
1.0,100,54.335107
0.0,89,54.499148
0.0,5,54.508653
0.0,141,54.715507
0.0,6,54.72453
0.0,6,54.733475
0.0,79,54.940958
0.0,42,55.051207
0.0,21,55.085174
0.0,93,55.259575
0.0,60,55.369081
0.0,63,55.457284
0.0,91,55.68263
0.0,106,55.833439
0.0,40,55.893054
1.0,110,59.056178
1.0,134,59.293451
1.0,202,59.732911
0.0,115,59.930005
0.0,57,60.021534
1.0,105,60.246497
0.0,13,60.273596
0.0,42,60.360511
0.0,28,60.413106
0.0,73,60.518006
0.0,2,60.521161
0.0,99,60.715081
1.0,168,61.121477
0.0,67,61.236838
0.0,48,61.318698
1.0,118,61.51558
0.0,10,61.535869
0.0,11,61.565535
0.0,55,61.729284
1.0,78,61.90813
