#{"t_start": 1708793856.8550565, "env_id": "MinAtar/Seaquest-v1"}
r,l,t
0.0,5,0.004938
0.0,17,3.870732
1.0,53,4.062423
0.0,18,4.134169
0.0,2,4.137968
0.0,21,4.169819
0.0,5,4.177661
0.0,24,4.244685
0.0,18,4.28512
0.0,21,4.360841
0.0,7,4.38814
0.0,8,4.400702
0.0,39,4.541147
0.0,18,4.585828
0.0,10,4.601194
0.0,11,4.618601
0.0,14,4.639427
0.0,3,4.644109
0.0,8,4.66975
0.0,13,4.702623
0.0,2,4.705746
0.0,4,4.726059
0.0,30,4.785678
0.0,30,4.874631
0.0,11,4.903927
0.0,7,4.92434
0.0,52,5.060189
0.0,5,5.081186
0.0,22,5.174439
0.0,2,5.18895
0.0,41,5.403972
0.0,13,5.473888
0.0,8,5.510632
0.0,27,5.683309
0.0,9,5.712728
0.0,81,5.967199
0.0,7,5.977957
0.0,13,6.037547
2.0,137,6.357536
0.0,2,6.360642
0.0,34,6.497933
0.0,5,6.525362
0.0,6,6.535249
0.0,14,6.556936
0.0,13,6.604044
0.0,177,7.099617
0.0,60,7.201627
0.0,181,7.719156
0.0,7,7.730402
0.0,8,7.772681
0.0,47,7.853301
0.0,10,7.880902
0.0,16,7.933494
1.0,22,8.007403
0.0,13,8.04908
0.0,31,8.108227
0.0,16,8.146543
0.0,6,8.157204
0.0,46,8.266797
0.0,161,8.635806
0.0,64,8.788429
0.0,44,8.900991
0.0,14,8.922361
0.0,5,8.930064
1.0,99,9.256173
0.0,64,9.420356
0.0,15,9.471145
0.0,44,9.58338
0.0,11,9.613459
0.0,21,15.325877
0.0,4,15.344838
0.0,13,15.402754
0.0,18,15.479579
0.0,26,15.628294
0.0,3,15.648
0.0,14,15.741471
0.0,9,15.777696
0.0,9,15.824457
0.0,51,16.066714
0.0,18,16.135052
0.0,4,16.140898
0.0,14,16.199462
1.0,78,16.538512
0.0,24,16.613325
0.0,10,16.627406
0.0,13,16.645151
0.0,3,16.649351
1.0,162,17.086821
2.0,164,17.57732
0.0,25,17.682842
0.0,2,17.699078
1.0,93,18.065153
0.0,14,18.117501
0.0,13,18.198742
0.0,13,18.263447
0.0,51,18.502854
0.0,8,18.537586
0.0,6,18.579771
2.0,152,19.289612
0.0,5,19.313071
0.0,32,19.379321
0.0,9,19.39172
0.0,9,19.422991
0.0,3,19.427494
0.0,13,19.464859
0.0,4,19.471087
0.0,53,19.663929
0.0,22,19.739452
0.0,10,19.784118
0.0,54,19.920114
0.0,33,20.018119
0.0,11,20.067071
0.0,28,20.141596
0.0,46,20.353322
0.0,66,20.718678
1.0,43,20.870441
0.0,25,21.007303
0.0,166,21.558849
0.0,2,21.561665
0.0,25,21.643978
0.0,28,21.759348
0.0,46,21.979145
0.0,11,22.056192
0.0,4,22.065272
0.0,15,22.13594
0.0,8,22.170169
0.0,5,22.191989
0.0,13,22.25452
0.0,14,22.30603
0.0,29,22.39909
0.0,16,22.450662
0.0,19,22.508441
1.0,158,27.763687
0.0,42,27.883382
0.0,6,27.908926
0.0,36,28.061131
0.0,32,28.178462
0.0,15,28.239667
0.0,40,28.355786
0.0,34,28.480694
0.0,13,28.523802
0.0,9,28.550688
1.0,95,29.057019
0.0,17,29.172396
0.0,4,29.201179
0.0,13,29.269899
0.0,69,29.534107
0.0,12,29.59707
0.0,66,29.869881
0.0,5,29.877761
0.0,3,29.893629
0.0,14,29.921961
0.0,23,29.972107
0.0,43,30.065707
0.0,90,30.265041
0.0,7,30.305056
0.0,121,30.6976
1.0,198,31.140205
0.0,18,31.17277
0.0,2,31.176379
0.0,6,31.186584
0.0,44,31.286144
0.0,19,31.408422
0.0,14,31.467613
0.0,44,31.600531
0.0,9,31.61534
0.0,71,31.817193
0.0,34,31.89564
0.0,6,31.907823
2.0,83,32.167255
0.0,36,32.326213
0.0,10,32.396365
0.0,23,32.536814
0.0,10,32.611472
0.0,4,32.633992
0.0,7,32.691499
0.0,67,33.028586
0.0,12,33.067376
0.0,40,33.218606
0.0,4,33.23914
2.0,119,33.68522
0.0,14,33.776192
0.0,10,33.79511
1.0,29,33.939796
0.0,12,34.009827
0.0,5,34.020086
0.0,47,34.186893
0.0,11,34.232808
0.0,61,34.451587
0.0,32,34.5958
0.0,21,34.741511
0.0,90,35.204592
0.0,78,40.690747
0.0,2,40.69366
0.0,7,40.767099
0.0,58,41.093344
2.0,148,41.799488
0.0,17,41.900367
0.0,84,42.236206
0.0,5,42.267077
0.0,14,42.287294
0.0,58,42.544687
0.0,68,42.879803
0.0,31,42.955225
0.0,17,43.005534
0.0,27,43.101999
0.0,8,43.124593
0.0,3,43.129416
0.0,41,43.280875
0.0,105,43.75801
0.0,21,43.840792
0.0,6,43.849295
0.0,2,43.85221
0.0,29,43.956873
0.0,20,44.023698
0.0,14,44.057573
0.0,19,44.101066
0.0,5,44.108166
0.0,16,44.145427
0.0,14,44.180593
0.0,25,44.2313
0.0,93,44.496228
0.0,6,44.505814
0.0,13,44.587257
0.0,4,44.593535
0.0,23,44.64028
0.0,15,44.711159
0.0,41,44.78632
0.0,14,44.821733
0.0,9,44.849374
0.0,11,44.893382
0.0,4,44.899206
0.0,18,44.953492
0.0,6,44.98741
0.0,2,45.003847
0.0,8,45.016155
0.0,64,45.320363
0.0,74,45.583387
0.0,45,45.813167
0.0,23,45.889534
0.0,62,46.083655
0.0,32,46.217237
0.0,28,46.313749
0.0,26,46.379749
0.0,26,46.488904
0.0,5,46.533605
0.0,13,46.581281
0.0,109,47.110259
0.0,48,47.292396
1.0,110,47.607079
1.0,46,47.729369
1.0,47,47.866225
0.0,4,47.885746
0.0,26,47.952713
0.0,73,53.309613
0.0,11,53.371453
1.0,56,53.482427
0.0,19,53.514225
1.0,149,53.748184
2.0,144,54.056318
1.0,72,54.224739
0.0,81,54.41424
0.0,25,54.50949
0.0,175,55.085892
0.0,22,55.162854
0.0,19,55.2242
0.0,144,55.594183
0.0,19,55.620691
0.0,63,55.718352
0.0,17,55.747249
0.0,95,55.895673
0.0,31,55.945923
1.0,94,56.095683
1.0,95,56.249168
0.0,16,56.274652
0.0,66,56.372499
0.0,97,56.520744
0.0,30,56.566514
0.0,64,56.668786
0.0,22,56.703631
0.0,21,56.736586
0.0,215,57.07395
1.0,108,57.410373
0.0,54,57.615847
0.0,44,62.125326
0.0,128,62.406426
