#{"t_start": 1708694633.193184, "env_id": "MinAtar/Seaquest-v1"}
r,l,t
0.0,10,0.052666
0.0,25,0.11037
1.0,145,0.305572
0.0,4,0.310927
0.0,9,0.322736
0.0,74,0.419892
1.0,69,0.509433
0.0,68,0.597038
0.0,8,0.607761
0.0,21,0.634734
0.0,38,0.683712
0.0,7,0.69267
0.0,11,0.706776
0.0,7,0.715986
0.0,42,0.769781
0.0,2,0.772409
0.0,12,0.788199
0.0,22,0.816303
0.0,11,0.831557
0.0,19,0.855944
0.0,36,0.90272
0.0,44,0.959728
0.0,11,0.973851
0.0,52,1.041102
0.0,68,1.129126
0.0,4,1.134316
0.0,4,1.139484
0.0,33,1.182355
0.0,6,1.190133
0.0,20,1.21574
0.0,7,1.224741
0.0,12,1.240088
0.0,19,1.264922
0.0,11,1.278806
0.0,15,1.298249
0.0,2,1.300858
0.0,17,1.32232
0.0,44,1.377782
0.0,11,1.392096
0.0,7,1.401054
0.0,5,1.407426
0.0,35,1.451561
0.0,5,1.457967
0.0,6,1.466421
0.0,14,1.484624
0.0,15,1.503728
0.0,12,1.518981
0.0,9,1.530456
0.0,3,1.534331
0.0,19,1.558463
0.0,22,1.586776
0.0,119,1.739644
1.0,104,1.873891
2.0,120,2.030399
0.0,8,2.040736
0.0,18,2.063809
0.0,8,2.074121
0.0,12,2.090303
0.0,10,2.103184
0.0,12,2.118674
0.0,15,2.138005
0.0,16,2.158579
0.0,13,2.175256
0.0,5,2.18265
0.0,11,2.197698
0.0,30,2.23971
0.0,7,2.248831
0.0,22,2.276909
0.0,16,2.297819
0.0,11,2.315114
0.0,12,2.330574
0.0,12,2.34599
0.0,38,2.395952
0.0,4,2.401289
0.0,33,2.443842
0.0,23,2.473581
0.0,5,2.480114
0.0,6,2.48822
0.0,20,2.514427
0.0,14,2.532527
0.0,24,2.563489
0.0,3,2.567441
0.0,14,2.585871
0.0,82,2.691761
0.0,5,2.698215
0.0,8,2.708569
0.0,7,2.718002
0.0,18,2.741078
0.0,7,4.480443
0.0,5,4.489289
0.0,14,4.513303
0.0,14,4.537317
0.0,16,4.565992
0.0,17,4.588012
0.0,5,4.594874
0.0,4,4.600071
0.0,8,4.610262
0.0,27,4.64505
0.0,16,4.666633
0.0,25,4.699603
0.0,9,4.711312
0.0,3,4.715288
0.0,11,4.729677
0.0,10,4.742849
0.0,5,4.749475
0.0,12,4.765239
0.0,23,4.795332
0.0,16,4.816134
1.0,66,4.903567
0.0,18,4.926169
0.0,5,4.932531
1.0,24,4.964422
0.0,20,4.995032
0.0,13,5.011822
0.0,17,5.033298
0.0,15,5.0522
0.0,25,5.089459
0.0,4,5.095119
0.0,4,5.10058
0.0,47,5.161048
0.0,3,5.164859
0.0,9,5.176081
0.0,4,5.181094
0.0,16,5.201186
0.0,25,5.232112
0.0,24,5.261811
0.0,6,5.269287
0.0,2,5.27184
0.0,8,5.281786
0.0,19,5.305774
0.0,22,5.333435
0.0,18,5.357021
0.0,4,5.362317
0.0,50,5.432761
0.0,2,5.435338
0.0,3,5.439153
0.0,14,5.456647
0.0,7,5.465554
0.0,25,5.500477
0.0,24,5.532588
0.0,77,5.633516
0.0,4,5.638543
0.0,9,5.650443
1.0,88,5.760599
0.0,15,5.779289
0.0,11,5.79291
0.0,17,5.814394
0.0,21,5.840424
0.0,18,5.862701
0.0,9,5.873926
0.0,5,5.880126
2.0,151,6.087511
0.0,15,6.106498
0.0,8,6.116425
0.0,12,6.131268
0.0,5,6.137513
0.0,9,6.14865
0.0,5,6.154885
0.0,30,6.192184
0.0,12,6.207472
0.0,6,6.215023
0.0,14,6.232497
0.0,35,6.276024
0.0,12,6.290901
0.0,4,6.295914
0.0,10,6.309059
0.0,11,6.322759
0.0,11,6.336358
0.0,3,6.340109
0.0,6,6.347537
0.0,8,6.357429
0.0,18,6.379769
0.0,18,6.402545
0.0,9,6.413754
0.0,3,6.417533
0.0,13,6.433685
0.0,5,6.439949
0.0,3,6.443729
0.0,5,6.44997
0.0,11,6.463648
0.0,17,6.484818
0.0,20,6.509955
0.0,57,6.580703
0.0,54,6.649361
0.0,2,6.652028
0.0,12,6.668039
0.0,12,6.683285
0.0,3,6.687128
0.0,13,6.70638
0.0,6,6.71523
0.0,12,6.731069
0.0,17,6.756571
0.0,16,6.781572
0.0,33,6.825119
0.0,10,6.839028
2.0,163,7.092449
0.0,9,7.108155
0.0,11,7.127484
0.0,11,7.146698
0.0,25,7.184088
0.0,12,7.199701
0.0,29,8.734219
0.0,7,8.743206
1.0,97,8.882464
0.0,3,8.887779
0.0,4,8.89546
0.0,19,8.929818
0.0,73,9.035242
0.0,6,9.042976
0.0,17,9.064883
0.0,16,9.086249
1.0,205,9.35472
0.0,14,9.37258
0.0,5,9.379008
0.0,92,9.497499
0.0,11,9.511545
0.0,20,9.53756
0.0,12,9.553119
0.0,6,9.560964
0.0,26,9.594331
0.0,36,9.64074
0.0,2,9.643359
0.0,10,9.65629
0.0,10,9.669198
0.0,9,9.680704
0.0,39,9.738444
0.0,7,9.751434
0.0,9,9.768345
0.0,48,9.858571
0.0,10,9.877556
0.0,13,9.902892
0.0,10,9.923164
0.0,24,9.97017
0.0,4,9.97809
0.0,67,10.09189
2.0,86,10.234368
0.0,26,10.270016
0.0,4,10.278146
0.0,30,10.323968
0.0,9,10.337752
0.0,7,10.347805
0.0,9,10.360382
0.0,8,10.373015
0.0,10,10.389583
0.0,7,10.399263
0.0,19,10.427308
0.0,7,10.437097
0.0,10,10.451321
0.0,20,10.479695
0.0,26,10.51762
0.0,17,10.543987
0.0,93,10.677427
0.0,9,10.691324
0.0,14,10.710936
0.0,7,10.722767
0.0,16,10.744659
0.0,29,10.785234
0.0,3,10.789468
0.0,8,10.801352
0.0,9,10.813841
0.0,4,10.819155
0.0,3,10.823459
0.0,8,10.835151
0.0,27,10.87428
0.0,9,10.886516
0.0,10,10.90018
0.0,13,10.921475
0.0,5,10.928756
0.0,3,10.933252
0.0,6,10.942142
0.0,34,10.985193
1.0,37,11.032368
0.0,15,11.05159
0.0,22,11.079654
0.0,18,11.102563
0.0,8,11.112822
0.0,7,11.122008
0.0,16,11.142403
0.0,9,11.153861
0.0,5,11.160185
1.0,58,11.235749
0.0,6,11.243591
0.0,25,11.283372
0.0,8,11.298475
0.0,6,11.30887
0.0,14,11.333553
0.0,5,11.340088
0.0,3,11.344047
2.0,181,11.593915
0.0,20,11.619135
0.0,11,11.63347
0.0,9,11.644996
0.0,4,11.650169
0.0,17,13.236216
0.0,7,13.249958
0.0,6,13.26194
0.0,3,13.267857
0.0,18,13.297984
0.0,13,13.314999
0.0,81,13.420487
0.0,15,13.44083
0.0,65,13.525917
0.0,7,13.535507
0.0,52,13.603191
0.0,5,13.609841
0.0,3,13.613983
0.0,5,13.620546
0.0,58,13.71376
0.0,3,13.71823
0.0,12,13.7373
0.0,2,13.739896
0.0,11,13.754814
0.0,24,13.784547
0.0,25,13.815401
0.0,5,13.82171
1.0,95,13.941834
0.0,6,13.949364
0.0,10,13.961729
0.0,42,14.014902
0.0,16,14.034997
0.0,11,14.048663
0.0,6,14.056123
0.0,15,14.075426
0.0,4,14.080972
0.0,22,14.108292
0.0,7,14.117066
0.0,19,14.141214
0.0,12,14.157313
0.0,43,14.212179
0.0,22,14.240824
1.0,84,14.347089
0.0,28,14.381619
0.0,10,14.393953
0.0,56,14.464581
0.0,14,14.481878
0.0,7,14.491439
0.0,23,14.519863
0.0,7,14.528439
0.0,7,14.537381
0.0,15,14.55627
0.0,4,14.561362
0.0,18,14.584555
0.0,22,14.611402
3.0,298,14.984426
0.0,20,15.008942
0.0,3,15.012681
0.0,29,15.048521
0.0,4,15.053488
0.0,47,15.111175
0.0,23,15.139612
0.0,11,15.153059
0.0,2,15.155581
0.0,7,15.164156
0.0,21,15.189775
0.0,3,15.193488
0.0,4,15.198402
1.0,68,15.281757
0.0,94,15.399184
0.0,29,15.43465
0.0,15,15.453375
0.0,12,15.468152
0.0,12,15.482872
0.0,14,15.500101
0.0,5,15.506284
0.0,13,15.52221
0.0,85,15.626301
0.0,7,15.634929
0.0,4,15.639893
0.0,4,15.645069
0.0,10,15.657303
0.0,13,15.673158
0.0,3,15.67694
0.0,29,15.713073
0.0,9,15.724329
0.0,101,15.848867
0.0,38,17.356761
0.0,34,17.40254
0.0,33,17.450478
